log2fc,sem,stat
AAAS,-1.713822570473699,1.0044715804256081,-1.706193190401195
AAMP,-0.4080266154167944,0.16136825293047893,-2.528543303945798
AAR2,-0.5580992413889021,0.20790643119088062,-2.684376996864068
AARS1,-0.07688877960324803,0.0796076137222015,-0.9658470591966101
AARS2,-0.4437777026021763,0.6063418703820912,-0.7318935476491607
AARSD1,-0.048918395426110095,0.1495428858911503,-0.3271195091267461
AASDHPPT,-0.10908200689178216,0.3670901288731713,-0.2971532011133694
ABCA1,-1.0898460739389684,0.2566511594192786,-4.2464100937823535
ABCB7,-0.22190001777081747,0.22055580710583725,-1.0060946509757287
ABCC10,0.030211987032409127,0.3290092331190483,0.09182717076355501
ABCD3,-0.5167505513285064,0.3419545744630022,-1.5111672424327118
ABCD4,-1.043651997574731,0.6166167212202548,-1.692545728421691
ABCE1,-0.3274264261758404,0.2598941717311039,-1.2598452054346483
ABCF1,-0.5083984882735137,0.30277152731421775,-1.6791489370990138
ABCF3,0.29503577483389165,0.36839788386861694,0.8008617523414204
ABCG4,-0.15094748049942552,0.1582030718384654,-0.9541374813097924
ABHD11,-0.101066799629983,0.2536038204940297,-0.39852238595262923
ABHD14B,-0.10367682820655233,0.38555522459982683,-0.26890266709304733
ABI1,0.3475100863058884,0.25113336784198925,1.383767076800955
ABRACL,0.015707151544930298,0.13522060795973587,0.11615945070744954
ACAA1,-0.03272086943298902,0.2916687607628603,-0.11218503259453468
ACAA2,0.2006402344411491,0.1958944204049082,1.024226386981474
ACACA,-0.061438979075017386,0.09507126360201049,-0.6462413220067702
ACACB,0.19069062618020283,0.15892191166505118,1.199901411846268
ACAD8,-0.38920008139477247,0.42922689506904943,-0.9067467250209522
ACAD9,-0.21647463938532852,0.2318819617980033,-0.9335553214523155
ACADM,0.038960319294410795,0.34862965978072447,0.11175273876271868
ACADS,0.06244338162026608,0.23341728623506255,0.2675182400903357
ACADVL,-0.3463526043504146,0.32967934535062776,-1.0505741692190456
ACAP2,-0.2640964835442787,0.3181011322396525,-0.8302280525845865
ACAT1,0.056524933413509615,0.11157683890831956,0.506600957390046
ACAT2,0.03497261868260182,0.1592031239665314,0.21967294241006202
ACBD7,-0.09689632568804285,0.43444306220351,-0.22303573038220795
ACIN1,-0.7390094987183886,0.3913707421054094,-1.8882594410170506
ACLY,-0.051031859050326034,0.17082110269101095,-0.29874446568018476
ACO1,0.4473268974306883,0.3745989922783452,1.1941486940741761
ACO2,-0.0063206586338075965,0.16889909227605576,-0.03742269155287612
ACOT1,-0.34055438974101904,0.3687847885290716,-0.9234502081806253
ACOT13,0.24378950428077317,0.20575571424760974,1.184849252776489
ACOT2,-0.9825345823460445,0.3578177855620997,-2.74590761552719
ACOT7,0.292078630432119,0.15720264861447122,1.8579752504579101
ACOT9,-0.23773961236262053,0.2054029764510542,-1.157430220682668
ACOX1,-0.03353662830849302,0.6798977661763194,-0.04932598690108932
ACP1,0.015528889226342102,0.1927430837675461,0.08056781557500868
ACP6,0.03595577969249675,0.47318209255164584,0.07598719448279274
ACSF2,-1.4505835777336067,0.45162544626715934,-3.2119172861564427
ACSL1,0.31715327316836905,0.32025197290698365,0.990324182204134
ACSL3,-0.4843264212541456,0.21994461756632488,-2.2020380703705817
ACSL4,-0.1195167821148857,0.2364243414919865,-0.5055180924293139
ACSS2,-0.17697606967345791,0.5733266326072931,-0.3086827989633612
ACTA1,-0.42626000028421274,0.3280863123619611,-1.2992312822058285
ACTA2,-0.42626000028421274,0.3280863123619611,-1.2992312822058285
ACTB,-0.8400678121748797,0.5025307129307908,-1.6716745674618598
ACTBL2,-0.30572371085582617,0.21469074815508407,-1.4240190296182837
ACTC1,-0.42626000028421274,0.3280863123619611,-1.2992312822058285
