ICL103_Mock_12hr_629,ICL103_Mock_12hr_630,ICL103_Mock_12hr_631,ICL103_Mock_12hr_632,ICL103_Mock_12hr_633,ICL103_VN1203_12hr_634,ICL103_VN1203_12hr_635,ICL103_VN1203_12hr_636,ICL103_VN1203_12hr_637,ICL103_VN1203_12hr_638
AGPAT1,11.0393428958363,10.9513171468683,10.8958632343448,10.6959633318741,11.0489164412968,11.9062758959669,11.5292803904623,11.9024640879574,11.4965722450635,11.7580820563575
AGPAT2,12.6177139206976,13.0331667707701,12.7792522473456,12.9974240419406,13.0872181037757,13.0931377198746,12.5167969228635,12.378956527387,12.5383272916087,12.3438792935978
AGPAT3,12.1518703364741,12.7565182399986,13.9168330625988,13.6189659837859,13.4645926316205,13.6201724016954,13.4130384529583,13.2927321264892,13.21411586114,13.3202900215212
AGPAT4,8.148348375513704,8.21498006282127,7.961996868931096,8.111863368675163,8.04782932246219,7.227255487342469,7.109793000393016,7.098681948711274,7.13133136851362,7.060457040587953
AGPAT5,11.8051525529326,11.9205523796625,11.8399585393249,12.0824760600558,11.9633991032508,12.4711810668156,12.369310683463,12.1767259266372,12.4858336691224,12.2191151405413
GPAT4,8.05999130294491,8.26737995546928,8.22015343782062,7.89180136576556,8.22887392358197,7.71016268779218,7.63960705663804,7.82516344135763,7.52695707618685,7.73553369989927
GPAT3,10.25053444093,10.2225513605225,10.1485997911618,10.0910114362087,10.2266455412999,9.99107618077775,10.0608328791636,10.277507658989,10.1218634425169,10.1536173001703
ACCS,7.59796034314106,7.72276870902253,7.60487099254408,7.56529587741512,7.70468888970502,7.48611697913429,7.2389732330794,6.93009811062557,7.04092410330881,7.12251275820545
ACCSL,6.62559686877595,6.54668454262302,6.70747225814999,6.68719909090063,6.61915270318463,6.6838044999243,6.64647616670084,6.701362149713,6.6309210670161,6.66749492838678
SELENOF,15.73481161192585,14.9832562722254,15.447074538503902,14.6564533363576,15.13636775901325,15.046454600321699,15.32381459168035,15.630642583585301,15.449951766584551,15.68789887432995
