ICL103_Mock_24hr_1021,ICL103_Mock_24hr_1022,ICL103_Mock_24hr_1023,ICL103_Mock_24hr_1024,ICL103_Mock_24hr_1025,ICL103_VN1203_24hr_1026,ICL103_VN1203_24hr_1027,ICL103_VN1203_24hr_1028,ICL103_VN1203_24hr_1029,ICL103_VN1203_24hr_1030
AGPAT1,9.98304735991376,10.1316893942812,10.2164396931659,10.6031909093254,9.86833054323183,11.6538660740589,11.5664042431544,11.7542475553119,11.2534922034129,10.8036211113913
AGPAT2,12.6309095016092,12.973272213786,12.9634614505911,13.4733464688231,12.9406517165361,12.7029136702228,12.532806048631,12.5722365421161,12.5712427253014,12.6068140270807
AGPAT3,13.0115338718261,12.8229339657151,12.611180124628,12.5392554205907,13.362471921126,13.5738895790155,12.6059963514394,12.5037757064584,12.6577409983164,12.7001413482266
AGPAT4,8.293763301251738,8.38019679690701,8.297267090975362,8.527763518512067,8.579853228049997,7.0362550068441605,7.16560068240155,7.273387325193276,7.1827364518665435,7.351211574975814
AGPAT5,12.2502313708832,12.3023886254961,12.2580245054812,12.4020015599314,13.0422891599811,14.0331980865876,14.0652208759989,13.0429832391158,14.1500034605737,14.2462350628802
GPAT4,7.17281969115736,7.35613114924425,7.17603190063596,7.2852597136617,6.87278453438078,7.2505919725376,7.09949669964055,7.74432371858079,6.92735968477957,6.80785507828306
GPAT3,9.0575168411249,8.80857104559218,9.000850614422,8.69395493887357,8.84193324359618,10.0616995620913,10.7597286713994,10.5717541562668,10.7052276158729,10.2925163220668
ACCS,7.52895087611872,7.6088585112053,7.57424302494506,7.55267493547287,7.04126643230111,7.03826686881783,6.97456722959122,7.02609674281603,7.41778846374584,7.48060937462184
ACCSL,6.73049689075382,6.79960813582172,6.6309210670161,6.64701609469488,6.829372208977,6.58084780327595,6.59061684422853,6.41488526986466,6.47448053245961,6.55602324144433
SELENOF,14.65429059819215,13.7623449575807,14.4651643037419,13.6164155166467,14.097221326560149,14.876372528350949,15.4739883457411,15.291952960958199,15.31136899633655,14.96542016266265
OAS2,9.38733136208528,9.59124643645582,9.42188289349361,9.9093959532877,10.3665613043818,9.98078605804696,9.83144716443113,10.8077189601824,10.135329275274,10.3121425621844
OAS3,7.418839242009585,7.128319199762635,7.508605009676586,7.144411654580836,7.09440514605465,8.01070380584026,8.18858088832622,7.87314854973301,7.891915345998456,7.837605853183664
OASL,8.97753039945597,9.53610955969725,9.54957589305363,9.81309327513903,8.19248450962952,12.0126982382348,11.4813982674711,13.4330652112846,11.571814178456,11.149351506091
DECR2,8.458095834292106,8.65628290270522,8.66238316363659,8.937040672154785,8.72904478521511,8.90052526870217,8.53928562932456,8.39238187343333,8.785838955964724,8.80099748654331
ADO,11.8947556619018,11.5589819865775,11.2911807218638,11.0064662769254,11.0883550230176,10.8648268878685,11.2984520674523,11.436902716443,11.190057342014,11.196797318865
HACL1,13.0388232492521,13.1046282427679,13.1581564357728,13.3273721334607,13.6758365699608,11.4434642477484,11.3893835143375,11.4227034579185,11.6012608535648,11.889401239773
OGFOD1,11.141523775866,11.0928556807208,11.0675053474974,11.2211445232412,11.5865840750037,9.59224992778944,9.95234938418901,10.4386037283886,10.0839669362219,10.1567232484899
OGFOD2,8.74104750221953,8.95093942367061,9.024883591211875,9.33180933098088,9.200039073165655,8.40773495684741,8.231543395374125,8.255393565660436,8.295141951813335,8.46850946095351
DHCR24,13.5158759561331,13.0237281230684,13.5065476077564,13.2405181684499,11.8167356233739,11.8854813586175,11.7490098322463,11.2247847813572,11.4134387751216,10.9409107454581
BPNT1,9.123504875015175,9.018751750622036,7.65278024876414,7.677838893915251,8.467622405305619,7.453236862835485,7.47266350052884,7.619741864413696,7.488971464179225,7.577102473722645
PAPSS1,10.2383047896157,9.6037393891798,10.185139073099,9.34901847784727,9.65381871877885,9.5990454683891,10.4669435291984,10.1585532990029,9.87961381009343,9.28646668528837
PAPSS2,9.83994837502555,9.10989954606131,9.91558262965134,9.14168431620438,7.44309625396208,9.60962759227068,10.1244616064264,9.87961381009343,9.37432114089773,8.79140327495634
HMGCR,14.7755095816058,14.6984597527635,14.6783012339547,14.4748275735048,14.560128214171,11.7258795191643,11.846131314387,11.828294627039,11.7169126105793,11.977359923083
HMGCS2,7.17760931164645,7.09426958383679,7.08229527928814,6.97187034688647,6.90410630518122,6.76909285858603,6.79072882991903,6.72139667135824,6.82070120567226,6.9044686971665
HAAO,7.70577647010195,7.825196337694569,7.7448596631469595,8.04091516938546,8.41456179031699,7.69045528208025,7.66465221052347,7.318367974641185,7.855506175597045,7.93935055635337
BDH2,7.51565316358121,7.57018258107918,7.40164817216621,7.51951598353048,8.16299449210335,7.17394409916442,7.65721709853122,7.60409182242432,7.65664422717292,7.75747185762527
HIBADH,10.9700387100875,10.8116774251576,10.8825732817917,10.661481825808,11.1031355657661,11.0947348944197,11.9501543748651,11.7809543439495,12.0025266715682,11.5972168154401
HIBCH,12.4990046309994,12.3569088851561,12.6168256025452,12.5024927375,12.6846476483043,12.0873981428129,12.2842616103026,12.1832113682805,12.3068712223125,12.3144235269368
HMGCL,8.34659920388736,8.86944409510893,8.71303119395026,9.15113761321417,6.74487483765906,7.9049234617577,7.25476472122214,8.26180039881111,7.1044703011841,6.92448517955574
HMGCLL1,8.013497104079425,8.157333976585395,7.63002345905203,7.736767075574435,8.023540708257535,7.876256562406015,8.133271604371926,7.54618060392923,8.26977410035327,8.49584660581526
KDSR,11.01379684312094,10.949187962333944,10.87066695748516,10.930658766491991,11.263026615494825,11.66356675656965,11.9052496152581,11.8445751690533,11.7002445946982,11.74770468943195
OXCT1,10.0986497294722,9.81229209425088,9.9708805791115,9.68507566527144,10.0955972647312,10.2097577734559,10.6914013611366,10.1670499029189,10.3620481574457,10.3444772513301
OXCT2,6.3319759369104,6.38964848655665,6.41251646647213,6.47483539186908,6.41847115070072,6.38362014631957,6.41910350050907,6.36705732483597,6.39940535224452,6.37343714386513
OXSM,12.9358553935104,13.0344054146212,12.9385651216867,13.1367175917557,13.4197370215527,10.8697984858174,10.9594726461438,11.543061354834,11.1866242545309,11.3563996256307
HOGA1,7.96599084227188,8.13566431719524,8.08499207147901,8.04951832681304,7.73582982849531,6.73925195246419,6.756778009647,7.22048527283171,6.85380677973313,6.85248093707754
HPD,6.59311691472568,6.843386471211,6.70455732470701,6.77899509880064,6.58593984017292,6.92891456429292,6.59061684422853,6.61649020281761,6.66055263941138,6.70755853439311
HPDL,10.9385511981954,11.1857535769999,11.3381541058098,11.7446388110494,11.8117792503588,8.53416274644056,8.50518057484665,9.68069115524326,8.71438191977744,9.05998481718772
NT5M,7.72003307589136,7.8760128843693,7.5920731869561,7.94564489119872,8.52358441379563,7.96774643245881,7.87788059234284,8.04762545404286,8.00970924052603,8.39689889615385
XRN1,13.2149999423371,12.9698758144755,12.7246454411545,12.4391471131771,12.9489235742944,11.0150337275039,11.3794622295074,11.6298198370233,11.438381799326,11.405376761352
XRN2,7.43088969444481,7.72223505491223,7.53968222240545,7.41873733525153,7.68116283988191,7.89051578030539,7.82822349341359,8.12072469665782,7.91329764579102,7.97782690201294
NT5DC1,9.690041545701476,9.422887184090861,9.736561970120055,9.30989663966735,9.31319818902502,10.101994569918531,10.2976634890664,10.238543498656401,9.775599855836285,9.35170478403651
NT5DC2,8.19474458852247,7.98998243159541,8.53314870267319,8.16937742557103,6.49111700421946,10.4176536992384,10.599468158069,10.682371548746,9.74038460348845,8.99698288307913
NT5C1A,6.60925969270659,6.64972759616582,6.47371982537273,6.42460914423545,6.40671422670598,6.59963986493397,6.47809961548459,6.3858317873502,6.46148283412436,6.51561662015928
NT5C1B,6.635575551629209,6.701811411246339,6.59616385123081,6.64050662336491,6.700047156648095,6.62305675011818,6.678260439591821,6.712253115691275,6.858633498197104,6.967142838940616
NT5C2,7.33328026159184,7.070392394819,7.2031938066943955,7.046121323604041,6.800123452342765,7.170586486985805,7.587579836819395,7.913162771906006,7.333744851775091,7.1890294672817046
NT5C3B,6.76971407018471,6.80376451823075,6.73168518029444,6.55422594891283,6.41847115070072,7.98011669540611,7.62468410029205,8.77346007531837,6.99615456648371,6.92448517955574
MTHFS,13.9469575322109,14.0603295620879,14.283216243008,14.4655483797188,14.852476711212,13.2475203390452,13.2195323007078,14.0105345384343,13.3210646973017,13.4150375877639
ATIC,12.6912593057053,12.604935068026,12.9791737087004,12.98425463963,12.1073657965046,12.7308452690638,12.5748045560948,12.1655170327057,12.6545210394029,12.535209714174
HTR1A,7.14369377901219,7.21387801740186,7.04102681053585,7.31366996036632,7.26352079022908,7.76047040866268,8.18746831613705,7.47249376074608,8.11649619318277,8.34155065127417
HTR1B,7.89874677605114,8.06123638575589,8.22882884038354,8.39996011115792,8.36529667597107,9.46105337974694,7.83791598729807,7.74432371858079,7.39048305046351,7.83229353408322
HTR1D,8.85600799891557,9.04183363579644,8.53564385345809,8.6813363949676,9.55069951379813,9.78763795761429,9.76267018982277,9.52926888238023,10.1021207517767,10.2664974457733
HTR1E,6.98328594803779,7.0799756072219,7.0128112547454,7.03725981176574,6.80120629444631,6.71106277002336,6.7871561216667,6.79968907454808,6.77733827690165,6.89508815975378
HTR1F,8.99645694074686,8.74222993818965,8.87598302647377,8.84671799907536,10.1163951016734,8.24401611437585,9.36386767986663,8.96391468003612,9.63096437971409,9.53990630367119
HTR2A,6.41941955835743,6.49641738527946,6.50174082375836,6.30640049737929,6.39355538678912,6.40997588386578,6.54158986492389,6.46907245650477,6.69040385110327,6.69386980537742
HTR2B,6.82193858754659,6.76681891868805,6.94214708853233,6.86723972235953,6.96478545498671,6.96550712156836,6.68156626360109,6.75218492443061,6.70540007895053,6.63842932362271
HTR2C,6.26735794792819,6.26867655416192,6.3266610758261,6.36271334109551,6.35997326505311,6.32993932187925,6.41910350050907,6.31462369782975,6.23077491433896,6.28445075832054
HTR3B,6.59311691472568,6.65903661739075,6.6309210670161,6.71379283309551,6.7149091226045,6.69247559351589,6.8465049797376,6.75218492443061,7.14678032731387,6.92448517955574
HTR3C,7.12115621147824,7.15042033154638,6.96842845389684,7.03725981176574,7.27477432928757,7.4339532051351,7.22916125549019,7.36603381136547,7.47697009368774,7.60172580082224
HTR3D,6.72094070286853,6.63779562666344,7.24638370526661,7.21574654879468,7.25267984769523,7.51565316358121,7.09949669964055,7.0345958320532,7.25390837447454,7.26047851241386
HTR3E,7.70901350613499,7.80177143100448,7.65402685919991,7.76882675947709,8.16903662444718,7.82488509497981,8.14426940530125,7.71559882364575,8.27580911439991,8.64449303042549
HTR5A,6.32531875719065,6.26207619426333,6.24724069628578,6.36271334109551,6.17090513170118,7.94696329987187,7.94092214351669,8.26944514601318,8.29553318473703,8.78371893272327
HTR6,8.92581928886162,9.09856749827989,8.52195172828406,9.63354498356839,8.36529667597107,10.2974274382998,10.4639117685171,9.53102170735047,10.7176755280925,10.6853804070385
HTR7P1,9.47670312440053,9.5881298161275,8.9198430218476,8.998870226619085,9.37378334450143,8.748716957767364,9.100020667598447,8.748129214337515,9.20280886433692,9.312979433378356
MTR,8.692797770636362,8.432182865545549,8.71658085194772,8.335220329542155,7.79637788921498,6.80721214076076,6.900298140047696,6.920223738186884,6.812238294287366,6.773829544132177
OPLAH,8.27233878112737,8.60362747880762,8.55947021516118,9.09749325362909,9.41369573315217,7.2602432632218,7.0589860428631,6.94915209683345,7.14678032731387,7.26047851241386
PFKFB2,7.89549454886481,7.24229305991151,7.61313113934505,7.13823857797274,7.53576998303126,9.03168135381371,10.5897809630749,10.8279342500187,9.63513428465404,8.727530478599
PFKFB3,9.116597151839926,9.03778755557745,8.965836921816965,8.77724761587578,9.21049524973156,8.347097772475324,8.75191844576614,8.698318979195989,8.703471358252425,8.74638450014611
PFKFB4,7.86310103414726,8.0510180453452,7.89331338566356,8.02568543840268,7.53576998303126,8.06993618619897,7.45033131308822,8.46148330647312,7.4657360569894,7.24635401253352
PGLS,12.559726269999,12.7680146981644,13.110204716938,13.5609177459719,13.1480929914397,13.6481428709423,13.5373244127134,13.0614553395271,13.5937622348034,13.601958463095
PTS,12.8174643421893,12.7860038128625,12.7755096849885,12.7583764901395,12.9762819266103,14.2791778880396,14.3625533498537,14.2131795988371,14.4490042323326,14.437414703228
DHCR7,13.7606320980285,13.6950228240597,13.927248318454,14.1175080523351,13.3529811744391,12.3805553801122,12.3682161708439,11.7278879538468,12.2546185732496,12.3828043080419
AKAP10,6.83232325717302,6.54649162816086,6.69044750326424,6.62404364566695,6.50654905896604,6.4537512770489,6.41910350050907,6.39548149088226,6.32565471904904,6.36424575463582
AKAP11,9.43889169619537,9.295845702283666,9.509792983147605,9.387660783986874,8.9779805028735,8.309782724583286,8.470452581011301,8.57858385419338,8.53291259051808,8.488529082571665
AKAP14,6.53573119130771,6.55537686577131,6.5516589199549,6.50313313483407,6.65841190969399,7.5858334846692,7.61269355357637,7.66072020228029,8.00052848137784,7.95652759806022
AKAP17A,13.6171300646243,13.5956266569631,13.5626216348353,13.6950228240597,14.2799491145076,13.4408924991986,13.4090907085174,13.4834684530455,13.5749240631235,13.7652606966013
AKAP3,6.5604246011149,6.54113840557122,6.48417202530898,6.50313313483407,6.73007226432437,6.46417885577294,6.35250744013954,6.66521645901547,6.6168577365543,6.45138340161304
AKAP4,6.78892334614989,6.758896133394665,6.7404768370851045,6.714069125036374,7.111249865236026,6.957577398414445,6.77446500006996,6.6978369052355955,6.916428443299035,6.907775922190555
AKAP5,6.87011698636541,6.851768357198285,6.766162915571975,6.83117680607015,6.741407164561609,6.505801907473355,6.60185441624306,6.772919187572475,6.4862974584546045,6.393524286943015
AKAP6,6.47932925244346,6.35097055815787,6.46560773279594,6.29694199371855,6.33021861773134,6.36607421417582,6.26494703975273,6.30623125165362,6.32565471904904,6.31462369782975
AKAP8,12.7302946905939,12.9127370682307,12.5916768662188,12.9184938229022,13.3684491449691,12.3027491739703,11.9766106027168,11.7140234980035,12.2516585831037,12.5344697328394
AKAP8L,6.63201242036778,6.82572037687637,6.5516589199549,6.72522969708734,6.49111700421946,7.883604132372,7.53997295353783,7.65339997796282,7.59132958518285,7.31366996036632
AKAP9,10.017149776629399,9.826541591463624,9.922615309345545,9.62701010658943,10.305615209031036,8.615241643988496,8.892883652522439,8.572221490734659,9.022829575657175,8.710009483389765
AKIP1,10.3689221567619,10.6537992048386,10.6016077188451,10.8661075978174,11.1262238819545,11.0346439601933,11.0191800419402,10.7321812101936,11.2325625738192,11.322951925121
A1BG-AS1,6.48504425949705,6.48114719805889,6.46560773279594,6.52981587286902,6.47402415633844,6.4012904430449,6.35250744013954,6.42529126965542,6.48873530417645,6.37343714386513
TNIP2P1,6.45851279440456,6.51060937989568,6.42085785047518,6.43749752724263,6.37032179104542,6.73049689075382,6.57367334648782,6.71370692888346,6.46148283412436,6.47561985020133
A2M-AS1,8.57461647737267,8.75940891594614,9.07037589977839,9.18553806195981,10.0347601970619,8.58455571827744,9.0288263797122,8.7482917904258,9.18704936555707,9.2146174709967
AAR2,12.2706179507736,12.3994778333086,12.2489685495959,12.4059205412214,12.014678213916,10.8935022951726,10.9505838109752,11.2156687515696,11.0013333919591,10.9633954425389
ABI3,8.15080173073404,8.32414207739969,8.63264280172683,8.97207915767006,9.33413316775166,9.26435380781529,8.59679195746593,8.23548608691504,8.77166312304062,8.85523443296859
ABO,6.73049689075382,6.89478509753155,6.78678868305117,6.79960813582172,7.27477432928757,7.08663965510816,7.60010869419392,6.83500530738476,7.98080779356302,8.22425473347058
