OMICS_ICL103_Mock_18hr_Protein_1_067,OMICS_ICL103_Mock_18hr_Protein_2_098,OMICS_ICL103_Mock_18hr_Protein_3_050,OMICS_ICL103_Mock_18hr_Protein_4_116,OMICS_ICL103_Mock_18hr_Protein_4_116.1,OMICS_ICL103_Mock_18hr_Protein_5_023,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
ANP32B,22.86105332800103,23.4495703341982,23.907775079591815,23.48707080582506,24.116239413614664,23.415779250517236,23.691142342011922,23.25361489493538,23.33092192968218,22.801418399969478
ANP32C,22.40040250303214,22.44409248083277,23.038132201505142,24.557727419348367,23.941239028325477,24.899429738264168,25.11406755142292,24.027640558942185,22.578269815494572,21.679057272690574
ANP32E,21.917769740045134,22.45592901574379,21.87519349611186,22.490733984151817,22.589511700516926,22.589238315966245,23.162192030596177,22.17251493244181,22.077835673624975,23.118054106899294
ANLN,18.37933235322467,18.52720507255827,18.44320250740641,17.292742982810854,18.487017860029475,16.483066972293443,15.807235770111873,16.648293444430784,18.821404119591307,18.540419216641926
PRMT1,23.76123473053242,22.87115298792051,23.87045304841436,22.78005315723366,23.107259576098492,23.43037373145284,23.248706137525467,22.804613045042423,24.155646490017027,23.201641350523648
PRMT5,20.270679055554012,20.376935150790498,20.52938603565024,20.755904899716157,20.694308054815437,21.14248317502866,21.28449262740307,20.552674041714074,20.590946850350978,21.07827944722236
ANKRD26,19.45631506563958,19.19393611047886,19.78606368875372,18.928175681563747,19.03019912209155,19.674588543994922,19.043203286590536,19.31054967866274,19.31419831864992,18.513404613369392
ANXA11,22.727310666345097,22.70354357219957,22.9331160428353,22.942586289186913,24.174045469031007,22.99001920105063,22.533107992988633,22.741050257664284,22.420143879771985,21.434837585851874
ANXA1,23.104981234126946,22.7625987091942,22.940120692767508,23.230587717383784,23.22534685955563,23.261707300212116,23.190392538121127,22.82655081624543,22.995716757474206,22.91734644475727
ANXA2,27.605402462804022,27.310067900871267,27.002302846119573,27.002967088824814,26.72142826979005,26.388104598277778,27.54604293465262,27.092786056048332,27.200896487157493,27.181006231392885
ANXA3,25.43256737667088,25.037730788304984,25.322760889886048,25.753158821037815,25.191685442918,26.06128672001218,26.009744471971665,25.826101572453716,25.786938259710496,25.590290312396064
ANXA4,22.294926741739637,21.799599342476412,21.796592225787197,21.84673094862401,22.159779384593957,21.58998118015413,21.948698032073466,21.95063194119499,21.949568476788752,22.048528920456754
ANXA5,24.68022795888642,24.374903903211557,25.110745678699466,25.385366058629444,24.827753745260093,25.332606346763896,24.886245311043524,24.99979211599468,24.821184346034507,25.345066356259057
ANXA6,19.553591669079225,19.346935352356823,19.383144219783077,19.924297498700966,20.15836517023822,20.00706381639986,19.815144477521248,19.614234697214066,19.496886306093465,19.29005515857542
ANXA7,24.015267748448807,23.87822795113704,23.752754306671214,23.90697999739821,23.76758246174053,23.844419860633174,23.89220767821984,23.73915753725297,24.17444253906075,23.456633538785695
AP1B1,20.525064417634276,20.193825188772884,20.403140080573355,19.920332491044334,20.713858494624738,20.16419104470297,20.13894889988316,20.05928878541519,20.311829236696727,20.137602341611895
AP1M2,18.507335063906567,17.50578672786508,17.570176435260123,17.99128196190908,18.11275653017689,18.83810870403059,17.862993704823317,18.565829868196133,18.22310376707958,18.634975817294453
AP2A1,20.556996554405035,20.524795047751823,20.332430508147624,20.266286608736067,20.75154627933303,20.822301425410956,20.055264077583303,20.221722017626117,20.37796326480953,20.058322565885273
AP2A2,20.77797035796798,20.436311115694046,20.31774283182381,20.132771818664484,20.767628020338016,20.68117686556088,20.002150272495836,20.48326792990369,20.328181647965852,20.307140425711065
AP2M1,21.65875715883022,21.818493090581995,21.271914355320796,21.666499968187747,21.984465163748155,21.72201386568563,21.278470571231544,21.683345521783693,21.337760682355686,21.30262202757321
AP3D1,18.332789874766448,18.446536277517737,17.8649990661304,18.350601303044613,17.59314205413748,18.129344237882037,17.64742776389525,18.209878839034094,17.81353737472616,17.739696359231612
AP3S1,22.559688838970317,22.82664597887558,23.024974102140447,22.775721028596717,23.238348517142892,22.82348676392739,22.241715679576387,22.405034635729237,22.834374888111135,21.679193047496273
APEX1,21.98772145661431,22.08212106722571,22.35925327306085,21.95946247597974,22.449991797511164,21.9545979499626,22.061923646784827,22.144044484706008,22.232696903680942,21.671722620663367
API5,23.476774814539798,23.617427196242872,23.26623577918746,23.168560974459787,23.460490419404827,23.447374901319236,23.105617821792162,23.184363062419287,23.138047027318756,23.222634147911226
APOL2,21.38194541478245,21.67360176383597,21.15765339446216,21.071435303199472,20.7472899738127,20.55004833243521,21.015520903871987,20.669794065289686,21.180812341943756,21.425038531825024
APRT,24.360694479955168,24.38857819469063,24.911602042504832,24.422064641835515,24.378800761451778,23.931800979788754,24.682927712799874,24.676215495322694,24.782953523471335,24.122138738211056
ARL6IP1,22.6652078378348,24.095416000606164,23.92621136385052,21.815916546770413,24.172202436705,21.694388085608065,21.875931315984992,21.33302732016766,22.50136260411295,23.126279674350226
ARPC1A,22.441158316432983,22.386650141823555,21.85904426756928,22.531581440809376,22.085977111905745,23.190965248791443,22.48390430182937,22.655175084188745,22.44441806976361,22.387948410242522
ARPC1B,22.814540805258375,22.459847397224163,22.163334597802912,22.746244303878463,21.843290157875092,22.54888319628281,22.584705825474835,22.868434989759045,22.6934938926912,22.222198092335898
ARF1,23.42803793448254,23.614498586345825,23.52404217472054,22.808925071439482,24.162529344747153,22.601572449245033,22.822786178247622,22.872603496273797,23.231787682714973,23.309157866759058
ARF3,23.4515415170642,23.41944762031288,23.53455110069583,22.827113359210887,24.15024226595271,22.616953648616743,22.874120939144348,22.946912033658656,23.126484670702098,23.333728113053695
ARF4,24.109755104289256,24.429130053175847,24.459569182723257,23.97239943644933,24.993775200585638,23.404207658281344,23.64708295402475,23.827105670272076,24.00429815922479,23.999778823917147
ARF5,22.390164536911783,22.710890239594697,22.497626583152215,22.191750305794276,23.288864955939765,21.662896234743634,22.22553755445701,22.55122147361046,22.732384763659265,22.225823891069112
ARL1,19.940902059577667,20.41381658104394,20.578918211044503,18.996888916804117,20.476603777066885,19.122109500703864,18.76744081828863,19.542166638550082,20.123051449969704,19.8124493188999
ARMC6,20.642528431582573,19.2611208683442,20.124786327437675,19.164419806955163,20.400986897993516,16.7801879212272,19.48228106651952,19.327129736466368,20.26121883023588,20.262095620225786
ACTR2,22.08659713698908,22.03867263973268,22.154182230835058,21.241923619725043,22.22331249457519,21.39929598778005,21.54861523340118,21.40786520472249,22.344633699302204,21.894260722979183
ACTR3B,22.140167027984162,22.58811637228946,22.696294242735043,22.44747049634345,22.69345277996178,22.208891137289747,22.49475890619836,22.260824781409703,22.35849375312518,22.492613230140474
ACTR3,22.829358483482295,22.90556181238214,22.919201045790107,22.78866359002737,22.83084280296831,22.673507327557022,22.80556742847348,22.61609064794649,22.74744388389498,22.587895010501967
ACTR5,22.140167027984162,22.39841954031776,22.638361631718578,21.647087114258536,22.69345277996178,22.208891137289747,21.574336792070152,21.78681005028686,22.33895624777564,22.22112346328939
ARPC2,22.5410218388715,22.956290393299106,22.799810875368397,23.192917321227185,22.783716899586928,22.962306247612975,23.188280586317255,22.624722988871916,22.573841020681854,22.811860123823564
ARPC3,21.708435988859122,20.904022712889322,21.756310528217575,21.382892848755674,22.0276705351797,20.77866171490635,21.301376612712467,21.57440214808242,21.410038758297823,21.358610538173096
ARPC4,23.422920314386882,23.583961466319444,23.06092794502789,22.99145337878624,23.37465003708303,23.769333920177726,23.83867076866136,23.21621889021493,22.99039224701141,23.30975208556429
ARPC5,25.15610409275586,24.745225772979197,25.188938720797246,24.83817160048866,25.10770101986221,24.886791519115498,24.886302004986455,24.9225212887199,25.338304497165293,25.432693575460892
ASAH1,20.467407246163656,20.613960074982973,20.4547599554683,20.580872543693907,20.8606996975366,20.871022326114314,20.31132624582559,19.8610602150936,20.470845956270928,20.505434940529533
PYCARD,19.397301017553904,18.8758086647382,19.035411066128393,18.71473293978436,19.484589323732166,19.61925695411349,18.978805087109684,19.15629607578591,19.193553526359835,19.704632878698746
ASPH,19.86387291911042,19.993764709640416,20.05735605363329,20.188803692253515,20.48437195718348,20.298520837823276,19.61035010973324,20.444556213781947,19.619810852115343,19.926079685663197
ATP12A,23.952632862746288,24.898687489627584,24.574035957626403,24.975173585272582,24.703378962622594,25.112873855047372,24.875319113114802,23.74864522574518,23.529438301288344,24.38640318640908
ATP13A3,23.793745871357906,24.179958980801764,23.767661745989695,24.05761114662945,23.415008717991324,23.771978941156203,23.68664275997258,24.28844047385801,24.091775377340117,23.672216377086418
ATP1A1,22.05383237257184,21.89261288923193,22.048366412523773,22.029735548720065,22.053299350741575,22.209679467612318,21.807750879500187,21.575915849328354,21.157471973000995,21.734119045177604
ATP1A2,24.41699956859822,24.660463965083128,24.401337431692014,24.460409534128985,24.48582998841369,23.72191856729973,24.116102372627676,24.388548599018293,24.18983506548548,24.139737609184127
ATP1A3,24.5077394273398,24.83359492824557,24.662070475986308,24.497659420880066,24.60389469437755,24.25219909506726,24.16058872827343,24.589821866862685,24.594307113509043,24.195027863806352
ATP1A4,24.18991470166621,24.61688335454743,24.500910811875173,24.116899503593054,24.324273221999878,24.49880235828467,24.050330059195122,24.068596912381736,23.574311183895336,24.28276804736396
ATP1B1,22.905092936701394,23.14201852229742,23.00009392398047,21.99387838733224,23.021337204395408,22.437924940233934,21.741611620152405,22.099652316549836,22.367918492155244,22.921280383191174
ATP1B3,22.43055626525411,22.669014522553,22.42830672787124,22.38027946916177,22.388894861573654,22.2810000747587,22.319645544160938,21.873591134093893,21.206607617002387,22.828251820214643
