OMICS_ICL103_NS1_18hr_Protein_1_066,OMICS_ICL103_NS1_18hr_Protein_2_082,OMICS_ICL103_NS1_18hr_Protein_2_082.1,OMICS_ICL103_NS1_18hr_Protein_3_102,OMICS_ICL103_NS1_18hr_Protein_4_090,OMICS_ICL103_NS1_18hr_Protein_5_016,OMICS_ICL103_VN1203_18hr_Protein_1_111,OMICS_ICL103_VN1203_18hr_Protein_2_013,OMICS_ICL103_VN1203_18hr_Protein_3_038,OMICS_ICL103_VN1203_18hr_Protein_5_083
ACACB,19.63916793524743,20.170411847692918,20.459059479585868,19.939552051669377,20.23002848615575,20.36446575945846,20.525097355798355,20.42843161143857,20.28360537509232,20.060751868931426
ACAD9,22.637721882705346,21.9712895740427,22.078083286227994,22.16816664321079,21.614529907295378,22.04148374008788,21.456953649770735,22.28660580348504,22.067661276443467,21.663730735139502
ACADVL,20.342882114474392,22.233750615097666,21.04989869218146,20.577183332806225,20.185931580084684,21.147529430761743,20.487415529220364,20.317726138140028,20.916661730327696,20.584236695181033
ACAP2,23.377650468227056,22.225650553948224,22.823030778162213,22.947998106455096,22.82027568743605,21.716042294041667,21.928291936633606,22.14229708527602,22.702332056241875,22.777791579851584
ACIN1,19.891147018087572,22.336782478679396,20.750807060184783,20.281843201600218,20.4348356003304,20.7025518570166,20.537731868643625,19.72985346590275,19.81102122923152,19.897333585281203
ACTL6A,22.149873888128447,22.56846969079608,22.10422395330691,22.255238563518112,21.865748131968388,22.068898765784127,22.447408771920884,21.961669733162857,22.093227108633666,21.628544203197556
ACTL6B,22.030644550669816,22.030086139826544,22.271550586885002,21.667278732116433,21.128089228117602,21.758387745347648,21.680852002853353,21.72976946548365,22.27509184116817,22.375516328933756
ACLY,22.01988267947345,22.35077275667723,22.36747860954553,22.01379233216898,22.009606536666514,22.742375269647212,22.002707983975665,22.404141902564206,22.415308885729985,21.976319247648107
ACOT13,22.759930112928892,23.48140938129013,23.692790589888475,23.446803668902966,23.51141962338986,24.131834132976984,23.457716159502976,23.850344219395648,23.862131262044922,23.82109138243107
ACO2,19.76399630142958,19.547262310547957,19.76514467331164,19.3519140916324,20.00855667217105,20.10436849965246,19.51162476886842,19.616822156361284,20.08015962824678,19.793605844485022
ACOT9,19.08205539834313,19.707993032469368,20.18938573002803,20.170309844094195,20.103757096742907,19.997215027583557,19.390733104576814,19.662155818206372,19.580629450220634,19.91600059705315
ACSF2,18.743889410830047,19.148170310697857,18.109339518888703,18.80234335748766,17.943085615980987,18.48230973871405,17.090550700524254,15.954393086231697,17.89202351729366,17.413457020082177
ACSL3,22.014743347494058,22.200388007854073,22.303952280597223,22.026440182165445,21.879125228682703,22.242672633134287,21.53360681169821,22.241834485238073,21.413480251282877,21.318653886716106
ACSL4,18.613934937758334,18.0753456454828,18.095513712359825,18.194725749084416,17.995787907720945,17.829363998289736,18.512662279540685,17.53936303231835,18.17086731373131,17.83548821308082
ACTA2,29.450022690108828,28.915942042719337,29.028099568554453,29.35018162511998,29.195773130576512,29.068075187410862,29.57204472118987,28.892902273609728,28.338270563840126,28.163805269883415
ACTBL2,29.144426013336094,29.02447864772115,28.8462845751053,28.33721437413446,28.083457445843578,28.446042374507645,27.976967907570362,28.3421033554682,28.544441988989607,28.50152752498069
POTEKP,32.65042573562209,32.154043086529306,32.629502947107426,32.56932819854768,32.6799378954794,32.318352841110034,33.04416497576211,32.96331431166968,32.27322146216244,32.67615290884777
ACTB,24.4937303388898,24.46464070163661,24.071807217335426,23.630226726794586,23.84925021385527,24.362705863781677,22.805759850255455,22.199678711380813,24.204036635283245,24.011827595909892
ACTN1,22.183199435984527,21.501379301053753,20.971760159791373,21.13713955219027,20.97911479885706,21.77302494554839,20.09670064185445,20.140155155243896,21.732511433355644,21.009692298737708
ACTN2,19.482278869787528,18.8396868135624,18.63496530491059,18.737537936363438,19.080798571583237,19.555097587069735,19.323134103952142,19.964962842760517,18.530834014498183,19.171091540597295
ACTN3,27.474449164104417,27.679119953671027,27.274895873831312,27.203403044151635,27.43600971360437,27.48379123992927,27.38290189157845,27.17074157825585,27.074329109227488,27.468841671261437
ACTN4,25.765930673717794,25.825269371156715,26.01708184430982,25.845683525179567,25.71188795736155,26.186207695499327,25.973811923196834,26.30831751578602,26.12903662274004,25.995588749291755
ACTR1B,22.15583297620245,22.37604983760767,22.206782855507175,22.444888415791368,22.582323564562703,22.287007467922766,21.993542545141775,21.970372105081744,22.25393411605461,21.974990205018038
ACTR1A,22.15983750303276,22.51306155387924,22.292793685803435,22.364187639457647,22.277285861091784,22.034322404529323,22.20250936807098,21.970372105081744,22.149225528381365,22.10692563080903
ADAM10,20.741384252004984,20.628364072679204,21.47926316977018,21.156374103813146,20.316259212677537,20.86675297124287,21.445861727109715,21.661357099247056,20.954076574507585,20.837014081131578
AGPS,20.345726722110324,20.788984162391028,20.859269223971303,20.701234117616764,20.61828944098839,20.88867586112689,20.441595364140014,20.51892594212002,20.86215961839217,20.51249614178193
ADH5,23.01068439879297,23.552139682212,22.595576468911496,22.4089164487146,22.499296029795005,22.506699334415323,23.186682379616425,22.76587764395818,22.578679197871534,22.237618394721665
ADK,22.363282139856906,24.06647470067722,22.543761172560288,22.456631918670872,22.246401845877603,22.350235354407477,22.20595821909841,22.49061318847174,22.013563665359698,21.92458721096992
ADPGK,18.889384065754072,19.39719129199643,19.657823729358938,19.391177984612412,19.191818708163208,19.18118358202772,19.216828824862514,19.165250203504637,19.09155574254711,18.95306310230141
ADRM1,20.316383527635516,20.666236549885774,20.291013063161387,20.15623837456312,20.237381282859946,20.319652578289595,19.998786775961943,19.943577976768356,20.772279105025035,19.669451158322893
SLC25A4,26.245189297661682,26.44357118836711,26.605582022115765,26.31925898167296,26.35562861879877,26.30229364733319,26.375818116622177,26.241099268834496,26.528626224703046,26.398146143833543
SLC25A5,24.967553768577314,26.446306250371272,26.418832841821008,25.925614896017365,25.39172747139108,25.60685459100204,22.685656519583993,25.313202588693297,25.435730385227743,25.58954912009778
SLC25A6,26.245189297661682,26.521885503789576,26.623780713868307,26.32183492326852,26.35562861879877,26.543763631050716,26.336308534549296,26.243380334830988,26.48141034897737,26.370430492093732
SLC25A31,26.11999161987263,26.422391829072147,26.605582022115765,26.359657303469675,26.38841959230527,26.30229364733319,26.507857366640724,26.79768088023278,26.528626224703046,26.431117273483775
AFDN,17.79535642182897,17.462268039835394,17.456742038779247,18.10896267347291,18.496804169038953,17.066523321725477,17.540122344282842,17.583119048400032,17.29759528567095,17.426782132182446
AFG3L2,19.87487810262667,19.69935529811449,19.076288444851286,18.995171471811922,18.325742206661452,17.914514127420677,18.802838337496134,18.568910340932486,18.323498328176672,18.86695235225378
PGM3,19.49099696793868,20.377159121390832,19.367945312502872,19.48992444723727,18.707718052003408,19.67641136954518,18.10275838830976,19.49600877989939,19.670158633244665,19.10822328447896
AHNAK,23.434456364173347,23.159720261992142,23.09371181296025,23.737969150693758,23.46815841432479,23.29668804143681,23.638875173741262,24.069173210715785,23.32588053157972,23.038386309129272
AHSA1,22.598800814765948,22.50078102803194,23.082171179982378,23.12163746691537,22.969094808194107,22.541619935195147,22.81709284513324,23.176794009265578,22.67866155675383,22.63848114627997
AIFM1,21.073646117666573,21.497045945234554,21.446510241988225,21.31615245232193,21.453246773822855,21.489816082528293,21.045174216241882,20.901801561865284,21.14528261429593,21.204850177357294
AIMP1,22.32162152318352,22.342654584656803,22.465692048573857,22.298635444559814,22.484583280565182,22.81346372710142,22.43577580482061,22.279127179703487,22.261591644647655,22.52560312012101
AIP,26.81869115319635,26.920071841733233,26.606470457972144,26.888405217071494,26.414644926510213,26.576135439115106,26.722813493434515,26.548623478212875,26.271930021203694,26.53697660225136
AKR1A1,20.44647843461103,20.810387969438434,20.481051106578786,21.00071847265572,20.6872519627326,20.727528375423358,21.067477948817398,21.223142771567066,20.119342023210905,20.16119728869888
AKR1C1,24.548086702804675,24.57234952244101,24.547917936734024,24.664955408594306,24.42458864025389,24.65140633915578,25.22213493221687,25.099652453177704,24.961130390868597,24.56564132066884
AKR1C2,22.834469679771765,22.589399904185477,22.438162767584803,22.700775781914935,22.01458655680624,22.60466195031038,23.451336144823504,22.8686726553185,22.792800309507733,22.49002743364173
AKR1C3,24.600038528783458,24.889594480616104,24.582208659442138,24.55067759817986,24.523017513311824,24.345208167111803,24.98370146584705,25.094789624941058,25.038789074901928,24.317658245828255
AKR1C4,23.031119686480977,23.08548723433927,23.002985808975218,23.16901012086632,22.74449917951858,22.79881347783559,23.551890733130932,23.382704657777744,23.171183722152534,23.03157845661087
ALDH1A2,24.34486624843871,23.98979362469428,24.918626835675344,25.15974255844548,24.704965122518463,24.723993498924997,25.20977425362031,24.925694166180428,24.78749145586322,25.06365425912537
ALDH1A3,24.95640290980721,25.51300560074695,25.000926512773404,24.458077143697324,24.58977615269609,24.849820158887656,24.63108046708019,24.63324289290311,24.537620598761208,24.645214751820955
ALDH1B1,19.08297785915115,16.82103353197616,18.87068171556745,19.590524368449728,18.868847577725845,18.77497770292719,19.2607584576225,19.196681162672512,19.302914309144015,19.06223412297529
ALDH7A1,21.802665675511896,21.941452939280197,22.364036303793874,22.123817635999373,21.98577246887591,22.082052500276006,22.161337119014927,22.285393616863324,22.396657990295246,22.160687137139877
ALDH9A1,21.723540633747064,21.58368644394616,22.514071947177555,22.3860252531076,22.233786057777536,22.03264092698354,22.220908628710756,22.53745347638486,21.66551147242783,21.88351270797621
ALB,29.703304822748443,29.567372444436145,29.497721621214957,29.323602133307606,30.673788683813036,30.259568418025033,29.89887787694651,29.549034290076133,30.312942414223564,30.840416812848577
ALDH2,21.368703531931683,22.144416932515373,21.40951856234081,21.412666026248033,21.00347958941428,21.298309313779047,21.352495074248495,21.12370265668602,20.98702297562236,20.881457633008722
ALDOA,22.6614934206789,21.606083395738146,21.356502060901615,21.59550678587037,22.273362942936547,21.983810949589,22.244730685477865,21.3700578826262,22.71416308195893,21.76633252709069
ALDOB,24.975043666178763,24.981236790213288,24.895253601284153,25.102707327044516,24.531311144428965,24.33264743788103,24.601483179288568,23.99580354113053,25.25340370865201,24.665711498998135
ALDOC,24.448523959941205,24.987850789262037,24.638552592453877,25.088588034333686,24.546983569257392,24.440524231367334,24.601483179288568,24.257843624484604,25.264152552081654,24.352848688544107
AKR1B1,25.578607258607068,25.438880569851808,25.34619386777054,25.55708618416324,25.012745783755754,25.034147011061364,25.447846263944133,25.010684988040275,25.27210236884119,24.673033431583807
RNPEP,22.185979244400734,22.865907225357446,21.536312484238174,21.745623085259883,21.180072591107834,21.230509828521726,21.82237650367022,21.326264721486506,21.712203658761414,20.639020840921255
LAP3,21.89993896352042,22.530304549710557,22.1028851670862,22.447139111216067,21.655562069968745,21.53846559229939,21.598955765735237,21.636969691500965,22.20294159445033,21.374539583274895
ANP32A,24.38045552696935,24.304434699543975,24.591889257304334,24.40544989224869,24.22847802391297,24.716494102245804,23.75842959655553,24.22461573652903,24.265950156830293,24.336133250282533
ANP32B,23.019268286564177,24.04406078077887,23.48045204056388,23.61664704487783,23.28069706615493,23.459794369363323,23.691142342011922,23.25361489493538,23.33092192968218,22.801418399969478
ANP32C,22.85650859116203,25.930718029632708,23.289887377280586,24.733112362056634,24.341034550636557,21.615705128361682,25.11406755142292,24.027640558942185,22.578269815494572,21.679057272690574
ANP32E,22.424129843551214,22.325364852022794,22.541385674336787,23.115406170423586,22.867967475296744,22.36987151351181,23.162192030596177,22.17251493244181,22.077835673624975,23.118054106899294
ANLN,19.564107912434025,20.303408686166314,19.33519059719519,19.106781548425925,18.502464383713157,18.623355783295732,15.807235770111873,16.648293444430784,18.821404119591307,18.540419216641926
PRMT1,23.38306398777293,24.154164982838132,23.166100709495474,23.129199110539844,23.35837417760517,23.810316335638625,23.248706137525467,22.804613045042423,24.155646490017027,23.201641350523648
PRMT5,20.173804533983386,20.877700639590913,20.32678636402048,20.45702567074975,21.206597565960283,20.41778677465549,21.28449262740307,20.552674041714074,20.590946850350978,21.07827944722236
ANXA10,22.1016872230318,21.85664995974997,21.6711883072861,22.360261589094122,22.427133776322254,22.134354480299766,22.579597035605637,22.034647825326523,21.19343853111318,21.63309848768395
ANXA1,22.958635489231824,23.045497971738484,22.938446981577997,23.169013644957694,22.87030378616913,22.91117638690766,23.190392538121127,22.82655081624543,22.995716757474206,22.91734644475727
ANXA2,27.382591571195256,27.161288140873385,27.219373504275882,27.78143247310593,27.57624403295473,27.44163782261535,27.54604293465262,27.092786056048332,27.200896487157493,27.181006231392885
ANXA3,25.271630616758145,25.569888919743406,25.984938230304603,25.767378907599905,25.649773322186245,25.121382374724977,26.009744471971665,25.826101572453716,25.786938259710496,25.590290312396064
ANXA4,22.25093051368108,22.438321902325804,21.997711672060472,22.1163537560696,22.210050564397463,21.69173485371241,21.948698032073466,21.95063194119499,21.949568476788752,22.048528920456754
ANXA5,24.927525602595754,25.198236318813564,25.08455448541126,25.048637469892892,25.032751397769793,24.896016566554664,24.886245311043524,24.99979211599468,24.821184346034507,25.345066356259057
ANXA6,19.982564089577053,19.892704712683635,19.0638334727118,19.86211779587353,20.25741101721674,20.27159179426865,19.815144477521248,19.614234697214066,19.496886306093465,19.29005515857542
ANXA7,23.76118427769035,24.21241767796412,23.933080080010168,23.801448847120255,23.80642940886321,23.716456189640773,23.89220767821984,23.73915753725297,24.17444253906075,23.456633538785695
AP1B1,20.946451302325983,21.21111888865844,20.58016820059979,19.906827753472705,19.990617899137835,20.661433766305016,20.13894889988316,20.05928878541519,20.311829236696727,20.137602341611895
AP1M2,18.335948915818722,17.8370455777469,18.115378468512176,18.404162997125717,18.20401936911307,19.063864101661366,17.862993704823317,18.565829868196133,18.22310376707958,18.634975817294453
AP2A1,20.446327037817824,20.214123172884584,20.624685658943502,20.586073059131213,20.141167944641033,20.77048317564553,20.055264077583303,20.221722017626117,20.37796326480953,20.058322565885273
AP2A2,20.358531332811786,20.987905164526797,20.731379245192336,20.624160386805926,20.615328357102825,20.660763172854985,20.002150272495836,20.48326792990369,20.328181647965852,20.307140425711065
AP2M1,21.318943603364172,21.527083179141147,21.64043565124565,21.365897211742457,21.540757709168524,21.759486193490027,21.278470571231544,21.683345521783693,21.337760682355686,21.30262202757321
AP3B1,21.511305216028997,21.695983488105586,20.36772579021926,22.043021368111265,22.08423133283867,21.25584228067295,21.694970517055875,21.829146812527057,20.555225722385003,20.267697537327066
AP3S1,22.31265591248669,22.66094678992383,21.801874554620746,22.29201396617964,22.42939311675307,23.46729343932322,22.241715679576387,22.405034635729237,22.834374888111135,21.679193047496273
APEX1,22.683338470297464,22.165447751457634,22.07732023975747,21.963395379936905,21.999458615600016,22.05178810131759,22.061923646784827,22.144044484706008,22.232696903680942,21.671722620663367
API5,23.173257503793256,23.782275684475906,23.5026362010108,23.29171256402139,22.90902096476274,23.336574001810643,23.105617821792162,23.184363062419287,23.138047027318756,23.222634147911226
APOL2,21.555712186336656,21.93196799889348,21.792789144699597,21.995208531069494,21.669669327898685,21.863139511575373,21.015520903871987,20.669794065289686,21.180812341943756,21.425038531825024
APRT,25.037562434639984,25.236069661239462,24.808072944892217,24.865431556958768,24.412291571655903,24.41301232286775,24.682927712799874,24.676215495322694,24.782953523471335,24.122138738211056
ARL6IP1,23.832813940510846,25.88235808710575,23.766535686491764,23.16546237336077,22.690983381532956,23.607352323909094,21.875931315984992,21.33302732016766,22.50136260411295,23.126279674350226
ARPC1A,22.647529773209016,22.218099213760144,22.053555082786733,22.46792186550017,22.79929812985391,22.2660078129568,22.48390430182937,22.655175084188745,22.44441806976361,22.387948410242522
ARPC1B,21.81855218780962,22.31246423831539,22.4275921915413,22.52418261229983,22.019510707987187,22.37955617276903,22.584705825474835,22.868434989759045,22.6934938926912,22.222198092335898
ARF1,24.430050444735656,24.612814045871122,23.57387290509701,23.2747075498429,23.23964700533773,23.646963168246906,22.822786178247622,22.872603496273797,23.231787682714973,23.309157866759058
ARF3,24.3702108783421,24.603557863764255,23.57387290509701,23.2747075498429,23.200813127130033,23.627941638879896,22.874120939144348,22.946912033658656,23.126484670702098,23.333728113053695
ARF4,24.730831374065072,25.053382961551034,24.60449171008129,23.75130615355195,23.895381344698055,24.498562725747036,23.64708295402475,23.827105670272076,24.00429815922479,23.999778823917147
ARF5,23.058091754023707,23.21027732116908,22.97539354599889,22.375922122646667,22.861225605984266,23.127116828173143,22.22553755445701,22.55122147361046,22.732384763659265,22.225823891069112
ARFIP1,20.105425864717603,19.78244637996964,20.137516532426325,20.028577808829812,20.92768779255501,20.209598599024456,20.64764359527438,19.73847781199461,19.58670406247007,18.75235182808563
ARL1,20.647789047329432,21.433750373759942,19.843265587340404,20.13166209677323,19.77229674151841,20.388267659000807,18.76744081828863,19.542166638550082,20.123051449969704,19.8124493188999
ARMC6,20.589327851006562,20.162758118711313,20.717890871322883,19.710050230139935,19.135471763692717,20.422914719349784,19.48228106651952,19.327129736466368,20.26121883023588,20.262095620225786
ACTR2,21.952155596900816,22.109914085107143,22.107098372736456,20.677625675345936,21.66239754741849,22.129478122490134,21.54861523340118,21.40786520472249,22.344633699302204,21.894260722979183
ACTR3B,22.732238850037184,22.211223546932622,22.404218418275903,22.649995963658508,22.652675212644287,22.233786972352824,22.49475890619836,22.260824781409703,22.35849375312518,22.492613230140474
ACTR3,22.600393121657376,22.843342571444275,22.680758599549,22.742230817227863,22.652689112037876,22.856507534650742,22.80556742847348,22.61609064794649,22.74744388389498,22.587895010501967
ARPC2,22.82372612016693,22.9062021789604,23.000337812641803,23.022889839810496,22.859773471178823,22.682955212962238,23.188280586317255,22.624722988871916,22.573841020681854,22.811860123823564
ARPC3,21.7008272520956,21.645082120596822,21.61341968009131,21.652657255580916,21.35549312797126,21.442852400151605,21.301376612712467,21.57440214808242,21.410038758297823,21.358610538173096
ARPC4,23.308454246355552,24.118533650943924,23.646600395329557,23.33665731415003,23.644470000986544,23.555157628593427,23.83867076866136,23.21621889021493,22.99039224701141,23.30975208556429
ARPC5,25.30520382679781,24.91423061198288,24.472562878642677,24.23940810485148,24.673833087465763,24.185493046466387,24.886302004986455,24.9225212887199,25.338304497165293,25.432693575460892
ASAH1,20.939636029613034,20.944422714527093,20.600473251853987,20.540588392917005,20.917753635904617,21.01793286069215,20.31132624582559,19.8610602150936,20.470845956270928,20.505434940529533
PYCARD,19.153985938724723,19.677331888704032,19.519276695880176,19.430936807687495,18.791182290097375,19.28000095413477,18.978805087109684,19.15629607578591,19.193553526359835,19.704632878698746
ASPH,20.464126917282385,20.918547450651133,19.933513292986483,19.916465909360745,20.33407404079658,19.988077490175563,19.61035010973324,20.444556213781947,19.619810852115343,19.926079685663197
ATP12A,24.35105440103052,23.541082918766097,23.41252358774927,24.838597472654765,24.62961324911881,23.93788344269162,24.875319113114802,23.74864522574518,23.529438301288344,24.38640318640908
ATP13A3,23.987285029754112,23.410288759779796,23.754541350203947,23.477176330379944,23.658365499005175,23.98498374741624,23.68664275997258,24.28844047385801,24.091775377340117,23.672216377086418
ATP1A1,20.804532022174755,20.722123139705538,21.13308350525698,21.04884138479263,21.10316817799186,20.836280736523968,21.807750879500187,21.575915849328354,21.157471973000995,21.734119045177604
ATP1A2,24.088679698150038,24.020840430057337,23.74813804976945,24.087728000657485,24.268917169282716,23.937114429584113,24.116102372627676,24.388548599018293,24.18983506548548,24.139737609184127
ATP1A3,24.20272978220482,24.24113790141131,23.828956547326477,24.087916798531737,23.98601876330913,24.200174793598187,24.16058872827343,24.589821866862685,24.594307113509043,24.195027863806352
ATP1A4,24.369256975582203,23.89547967359877,23.556398491764558,23.981937260047285,24.268917169282716,23.937114429584113,24.050330059195122,24.068596912381736,23.574311183895336,24.28276804736396
ATP1B1,22.082276260887514,22.31463314520104,22.30191932595689,22.281196081128464,22.05257218709538,22.450452588501893,21.741611620152405,22.099652316549836,22.367918492155244,22.921280383191174
ATP1B3,22.194692273301783,21.184644412654553,21.33825776943874,22.126640150559986,22.531460468090934,21.457055628542527,22.319645544160938,21.873591134093893,21.206607617002387,22.828251820214643
ATP2A2,23.3174546254663,23.521442580529015,23.67096073944953,23.56068335544939,23.611033598387163,23.480750879050632,23.803772252210344,23.639406842073345,23.51391562994295,23.722241237540594
ATP2A3,23.52345480118958,23.759463941220947,24.07805503287547,23.97632168291021,23.740734670250365,23.88220986399071,24.32592170909613,24.35064016235603,23.898838570296892,23.16922428147794
ATP5PB,21.273607181631693,21.38760849493181,21.803908665883593,20.330392600173873,21.257947353586733,21.75405895410169,20.73464140812728,20.914314796884398,21.279563444580315,21.871429848597238
ATAD3C,19.31022010905919,20.04403421376508,19.389864265762682,19.27373880441801,19.36104459677048,19.583664257685165,18.178695474469507,16.666546273606006,19.117949118291968,19.847743580491343
ATL3,20.13365752043565,20.149708061770276,19.807538466822493,19.266417473599436,19.562950627270276,19.96967950334363,18.89041712987072,19.433948616775467,20.086682606218083,19.722385267111136
ATOX1,23.407664496214576,24.223849992067596,23.594257612348663,23.654263117630695,22.87608446137104,23.704396920967657,24.55934100645466,24.232710937565066,24.635520997525724,23.229766702754652
ATP5F1E,24.35105440103052,23.541082918766097,23.557847758616393,24.537635621812093,24.62961324911881,23.93788344269162,24.875319113114802,23.74864522574518,24.039698127190487,24.38640318640908
ATP5PD,22.23933881544115,21.975773604605376,21.94947263906154,22.380530355932553,22.158340388645545,22.221164677296816,22.462408492487196,22.21035380466981,22.569276251303435,21.759459267599595
ATP5PF,21.024425362292266,21.26009994277162,20.985527532614114,20.666964151300203,20.800183048257352,20.641998115059245,19.379531799317714,19.306773867690822,20.070525857040884,20.665138575522533
ATP5MG,22.407208416329798,22.30741611079986,22.40988672846505,22.22613483707962,22.59016435228351,22.67637726596103,22.871381049144148,22.15594743749625,22.011143041750003,22.70658079486235
