OMICS_ICL103_NS1_24hr_Protein_1_029,OMICS_ICL103_NS1_24hr_Protein_2_084,OMICS_ICL103_NS1_24hr_Protein_3_051,OMICS_ICL103_NS1_24hr_Protein_4_071,OMICS_ICL103_NS1_24hr_Protein_5_011,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
AFDN,17.901454605495026,17.14146175480547,17.90083176782486,17.787476456838696,16.942319160104454,17.12566575112035,17.20563331659843,17.197051798383097,17.869205116152315
AFG3L2,18.78188204470338,18.54987478554218,17.971735024497132,17.532153386509655,19.045158775560942,19.061473739839567,19.08084407294917,19.052081726367774,17.988615080364475
AGK,19.822996886305315,19.34747685527059,20.357190732126913,20.305990713496197,18.835598421838093,19.42559604928186,20.44731063736515,19.933370739153894,19.746222792518164
PGM3,19.694109124048605,19.98001042624051,19.59405704520956,19.545282953538056,19.187317786332027,19.512638324254212,19.73839637623254,19.515976932237834,19.37779976017722
AHNAK,22.868879572933942,23.40460381301083,23.668361348437458,23.71330688831747,23.493039614068717,23.046614342308125,23.130975915626017,23.2659699452917,24.287291633514087
AHSA1,23.046029344958054,22.406856222635668,23.163605059614486,23.25378668685677,22.79672232429766,22.897467673233713,23.07042635542571,22.943480314489598,22.943270441261504
AIFM1,20.932543850423,21.16951759901079,21.38618165933084,21.35889565939001,21.062198148820563,21.115370483962145,21.61623357701936,21.127928548170956,21.054024974211917
AIMP1,22.87051846445878,22.824865466400603,22.61703814339808,22.24734573775782,22.491624935207632,22.814244847852144,22.41222864475308,22.708460797869733,22.875686835727983
AIP,26.88106005160203,26.536307493011527,26.370623799369767,26.599864512838714,26.4189602995672,25.853986979939926,26.537313845493227,26.34245949009426,26.77410310285981
AKR1A1,21.025570439030517,20.715222915255577,20.067094703437583,20.771994964490204,21.254432990340085,20.426549125540262,20.209046811922946,20.102899108335112,19.83909514610138
AKR1C1,24.70285820098737,24.50015491052602,24.489493755780337,24.720796062998176,24.75905093550652,24.42340208428596,24.26302192562047,24.207514480245038,24.649405102215702
AKR1C2,22.531164359189482,22.771348572475482,22.3988223584528,22.639615793360385,22.653601184854185,22.197578336585106,22.132358612200427,22.371025062135413,22.59699763995045
AKR1C3,24.71271568255075,24.64853612104222,24.429754430198827,24.720796062998176,24.654204232145787,24.50831979810625,24.233718445905815,24.146055111844,24.415028500364294
AKR1C4,22.973507915720358,22.976476120586064,22.622016000095655,23.163455573595158,23.08762564115201,22.598147154674862,22.734500111049357,22.699276258009885,22.901433223705013
ALDH1A2,24.36054279330351,24.518698168476206,24.730634565283758,25.261297796608712,25.309516463863794,24.696021384562847,24.841291307425355,24.922298000172084,24.858432881320816
ALDH1A3,24.51946484382827,24.902958319353267,24.52635444426886,24.926494001691097,24.945142309345282,24.919085391025213,24.627594759987247,24.395263063147308,24.375685878319562
ALDH7A1,22.43489537273755,22.198334168984122,22.260493276117103,22.104659518203313,22.472021466806677,22.379804352849167,22.149443104969144,22.144999818326966,22.011086234907534
ALDH9A1,22.48910797569866,22.43440446432735,22.124495978275153,22.40263362385768,22.58387087409693,22.069081449018647,22.11698686347094,22.086411241922324,21.614189499826445
ALB,30.438739981853374,29.960757484803082,30.065259968515043,31.058120832210626,31.416355610869196,30.401408769106993,30.225444023098255,30.090759961212726,30.162925926299234
ALDH2,20.951966581528556,22.063520168284388,21.215303696861422,21.569867320862304,21.295298125569293,21.419709646905925,21.455370831153807,21.55597791731185,20.769843529970768
ALDOA,22.18007058402279,22.191882269677492,22.054133329081928,22.424776894300827,21.022837889087935,21.132059409862574,21.930321471982246,21.575795422979752,21.82540185804238
ALDOB,24.494672537219312,24.772253896343784,23.915343129901114,24.80976590546602,24.56853462573421,24.486587259766527,24.786894614187492,24.893929181297036,24.540576358681374
ALDOC,24.355013725368835,25.412332137935778,24.014542232890673,24.779304938667163,24.626834049565787,24.426248538917832,24.878316495602846,25.05890762917695,24.402212763631987
AKR1B1,24.65743503547003,25.24886250668171,25.083378360406314,25.11732150002696,25.235467057499818,24.519261579444507,24.384818729748627,24.726280446607156,24.34283145892737
RNPEP,21.24082502110454,21.870507629891577,21.209117288025137,21.8782857904306,21.691940307388563,21.659575897886434,21.254083557908427,21.158637401539877,20.864615059457083
LAP3,21.693933253185865,21.514505103618912,21.430462403458836,22.819140095669866,22.4949863875012,21.53831486008016,21.738611033064807,21.5962185152739,21.447517958550222
ANP32A,24.68439704747355,24.6738102563319,24.35196112260743,25.053242728054236,24.30737949443404,24.310021103561116,24.63262176786234,24.67205801908213,23.995513827801908
ANP32B,23.801902869246085,23.563791223626694,23.747748127482154,23.026212350219687,23.272013227619375,23.377050012706196,23.172740287253365,23.607449649743486,23.283792744177457
ANP32E,21.828823889149568,23.003352570923433,22.829063938263374,22.838698740624707,22.31876615996109,22.288810532564305,22.63177774411248,22.39954499970213,22.47211360937132
ANKRD36,20.577314374190763,21.030352748015034,19.931325232899418,17.616954141622923,19.295102603713367,20.479459379369768,21.057191586421624,20.546215661359998,19.155653922010103
PRMT5,20.7289140128959,20.44811430872406,20.51163929033843,20.70432052264995,20.27453539953151,20.575103715448584,20.845908532702417,20.878774978464804,20.873713771991483
ANXA10,21.800930868424395,20.53340337226651,21.0227754204008,22.204483963513262,22.249536511603285,21.60085767764985,21.362798591416528,21.49748764349188,21.576810896264384
ANXA11,22.060384518191473,22.963294474517937,22.861507833636484,23.073934964072905,22.648928362852168,22.89275270131632,21.97974912418478,22.885796186496034,22.529209029105154
ANXA1,23.048935830859,22.99351824991106,23.048923335196733,23.156689421104993,23.105925803041394,22.996739892899,23.046218665423794,22.851013982921216,22.867180075497046
ANXA2,28.02125924472763,26.865083338317902,27.083275488772742,27.604769724166534,27.103138746590204,27.235807470646026,27.514373243728667,27.62299720007874,27.39255647718324
ANXA3,25.126309113049487,24.794808051314185,25.19641346365384,25.752206108921968,25.67939464969234,25.263531692755294,25.37113689244365,25.2148021611686,25.818562905474245
ANXA4,21.847487329200938,22.18972657009803,22.197449211257428,22.146334846021524,21.708030727913318,21.826488370098403,22.442714368098535,22.07230475325962,21.78186240614737
ANXA5,25.332071842861154,25.1062143204123,24.491910600108543,24.788596184451976,24.92665807532067,25.206946425532102,25.016718626341483,25.152818996906753,24.814429359394016
ANXA7,23.920394567245516,23.779531382386473,23.797288038005412,23.786051257625907,23.87797186632164,23.978845032309792,23.834833974896213,23.598107682976824,23.58711996283374
AP1B1,20.056900683117497,20.79604644845599,20.325410253484478,20.198176205613983,20.427593914658082,20.701765275500136,20.865449285097448,21.047917626716817,20.050413541133594
AP1G1,19.26462183175667,20.128579425647565,20.655236855548008,20.18345152484825,19.204893756494776,19.694666232668375,19.674136481359522,19.791592897410354,20.013521263017925
AP1M2,18.54814142600091,18.395343979257298,18.231622744431576,18.109363814238378,17.4384541913249,17.89953867313681,19.020142582830076,18.711877548606743,18.158528600099643
AP2A1,20.313848783233322,20.929036845681264,21.05465557193613,20.268266917954232,20.408338606829645,19.92041640198468,20.262636092661257,20.302486150628756,20.043972652647845
AP2A2,20.039052922084053,20.76348586533626,20.589491064273314,20.903066177559154,20.594490254081578,20.395938592786216,20.69240140518192,20.54479066361232,20.264946456210794
AP2M1,21.291329032724427,21.78454002891623,21.472409637798414,21.685876705341627,21.44735763781641,21.549557887240127,21.67892355263614,21.70909681380401,21.673097050001125
AP3S1,22.554354084009695,23.343296568606966,23.4825742534851,23.232204667506245,22.01938154710685,22.17047447760764,23.37517834901496,23.087953313048136,23.01145948315448
APEX1,21.991719601801634,22.369080824262927,22.334523717923954,22.40771713873103,21.855699961907504,21.93240737628197,22.315137632087392,22.34011304889512,22.07935034167351
API5,23.192506591515887,23.515995340987743,22.858738349154358,23.280612608504242,23.159998877227626,23.34506814245826,23.471555021731426,23.52487780861468,22.947749073469183
APOL2,21.82448598989633,21.12855360015202,22.14960660763574,21.707951250065904,21.262278489234994,20.879907519804014,22.15789053295544,21.33883440647166,20.828480641030165
APRT,24.29595616876294,24.859066883156178,24.805084503114553,24.980108752027462,24.519995380210407,24.24727855730267,24.225470042071006,24.589318874984578,24.361106912159762
ARL6IP1,20.793771429506254,24.557381191724232,22.721991861248018,22.805455305123512,21.68155969326257,24.01358634261077,24.282402392720364,24.040278901821225,21.833862194660977
ARPC1A,22.03854114650477,22.614115054107412,22.485574624183542,21.85640644347215,22.38687960759129,22.05404563370496,22.34308623302551,22.381291762877566,22.456212786989624
ARPC1B,22.094801893304428,22.53259313124493,22.55099015077301,22.213214701689765,21.893164323677507,22.17205893864491,22.415092223496977,22.37214597070033,22.620618848745366
ARF1,23.525082382374674,24.180463126592482,23.96370265153324,23.572554588846224,23.046128064677298,23.555633024413137,23.627260311407305,23.65587572562946,22.933044774265447
ARF3,23.536422477181063,24.171574213432386,23.643769671881667,23.494828702385266,23.106841723515235,23.555633024413137,23.627260311407305,23.65587572562946,22.81257972754648
ARF4,24.018034540837643,25.01623579700094,24.367395271665377,24.62501965463089,23.857108418550396,24.619318635974675,24.13361221563145,24.54143564022684,24.172581328491276
ARF5,22.454831636877195,23.14028714273326,23.09312808259433,23.002697648600176,22.224895316911464,22.770030112460507,22.49953546821213,22.771434892162862,21.995678760637848
ARF6,21.722493053922356,22.57161029031495,21.71860107229255,21.357493045817172,21.44860054052381,21.982198387825193,21.903341900164918,22.10735768995866,21.092225044242728
ARHGEF1,16.66697673636646,16.937370612026307,16.87731879987962,16.69044796061164,16.812248028906332,17.298080861861433,17.49644647794579,17.33900627455384,16.52493337323744
ARL1,19.655250216905493,20.616926323064085,20.36584404180102,20.29314028211126,18.78717491220955,20.191867062218343,20.815635541957132,20.925016222676064,19.867734607856022
ACTR2,22.09816226743086,22.50371991375743,21.20418938278134,20.876629727156484,21.467727308990625,22.069136795945475,21.698411120732903,21.87382189282853,21.981367949023163
ACTR3B,22.29234692489273,22.55877995926528,22.806177349513376,22.174284850810594,22.236108201304788,23.149988761054335,22.623229778156603,22.50781086542834,22.57627673884528
ACTR3,22.930619727897117,22.969908673592304,23.020023459908714,22.707956043198582,22.494390941756546,22.85084616945108,22.906614747546328,22.960381002413165,22.927058702144368
ARPC5L,22.212318761162066,21.33630011703383,21.808170822469318,22.33769062459408,22.770371326501774,21.749306476932947,21.659819008635463,22.150440333515384,22.442997410326967
ARPC2,22.432609687312954,22.43120241685386,22.636135736171752,22.885793495101392,22.668449114305876,22.894049139659984,22.78630729496922,22.756084703801903,22.61583513312402
ARPC3,20.937152978937593,21.57204243727812,21.105348799092326,20.60766413574901,21.495135439943855,21.472714817904375,21.70011601853132,21.54490549407746,21.502043378262293
ARPC4,23.433902275762414,23.679525773010642,23.171491198728507,23.52524297875446,23.433117230338276,23.92851579398776,23.781727960871574,23.503472179017855,22.97341679722033
ARPC5,25.436948093647718,25.016323772857174,24.56575816470456,24.25649544627506,24.80531243530919,24.619469147727177,24.590795067384406,24.582111520530834,24.6883544833106
ARSJ,21.73621700550807,20.955123510056506,22.04402711850435,22.33769062459408,22.770371326501774,21.912909159560325,21.745710487463462,22.71516097762091,22.49217401782595
ASAH1,20.544935505470008,21.072991782246884,21.45835854718786,21.29520210797651,19.920458311186202,21.375544030260112,21.355687851843577,20.99589367580021,20.622151649044977
PYCARD,19.23807289874407,19.068450957145792,19.55052524621169,19.723406221161422,19.32972255035901,19.51665568489157,19.27426539805792,19.099615930370447,19.31362479447902
ASPH,18.542525468752945,20.178826118489972,20.640327222149047,20.39455709509967,19.785873953949316,19.995443005388786,20.29519809766697,20.363856988687516,20.68300069773243
ATP12A,23.384463410394115,23.665128661890428,23.392921923263245,23.869823306832835,24.999102600113545,24.172844816305616,23.64287708587434,23.41893674410328,23.336219110438666
ATP13A3,24.25854139858292,23.49909489457342,23.916135746182064,23.54034081456183,23.610554552837126,23.83622392992617,23.338966734399353,23.271919299423082,24.011248395067074
ATP1A1,21.429860266740622,21.421172633242794,21.49794225650414,21.93685083702826,21.849371160529145,21.200162345850558,21.350665264033072,21.495447703902975,21.83320518307798
ATP1A2,23.780597242804603,23.950066198570177,23.992704452869848,24.15089248483937,24.61473795349975,24.183552173477448,23.965083904486498,24.338490858176296,24.254963200200653
ATP1A3,24.05261301276191,24.109835362725214,24.214838582348744,24.207802281787565,24.531589668569524,24.35625588647749,24.22156490708606,24.457842606570566,24.621988863218867
ATP1A4,23.631535199258213,23.864063015323865,24.259695934664727,24.143262132972673,24.312579561500776,24.222944674736947,24.245268011578027,23.849083862210527,23.735391155447935
ATP1B1,22.673620147875365,22.558080955614514,22.64520536131671,22.513847282623928,22.724710524601143,22.354549119243586,22.46532299838444,22.597911303278,22.372637968408633
ATP2A1,21.109987460666574,20.687360027257135,20.845668713730944,20.52075817862469,21.237965525193566,21.089919175778753,20.54877687771907,20.567276262042306,21.346831455352692
ATP2A2,23.738947174093127,23.359295458069674,23.350251609051877,23.1774584071632,23.31895650687502,23.585748049729723,23.683912520231964,23.616103051233754,23.405956930697798
ATP2A3,24.166196388150052,23.452343938767864,23.932365568263045,23.890425651033272,23.36440117047533,23.968729839142117,23.49329734415436,23.478487387647736,24.095492707144658
ATP5PB,21.012945076378166,21.55163661614207,20.938964641655986,20.604109091773505,21.868190128821976,21.235519190517405,21.230665787438483,21.168169555482095,21.223887394080947
ATAD3A,18.62110745294545,19.615315696968626,18.41390785306649,19.3090705657971,18.479331460350934,18.050380311030644,18.9876807555755,18.596876927625313,17.640423219953117
ATAD3C,17.856253441062172,19.43937212478059,19.800841342818508,19.822765968448515,19.174601865068738,20.09736164651379,19.71296992151118,20.13091546557534,18.060980735926798
ATL3,20.01096350380454,20.13526348217256,19.593889361524223,19.46947711777417,19.33431595522704,20.10191240475737,20.34745051756985,20.290849237842007,19.29465027896118
ATOX1,23.91553217848282,24.184077128010227,23.514477904683353,24.125913086862965,24.23668755745887,23.36535347102568,22.119957635322493,22.03769841656177,22.774099205680983
ATP5F1E,23.384463410394115,23.652608048121515,23.392921923263245,23.960119343067824,24.999102600113545,24.172844816305616,23.741196265490018,23.41893674410328,23.336219110438666
ATP5PD,22.11209372920949,22.18855951791513,22.382993115345855,21.714869701439774,22.250221163211,22.141272946614624,21.71988765763959,22.22959798893031,22.513591814216152
ATP5PF,20.02923479009174,20.951617227035005,20.7180157086136,20.45228112819161,19.608920786426385,21.012500318475322,20.75839854220395,20.672986096041186,19.648914044037156
ATP5MG,22.071976358395084,21.88906836371761,22.09159019227636,21.68916249818715,21.79794712970567,22.512056696255208,22.954983747018396,22.191527093782256,22.66326686217216
ATP5F1A,24.96727636943837,24.94998402920251,25.02330900593671,24.74430986363328,24.742274711950653,25.07271583406162,24.94064037174351,24.74153803848175,24.88511136290887
ATP5F1B,22.343138796360716,23.269403696379126,22.973651803802483,22.96953028329859,21.50713393415742,23.56315222249393,23.144303647424895,23.377391542004997,21.760678264853535
ATP5F1D,22.947381783614333,23.49902553929853,23.048238145507987,22.940332013984104,22.094798556348486,23.047390476430127,23.239719842385828,23.201332537895148,22.6528328014139
ATP5F1C,22.397692796693384,22.93691895458206,22.67197880863632,22.478439119158885,23.262843308552767,23.16176914150325,22.64100335797901,22.843311483646545,22.380112772944152
ATP5MF,22.57026719384786,22.813376783448547,22.64978350519363,22.26425702966364,22.1796107134188,21.859534944682657,23.3308307181049,23.16931000772975,22.608271535105395
ATP5PO,23.332364793738748,22.87350291904804,23.016240769825888,22.86025167008658,22.95759959161302,23.285832829994533,23.27363599789299,23.270136894388862,23.177170800281196
ATXN10,20.939405497477633,21.12783670587246,21.3076462542427,21.52052576843669,21.377592515196444,21.208848495209402,20.975974457467725,21.335593589740686,20.846636732875258
ATXN2L,19.911303915649075,18.522239043050384,19.51145147850439,19.241994016743515,20.28288156672818,19.879498868902996,19.816886982965084,19.19539862732321,18.133680736124113
ATXN2,19.11569249166559,17.510716877195083,17.474887320948213,16.255876102533012,17.986330603669607,17.789967348969878,18.042997319501154,16.671023847803,15.853976880355344
ANXA2P2,28.926284274978368,28.657869825963843,28.382479142585435,28.302330386024146,28.44200223865903,28.639817533604525,28.555226069308112,28.694105033835616,28.46879871760825
BCL2L1,19.349045855083176,20.631733798733862,20.29017074995734,20.23304592818373,19.723130278127964,20.553865355956518,20.3849701681281,20.58147389900818,17.764669127377076
B2M,21.70488536940156,21.72870719404986,21.705267325721373,21.633648775911958,21.776126625663363,21.140326626896865,21.7754524839353,22.08443431544498,21.50187124761019
ACOT7,21.956128503170852,22.05213164953755,21.73257860699822,21.465383474400873,21.28104228962361,21.657353504237083,21.471893796192663,21.082345508841353,21.359323669078552
