OMICS_ICL103_Mock_24hr_Protein_1_072,OMICS_ICL103_Mock_24hr_Protein_2_046,OMICS_ICL103_Mock_24hr_Protein_4_001,OMICS_ICL103_Mock_24hr_Protein_5_107,OMICS_ICL103_Mock_24hr_Protein_5_107.1,OMICS_ICL103_VN1203_24hr_Protein_1_117,OMICS_ICL103_VN1203_24hr_Protein_1_117.1,OMICS_ICL103_VN1203_24hr_Protein_2_095,OMICS_ICL103_VN1203_24hr_Protein_3_113
ADRM1,21.076204254539203,20.598647318149226,20.21007799362541,19.65547897740546,20.978308872503018,19.784586911992115,20.432018618012727,20.59248955042865,20.10310155658202
SLC25A4,26.231202989345476,26.005221868975674,26.726476464675237,26.29339276006056,26.14434083546616,26.672160917324366,26.332588142412277,26.625760859375166,26.24672484759926
SLC25A5,26.148556440240768,24.843169109500067,26.65188511507967,25.343952289131536,25.911743775775257,25.3209627492744,25.8705604627923,26.145900070391153,24.70115022865937
SLC25A6,26.211264563418943,25.89620978082947,26.75180460462495,26.18222734949247,26.165149189371007,26.469329702776594,26.42130287757843,26.6041757412621,26.203080423631025
SLC25A31,26.191326137492414,25.89620978082947,26.605668839110436,26.278127731244478,26.115553419313642,26.672160917324366,26.53293413582444,26.669256215121493,26.24672484759926
AFDN,17.529565577961122,17.42363005602231,16.997696607859073,17.369152425481253,17.268539270221936,17.12566575112035,17.20563331659843,17.197051798383097,17.869205116152315
PGM3,19.31945833775088,18.969887277194328,19.538158672984036,19.471249351674984,19.542766492137396,19.512638324254212,19.73839637623254,19.515976932237834,19.37779976017722
AHNAK,23.82178036821489,24.25180135085101,23.574729082745655,23.410224274006325,23.776703870980803,23.046614342308125,23.130975915626017,23.2659699452917,24.287291633514087
AHSA1,22.74618867713406,22.73857199751427,22.853641398686705,22.93961254312819,22.6013775308514,22.897467673233713,23.07042635542571,22.943480314489598,22.943270441261504
AIFM1,21.527441356345136,21.03579146383659,21.369068297653122,20.76951254636437,21.114791017583453,21.115370483962145,21.61623357701936,21.127928548170956,21.054024974211917
AIMP1,22.590098251135416,23.11981909003751,22.574032944519246,22.336422644003946,22.24798137046234,22.814244847852144,22.41222864475308,22.708460797869733,22.875686835727983
AIP,26.426084383145785,26.612240388959094,26.77068626086915,26.848911845133635,26.370737321732346,25.853986979939926,26.537313845493227,26.34245949009426,26.77410310285981
AKR1A1,20.397376838439754,20.10500221373878,20.77395126473893,20.915264454021674,21.377909470289712,20.426549125540262,20.209046811922946,20.102899108335112,19.83909514610138
AKR1C1,24.57458610804025,24.119188574796965,24.33591339550796,24.738325475331052,24.81000752760522,24.42340208428596,24.26302192562047,24.207514480245038,24.649405102215702
AKR1C2,22.665440150911515,21.99601916463625,22.187884984645848,22.905880376481903,22.86697729694388,22.197578336585106,22.132358612200427,22.371025062135413,22.59699763995045
AKR1C3,24.528637520125464,24.17768437877281,24.56143728175889,24.92568732879085,24.81000752760522,24.50831979810625,24.233718445905815,24.146055111844,24.415028500364294
AKR1C4,23.271461815060086,22.492106494790043,22.852911542642254,23.19119005453011,23.35879096068826,22.598147154674862,22.734500111049357,22.699276258009885,22.901433223705013
ALDH1A2,25.183586453262976,24.88518595057943,24.397218147361492,24.96391066521556,25.18150092322172,24.696021384562847,24.841291307425355,24.922298000172084,24.858432881320816
ALDH1A3,25.0684635370759,24.364688685383488,24.650669056014298,24.930638033250272,25.132889029145794,24.919085391025213,24.627594759987247,24.395263063147308,24.375685878319562
ALDH7A1,22.263528364541937,22.01571843515431,22.150005915990885,22.515504869858503,22.218877939156144,22.379804352849167,22.149443104969144,22.144999818326966,22.011086234907534
ALDH9A1,22.779257836324344,21.505505592484205,21.728940676768435,22.37889292972743,22.561909362435344,22.069081449018647,22.11698686347094,22.086411241922324,21.614189499826445
ALB,29.849517618964565,29.985091896122288,30.189649000425284,31.776795114934263,31.329590265155268,30.401408769106993,30.225444023098255,30.090759961212726,30.162925926299234
ALDH2,21.543544712967368,20.954064832827555,20.94978779767246,20.822113763274167,21.65705421110586,21.419709646905925,21.455370831153807,21.55597791731185,20.769843529970768
ALDOA,21.343935468628416,21.544875830700885,21.45377919100622,21.9235764696664,21.682452829496604,21.132059409862574,21.930321471982246,21.575795422979752,21.82540185804238
ALDOB,24.653920959228525,24.552978041867977,25.0106157399996,24.65577780785192,25.085369858412008,24.486587259766527,24.786894614187492,24.893929181297036,24.540576358681374
ALDOC,25.066970690679128,24.684699346908808,24.50496587094345,25.25058178020595,25.090605250635004,24.426248538917832,24.878316495602846,25.05890762917695,24.402212763631987
AKR1B1,24.110940184441343,24.32325400632275,23.966174955691976,25.601708771480702,25.42448472133678,24.519261579444507,24.384818729748627,24.726280446607156,24.34283145892737
RNPEP,20.781799859375788,20.526097185200392,20.925153374236643,21.865821211267892,21.984101028358005,21.659575897886434,21.254083557908427,21.158637401539877,20.864615059457083
LAP3,22.39012015018136,21.503441536653767,22.258284709031432,22.10622004151741,21.32867653765151,21.53831486008016,21.738611033064807,21.5962185152739,21.447517958550222
ANP32A,24.531591049850565,24.341709418448744,24.394428262785112,24.521600988506307,24.71617482699111,24.310021103561116,24.63262176786234,24.67205801908213,23.995513827801908
ANP32B,22.905091808105375,23.39436846801331,23.455891054201608,23.796540979153683,23.781146599842998,23.377050012706196,23.172740287253365,23.607449649743486,23.283792744177457
ANP32E,22.336807692304113,22.273131844901567,22.552547394548483,22.06129268141828,22.2839635740834,22.288810532564305,22.63177774411248,22.39954499970213,22.47211360937132
ANLN,17.878608450285206,17.763862005105977,19.01387397804601,19.905404579397995,19.924677351739003,19.89558671528969,18.49333336710263,19.02613481429546,16.777716566170405
PRMT1,24.450196107439922,23.84705327245456,23.394902909265248,24.134087861332503,23.584671760068524,23.86482107313165,23.96591219919958,23.552811307741806,23.515303398124423
PRMT5,21.009506208534496,20.195433997082958,20.560353735867185,21.141960280236447,21.22800424004991,20.575103715448584,20.845908532702417,20.878774978464804,20.873713771991483
ANXA10,22.459703700505727,22.471331650817334,21.367156103235754,22.742198162104085,22.31790331396222,21.60085767764985,21.362798591416528,21.49748764349188,21.576810896264384
ANXA1,23.221984498264895,22.9120863223561,23.039898020180903,23.31300615242089,23.080755376048103,22.996739892899,23.046218665423794,22.851013982921216,22.867180075497046
ANXA2,27.592287648123794,27.030449641910778,27.38525879818023,27.3273289794079,27.04959923696024,27.235807470646026,27.514373243728667,27.62299720007874,27.39255647718324
ANXA3,24.972280432370354,25.296912043531492,25.29252030193117,25.297579291760137,25.182504403429533,25.263531692755294,25.37113689244365,25.2148021611686,25.818562905474245
ANXA4,22.163493614286867,21.772231764529735,22.22481088067732,22.015864573474843,22.239497983973827,21.826488370098403,22.442714368098535,22.07230475325962,21.78186240614737
ANXA5,24.88710535587323,24.519608934589115,24.886280992619696,25.088891251577763,25.222073617043204,25.206946425532102,25.016718626341483,25.152818996906753,24.814429359394016
ANXA7,23.686499256646343,23.687538019401387,24.140998823821988,24.11590499893007,24.059537728285857,23.978845032309792,23.834833974896213,23.598107682976824,23.58711996283374
AP1B1,20.54856479395731,20.014460938857216,20.95992267117017,20.085711381515587,20.533331063077487,20.701765275500136,20.865449285097448,21.047917626716817,20.050413541133594
AP1G1,20.138399315131586,19.686405756477185,19.902101778889822,19.910773369835876,19.950412405840353,19.694666232668375,19.674136481359522,19.791592897410354,20.013521263017925
AP2A1,20.80198743837164,20.462975204175283,20.860716243430574,20.11080288780011,20.990235089452767,19.92041640198468,20.262636092661257,20.302486150628756,20.043972652647845
AP2A2,20.808257409645705,20.46847153594101,21.067498726788067,20.342967410185718,20.671395370542022,20.395938592786216,20.69240140518192,20.54479066361232,20.264946456210794
AP2M1,21.668631808761113,20.910391495611574,21.81961952826077,21.48820891529881,21.662934323426697,21.549557887240127,21.67892355263614,21.70909681380401,21.673097050001125
AP3S1,23.40567562917796,22.198702938626813,21.382984543185763,22.055590534823914,23.090664955152874,22.17047447760764,23.37517834901496,23.087953313048136,23.01145948315448
APEX1,22.304009172910703,22.288972628654555,21.99161838787911,21.735129258487216,22.305204418102228,21.93240737628197,22.315137632087392,22.34011304889512,22.07935034167351
API5,22.9669219828766,23.518533100966188,23.351654661964492,22.94647061763499,23.28271086146797,23.34506814245826,23.471555021731426,23.52487780861468,22.947749073469183
APOL2,21.492989485000294,22.420759994845966,21.3777714043199,21.56243592713288,20.62056939619091,20.879907519804014,22.15789053295544,21.33883440647166,20.828480641030165
APRT,24.56324045763555,23.788118319484717,23.98684769444478,25.070129470421648,24.87070341314945,24.24727855730267,24.225470042071006,24.589318874984578,24.361106912159762
ARL6IP1,23.11365262798804,23.884954257583452,23.63032777948305,23.635453955017027,24.40873829703453,24.01358634261077,24.282402392720364,24.040278901821225,21.833862194660977
ARPC1A,22.454351083716503,22.554675992072646,22.314315476534873,21.430001781617364,22.202290383151457,22.05404563370496,22.34308623302551,22.381291762877566,22.456212786989624
ARPC1B,22.187777278284273,22.6283928538082,22.390308508528843,22.303012733715967,22.013521450169513,22.17205893864491,22.415092223496977,22.37214597070033,22.620618848745366
ARF1,23.484948709397543,23.043736267905675,23.47052397930075,23.68899665299144,24.077222079382146,23.555633024413137,23.627260311407305,23.65587572562946,22.933044774265447
ARF3,23.52065429979455,23.131774409696604,23.47052397930075,23.896405744757622,24.021644215546242,23.555633024413137,23.627260311407305,23.65587572562946,22.81257972754648
ARF4,24.106802827699582,23.979222457104704,24.223657038686817,24.676951780845958,24.89901938841923,24.619318635974675,24.13361221563145,24.54143564022684,24.172581328491276
ARF5,22.54480798518146,22.574720485611156,22.628306319235623,22.83756883612311,23.088903265510965,22.770030112460507,22.49953546821213,22.771434892162862,21.995678760637848
ARF6,22.436113720931633,21.974389715943694,21.903713552969077,22.271078751134496,23.003439219996267,21.982198387825193,21.903341900164918,22.10735768995866,21.092225044242728
ARL1,20.84596890691659,19.0320084564572,20.149903845251522,20.2348122060125,20.68613517287384,20.191867062218343,20.815635541957132,20.925016222676064,19.867734607856022
ACTR2,21.50519688305036,22.303432446742217,22.540638871215602,22.699107761436967,21.78550814446702,22.069136795945475,21.698411120732903,21.87382189282853,21.981367949023163
ACTR3B,22.20669858822754,22.419910106738577,22.292883102250897,22.64631469897035,21.770154774618177,23.149988761054335,22.623229778156603,22.50781086542834,22.57627673884528
ACTR3,22.746427388160114,22.741152292143926,22.666053130536636,22.496807454311092,22.73695464609846,22.85084616945108,22.906614747546328,22.960381002413165,22.927058702144368
ARPC5L,20.74701241729941,22.81819812621903,21.810501862521757,21.363938718968143,21.146629632245595,21.749306476932947,21.659819008635463,22.150440333515384,22.442997410326967
ARPC2,22.590346320039792,22.471795158156098,22.733238472568452,22.482242937196247,22.40863788070994,22.894049139659984,22.78630729496922,22.756084703801903,22.61583513312402
ARPC3,21.598162983043252,21.81753338850077,21.455081045958828,21.42202005435916,21.281803916197156,21.472714817904375,21.70011601853132,21.54490549407746,21.502043378262293
ARPC4,23.401848070742208,23.20800882574827,23.767519079913917,23.625800195904738,23.261600467699324,23.92851579398776,23.781727960871574,23.503472179017855,22.97341679722033
ARPC5,24.695578461672497,24.055646313522757,24.78796918921197,25.00400033926968,24.47823876926793,24.619469147727177,24.590795067384406,24.582111520530834,24.6883544833106
ASAH1,20.657392935277244,20.69702252709103,20.76696714836642,21.344735534202393,21.371683974248448,21.375544030260112,21.355687851843577,20.99589367580021,20.622151649044977
PYCARD,19.429785396256303,18.777814861145153,19.776416444706474,19.41076660917764,19.72955440786314,19.51665568489157,19.27426539805792,19.099615930370447,19.31362479447902
ASPH,20.53827052047415,19.975914747781026,20.386545594498152,19.767313936269876,20.14412129035332,19.995443005388786,20.29519809766697,20.363856988687516,20.68300069773243
ATP12A,24.076672269136573,24.72151841507193,23.787692688684096,24.460643479436207,24.3350064984707,24.172844816305616,23.64287708587434,23.41893674410328,23.336219110438666
ATP13A3,23.82553953677166,23.40433429470829,24.20522410421683,23.530999315831817,23.58680004525789,23.83622392992617,23.338966734399353,23.271919299423082,24.011248395067074
ATP1A1,21.911128460458045,21.493598565463998,21.718793678832483,21.28370314997581,21.39177786195595,21.200162345850558,21.350665264033072,21.495447703902975,21.83320518307798
ATP1A2,24.514599845874734,24.42589080416726,24.751506998727876,24.43770324403928,24.261893653992935,24.183552173477448,23.965083904486498,24.338490858176296,24.254963200200653
ATP1A3,24.725549419472003,24.578737770955772,24.823793716924925,24.31542643814055,24.305350523192907,24.35625588647749,24.22156490708606,24.457842606570566,24.621988863218867
ATP1A4,24.436091207049202,24.29976382144871,24.402715903421228,24.14155098610936,24.56328162659235,24.222944674736947,24.245268011578027,23.849083862210527,23.735391155447935
ATP1B1,23.16290815309175,23.061762991469156,22.856798503668948,22.38436776099783,23.07178296238267,22.354549119243586,22.46532299838444,22.597911303278,22.372637968408633
ATP2A1,21.386324604793955,21.675921956905107,21.28900068766317,21.2079834326028,20.909777744127254,21.089919175778753,20.54877687771907,20.567276262042306,21.346831455352692
ATP2A2,23.722522429763966,23.704317004675506,23.913121115591597,23.532473428049354,23.432356063436067,23.585748049729723,23.683912520231964,23.616103051233754,23.405956930697798
ATP2A3,24.107445370117908,24.229310492920213,24.586464205023507,23.719863341386116,23.693428329422495,23.968729839142117,23.49329734415436,23.478487387647736,24.095492707144658
ATAD3A,19.859376963670076,18.2523932471401,18.982460308563457,20.4054754121635,17.662635828950776,18.050380311030644,18.9876807555755,18.596876927625313,17.640423219953117
ATAD3C,19.029082445108752,19.08523851011664,19.657632178333518,19.80933096272794,19.657439348130527,20.09736164651379,19.71296992151118,20.13091546557534,18.060980735926798
ATL3,20.08497421243741,19.110330561423147,20.29870115738509,19.653860527982637,19.785248483125358,20.10191240475737,20.34745051756985,20.290849237842007,19.29465027896118
ATOX1,22.221397455678407,23.427211511341277,23.133874717409338,24.730539000952394,24.269408476755626,23.36535347102568,22.119957635322493,22.03769841656177,22.774099205680983
ATP5F1E,24.076672269136573,24.483804958224436,23.787692688684096,24.13266808442413,24.3350064984707,24.172844816305616,23.741196265490018,23.41893674410328,23.336219110438666
ATP5PD,22.013202248532828,21.990590078679666,21.95035305798553,21.78319298846636,22.113362986473664,22.141272946614624,21.71988765763959,22.22959798893031,22.513591814216152
ATP5PF,20.171444451552833,20.580201500685742,21.254811407032214,20.406552821760826,20.21728173611193,21.012500318475322,20.75839854220395,20.672986096041186,19.648914044037156
ATP5MG,22.559024474794228,21.740132111795354,22.221750528129817,21.9423368109525,22.451146609125466,22.512056696255208,22.954983747018396,22.191527093782256,22.66326686217216
ATP5F1A,24.780733051775385,24.838712162183345,25.253143652252486,25.008169782222563,24.7057047807073,25.07271583406162,24.94064037174351,24.74153803848175,24.88511136290887
ATP5F1B,22.586200648756677,22.421211565386763,22.929933319931205,22.448929001511566,23.054011063159777,23.56315222249393,23.144303647424895,23.377391542004997,21.760678264853535
ATP5F1D,23.34783011776494,22.571842866405404,23.16286306907578,22.81256686822247,22.955485524995744,23.047390476430127,23.239719842385828,23.201332537895148,22.6528328014139
ATP5F1C,22.799096818242454,22.262963559521786,22.839379015182764,22.81990991623357,22.9187556674294,23.16176914150325,22.64100335797901,22.843311483646545,22.380112772944152
ATP5MF,23.04652105967193,21.928517567776552,22.78372316798832,22.581450436212474,22.35511517985765,21.859534944682657,23.3308307181049,23.16931000772975,22.608271535105395
ATP5PO,23.409388045333877,23.235916915920768,23.377125530620564,22.98568829574063,22.786158106472946,23.285832829994533,23.27363599789299,23.270136894388862,23.177170800281196
ATXN10,21.37899500650226,21.237387645742306,20.880031552413374,21.619405654969576,21.421640568605685,21.208848495209402,20.975974457467725,21.335593589740686,20.846636732875258
ATXN2L,19.83903180804963,20.59679204777143,19.61465998367543,20.27345660790285,19.38897019195455,19.879498868902996,19.816886982965084,19.19539862732321,18.133680736124113
ATXN2,16.551309665733612,16.1083118631381,17.68024993152281,17.932513957980063,18.206275867129932,17.789967348969878,18.042997319501154,16.671023847803,15.853976880355344
ANXA2P2,28.57776306068429,28.53250187825271,28.991609236784857,28.48218672755467,28.34920038604193,28.639817533604525,28.555226069308112,28.694105033835616,28.46879871760825
BCL2L1,20.11523961900643,20.089202136570115,20.76608065705608,20.582890716431272,20.55437297334131,20.553865355956518,20.3849701681281,20.58147389900818,17.764669127377076
B2M,22.20055802115278,21.621473419198562,21.70379265555957,21.67407487309969,22.12488175981603,21.140326626896865,21.7754524839353,22.08443431544498,21.50187124761019
ACOT7,21.737378527525934,22.056855672664454,20.615395098530776,21.83448648217458,21.568452492481946,21.657353504237083,21.471893796192663,21.082345508841353,21.359323669078552
BANF1,23.74977033270536,23.457868218927366,24.05142964597197,24.525117580869995,24.019104232039325,24.626928026408027,23.970274980066197,24.286249428699605,24.322922049396205
BAG2,20.162603771824195,19.965569497688175,20.332325811000075,20.026263511495795,20.565262217316054,20.06075176386143,20.42209831342401,20.897571811390357,19.525591940701062
BAG3,23.814529311420884,22.97461574656942,23.558423128267645,22.322151121927003,23.185827186532634,23.235033250671727,23.311780349420662,23.417984479109986,22.03813459561066
BCAP31,23.29729704225409,22.674600831175248,23.659885397525063,22.970952245822552,22.903678027713063,23.120290989490606,23.0753617456399,23.031356638562826,22.01047610290663
