log2fc,sem,stat
AAAS,0.2122062835576628,0.7235533239395462,0.2932835446076852
AARS1,-0.06798290018559072,0.129628714209238,-0.5244432192381179
AARS2,0.0065015819714027145,0.5302438111262234,0.012261495249880487
AARSD1,-0.0557607946154306,0.20305874264151527,-0.2746042543653096
AASDHPPT,-0.36814224140418617,0.42318013662430903,-0.869942158298927
ABCA1,0.9927511420491619,0.6562861114615574,1.5126804067791297
ABCB7,-0.004360260194012255,0.281645779783452,-0.015481361720969911
ABCC1,0.26536879227677446,0.42714094508067724,0.6212675121244869
ABCC10,0.16355000217663118,0.3595059582588318,0.45492987923966716
ABCD3,0.22690829705016569,0.1520537295108461,1.4922902435877456
ABCD4,0.37628732402210474,0.5535104392433552,0.6798197420386268
ABCE1,0.12919428323306548,0.20464002003018855,0.6313246217138109
ABCF1,0.3395202036084548,0.19384197441673728,1.751530877819716
ABHD11,-0.31291324067989024,0.24519782427955128,-1.2761664651768536
ABHD14B,-1.1013375538707209,0.3000927606755293,-3.6699904102702603
ABI1,-0.9352404010224724,0.3336397974583459,-2.803144013834965
ABRACL,-0.33313268054634904,0.40166863381545537,-0.8293719063445845
ACAA1,0.23498519868204681,0.21239669655700794,1.1063505341241315
ACAA2,-0.10887613917827821,0.1457434699821266,-0.7470395702231486
ACACA,-0.026285611302181877,0.0730031387033649,-0.36006138597668685
ACACB,0.0667115181198703,0.07280538361252623,0.9162992461507
ACAD8,0.5781440328921583,0.2590450478097155,2.2318281618602516
ACAD9,0.33175788324583877,0.21991008240534185,1.5086069707087701
ACADM,0.23986749264880203,0.18008005913781217,1.3320047416534642
ACADS,0.08675294086483021,0.09693040399210219,0.89500236553124
ACADVL,-0.026114012843098777,0.37537147699799733,-0.06956845270169022
ACAP2,-0.042071647206189056,0.3063726487128025,-0.1373218117966775
ACAT1,0.20702999236691966,0.15990320273910752,1.2947207361737623
ACAT2,-0.1616784615014879,0.12591192992077704,-1.2840599107901445
ACBD7,-0.09908876866676408,1.8157818023201686,-0.05457085677373267
ACIN1,-0.41615626208343315,0.3309479125963677,-1.2574675537868936
ACLY,-0.3547340370446861,0.2333484855409921,-1.5201900120426122
ACO1,0.03092808675608083,0.26804212649240744,0.11538517158032209
ACO2,0.21946719760013522,0.1819928358936041,1.2059111916275607
ACOT1,-0.3265290157285392,0.4314425053216468,-0.7568308910247658
ACOT13,0.09121566587661434,0.2738267822239604,0.3331144789263524
ACOT2,-0.059919990281048996,0.5502577231042601,-0.10889441031924535
ACOT7,-0.30472378515881005,0.18851741050469015,-1.6164225062450068
ACOT9,0.28584013231204963,0.12328598046096245,2.318512869373324
ACP1,0.18146385517518482,0.2566257872218154,0.7071146557003483
ACP2,-0.46261281402151155,0.7778960992075138,-0.5946974338768392
ACP6,0.4681932746156896,0.3036998049481024,1.5416317922749296
ACSF2,-0.30079778142457414,0.4274770019616075,-0.7036583957599416
ACSL1,-0.19448099679609498,0.31305264823580387,-0.621240541781343
ACSL3,0.271270856701328,0.3066200310432647,0.884713421293246
ACSL4,-0.05101486336801031,0.2346993645169049,-0.21736259692486648
ACSS2,-0.8085120157096952,0.22067339024604796,-3.6638400978396843
ACTA1,0.03007659892542236,0.2596744908670833,0.11582423373583252
ACTA2,0.03007659892542236,0.2596744908670833,0.11582423373583252
ACTB,0.19547702542636713,0.2795224466169068,0.6993249658202719
ACTBL2,-0.039550505280598,0.24219290365279733,-0.1633016685629104
ACTC1,0.03007659892542236,0.2596744908670833,0.11582423373583252
ACTG1,0.19547702542636713,0.2795224466169068,0.6993249658202719
ACTG2,0.03007659892542236,0.2596744908670833,0.11582423373583252
ACTL6A,-0.19819953260046574,0.16651442747983528,-1.190284443217195
ACTL6B,-0.008193259661151586,0.3488522889024593,-0.02348632909054084
ACTN1,1.0365360043155327,0.6987184600983996,1.4834816360362926
ACTN2,0.1688306043452883,0.5053743432127423,0.3340703908156599
ACTN3,0.16966316606198717,0.08845086061830493,1.918162976323549
ACTN4,0.07398138177783764,0.09392138211281598,0.787694773155841
ACTR10,-0.32524199807146204,1.1690627837365104,-0.27820746891962206
ACTR1A,0.14817298315820793,0.11862005804506269,1.2491393580495327
ACTR1B,0.2358542374692405,0.16386961030643346,1.4392799069223206
ACTR2,0.2755987196091745,0.3070135526797869,0.897676070660705
ACTR3,0.08664538611808226,0.10093201059870491,0.8584529883445523
ACTR3B,0.3007870787137854,0.18863757167024525,1.594523699868164
ACTR5,0.2580994764363105,0.3784645744069245,0.6819646907263831
ACY1,-0.4019110652598492,0.33774071027551916,-1.1899988749712218
ADAM10,-0.44565673304038,0.4750432083727408,-0.938139363294922
ADAM9,-0.4153603769245571,0.6116781428263727,-0.6790505461014303
ADAR,0.2633905968054471,0.28502743372086053,0.9240885811132015
ADH5,-0.6925588807032383,0.18522933973274625,-3.7389264665224227
ADK,-0.8788914615052015,0.42546700679420213,-2.065710025619731
ADPGK,0.2717535060898797,0.3208437939083547,0.8469962992879423
ADRM1,0.0177065441545885,0.4222121617240969,0.04193755121189332
ADSL,0.02558002488086686,0.2668364149534221,0.09586407044680167
ADSS2,-0.3226126675700307,0.20353954285951484,-1.5850122439977248
AFDN,-0.1853197534501554,0.26878405856592136,-0.6894744965118692
AFG3L2,0.4195928515175886,0.3851420130904926,1.0894497023335687
AGK,0.1542743327723457,0.36018474223804187,0.42832001104141054
AGL,-0.0050955864951234275,0.2929697242533563,-0.017392877397518495
AGPAT2,0.6283327231387617,0.5347348143431706,1.1750361231119015
AGPS,0.12383348039189812,0.1652156684686774,0.7495262497780301
AGR2,0.4308431688772103,0.31128347136676005,1.3840862381336745
AHCY,0.054913716767348575,0.2297394962508037,0.23902601713464178
AHCYL1,-0.9848022485717927,0.5103902743340192,-1.929508256905577
AHCYL2,-0.7222739551343764,0.37937157263978616,-1.9038694705261339
AHNAK,0.0030747118312994814,0.3255965482911484,0.009443318264387969
AHSA1,0.03026126843010246,0.15683253681616863,0.19295274465637974
AIFM1,0.04652201244605436,0.15639772943139735,0.29745964097554806
AIMP1,0.09237673210615327,0.15344479443089898,0.6020193285067967
AIMP2,0.50764916342807,0.28121071649721663,1.80522694778986
AIP,-0.18439737668104073,0.21500249175959363,-0.8576522772918641
AK1,0.45673146442614865,1.52200051728772,0.30008627410985816
AK2,-0.410420512088681,0.092191157004947,-4.451842513123658
AK3,-0.5596544730802329,0.36223437289496146,-1.5450065343261008
AK4,-0.19718562908202486,0.3549044128705253,-0.5556020774358792
AK6,-2.719629884912834,0.8770070439954115,-3.1010353947933207
AKAP1,0.17172426370358806,1.0780587320623929,0.15929026740043092
AKAP12,-1.0959732883429645,0.2643643091026846,-4.14569308566258
AKAP8,0.046166707176617194,0.8118911346045874,0.056863174394805545
AKR1A1,-0.6224656545358727,0.2339754902404777,-2.660388290654327
AKR1B1,-0.5751948383350474,0.13800834056197586,-4.167826639990231
AKR1B10,-1.3283718586928561,0.7182815028825299,-1.8493750059857832
AKR1C1,-0.24863487506789284,0.11466860337484887,-2.168290776640154
AKR1C2,-0.27442054094861845,0.121398646742588,-2.260490938836377
AKR1C3,-0.3074208417320641,0.09819190853989948,-3.1308164420406
AKR1C4,-0.23127706337006515,0.11219475013643081,-2.06138935278904
AKR7A2,-0.15828111534219858,0.19413379645983037,-0.8153197342686783
ALB,-0.3677121057209618,0.29019998309194256,-1.2670989908516344
ALCAM,-0.0681621905787324,0.13471634750693298,-0.5059682201911282
ALDH16A1,-0.3667445452165943,1.0920054896188574,-0.3358449647946359
ALDH18A1,-0.12422386520647066,0.15926764000966864,-0.7799692718428516
ALDH1A2,-0.00662706413692149,0.19857132692446908,-0.03337372137036803
ALDH1A3,-0.18467551057752374,0.1607260081476947,-1.1490082576294767
ALDH1B1,0.1822731254869403,0.19739612097776113,0.9233875751159031
ALDH2,-0.1189656972856028,0.2602738633079558,-0.4570789236137886
ALDH3A2,0.1952062255370386,0.5918274595584851,0.3298363777893413
ALDH3B1,0.1952062255370386,0.5918274595584851,0.3298363777893413
ALDH3B2,0.1952062255370386,0.5918274595584851,0.3298363777893413
ALDH4A1,0.1952062255370386,0.5918274595584851,0.3298363777893413
ALDH5A1,0.22799976966030755,0.2553862685319962,0.8927644033913377
ALDH7A1,-0.12274738280654773,0.10364703170978001,-1.1842826637838528
ALDH9A1,-0.4352353196915679,0.14222223926401853,-3.0602479748867246
ALDOA,-0.3588456525174557,0.3029055565182357,-1.1846783421282412
ALDOB,0.16488283455021602,0.18786940250182316,0.877646026199588
ALDOC,0.05381593994675171,0.2853377276286948,0.18860436155425436
ALG5,-0.05444852007130052,0.7125451666819327,-0.0764141315067054
ALYREF,0.4191767068566108,0.2632696258050068,1.5921954747908447
ANAPC7,-0.12946472629327843,0.42372173247463246,-0.3055418600721153
ANKHD1,-0.2688233462472738,0.18900384698577505,-1.4223167969036428
ANKLE2,-0.17628801517147608,0.30595030971742376,-0.5761981915765864
ANKRD26,0.5987037730193165,0.16093969703202518,3.720050329783964
ANKRD36,0.6194203172020707,0.7206864620764077,0.8594865448386891
ANLN,-0.21350477343009544,0.8621236076645504,-0.24764983992083126
ANP32A,-0.21160445020335672,0.20782528189626107,-1.018184353090314
ANP32B,-0.12207538616867097,0.1735144335192575,-0.7035460030195265
ANP32C,-1.5964144507786457,0.5750179004092874,-2.776286528893008
ANP32E,-0.11567933834687594,0.22833969493253753,-0.5066107247846379
ANXA1,-0.13051037383737096,0.05556279420794084,-2.3488806799194215
ANXA10,-0.05273732503599149,0.34270431435855914,-0.1538857925809896
ANXA11,-0.14973327037862205,0.27998703912544637,-0.5347864345661194
ANXA2,0.10592828939416421,0.22582446009315407,0.4690735864063091
ANXA2P2,0.047293664946959524,0.12302112858422429,0.38443530384766983
ANXA3,0.10718213563408696,0.22624322651427942,0.47374737924948274
ANXA4,0.013036737502734042,0.18191105221836706,0.07166545047018182
ANXA5,0.11863814741265344,0.16697481058766223,0.7105152387663174
ANXA6,-0.1727797253988932,0.2494666490575218,-0.6925964895574229
ANXA7,-0.08252075906284873,0.09948419352192578,-0.8294861338415694
AP1B1,0.30556093104599213,0.25070552283470043,1.2188041475554567
AP1G1,-0.09387746024501453,0.2923841187894565,-0.321075784258361
AP1M2,0.30293662011770905,0.31904622240331104,0.9495069956815299
AP2A1,-0.46245152064628314,0.18813806981062783,-2.4580432929484615
AP2A2,-0.10339797721906052,0.17346251547087818,-0.5960825423197528
AP2B1,-0.2692818794602445,0.24195107057845688,-1.1129600659192997
AP2M1,0.11636621740093034,0.09509753165242828,1.2236512912473578
AP3B1,-0.15768035612907028,0.352298190212463,-0.44757640121278186
AP3D1,0.22730731583731867,0.35566086742847336,0.639112527281434
AP3S1,-0.01509581843666652,0.3794616463255385,-0.03978219823490641
APEH,-0.43576443813615384,0.1750245403417936,-2.4897333670191557
APEX1,-0.024996149190915418,0.14873838640010928,-0.16805445988687323
API5,0.12074215809041888,0.1680264211315828,0.7185903102457009
APLP2,0.6600559593922171,0.6363471425957887,1.037257677782154
APMAP,-0.04602514541137026,0.33331724741979507,-0.13808209976426475
APOBEC3C,-0.40924644120849507,0.3199309587824333,-1.2791711148116809
APOL2,-0.3132969123316762,0.3600819421131599,-0.870071157951095
APPL1,-0.13632879498641515,0.9598392311180335,-0.1420329473589213
APRT,-0.3362487408248036,0.14983531745285264,-2.2441220570751486
AQR,0.07136245990961498,0.3415638554589826,0.20892860520537335
ARCN1,-0.06525393955159942,0.10856050332130786,-0.6010836128722297
ARF1,-0.21463270387594946,0.2600439399981909,-0.8253709118445237
ARF3,-0.17785016043002955,0.26420275250308134,-0.6731578635917327
ARF4,-0.010021781455989753,0.24289634788748873,-0.041259498313378974
ARF5,-0.27399815717495457,0.26066619835387156,-1.0511457139639717
ARF6,0.007521154973705535,0.31470043704131817,0.023899410640850348
ARFGAP1,0.29590307884937417,0.3230160526329692,0.9160630762384975
ARFGEF1,-0.03776059716903646,0.8285766278615524,-0.0455728485444872
ARFIP1,-0.037585938880788206,0.2176337469394377,-0.17270271458059985
ARFIP2,-1.0469656570164751,0.695555054033847,-1.5052232759213449
ARHGAP1,0.08741177099190622,0.2514372716163044,0.3476484231235908
ARHGAP17,0.5142367495442279,0.6484026925573908,0.7930823783534987
ARHGAP18,-0.17579953683578609,0.37134887536792205,-0.47340802274305754
ARHGDIA,-0.18895901909879953,0.1222548828290189,-1.5456153138936015
ARHGDIB,-0.34531944068928766,0.27246080144094403,-1.267409619523327
ARHGEF1,0.36774431934155416,0.22366609443584662,1.644166588007522
ARHGEF6,0.4012126402349452,0.4163455713846245,0.9636529551656997
ARL1,0.5063962034586069,0.41528866938732517,1.2193836258660573
ARL6IP1,1.0305005617804177,0.8519608400202243,1.2095632960735085
ARL6IP4,0.5932300051172987,0.30526011830967376,1.9433590224697856
ARL6IP5,0.23941960299623588,0.18013377291021154,1.3291211255291677
ARL8A,-0.36315054873415065,0.9920045200117803,-0.36607751417285694
ARL8B,-0.07895617514360964,0.3441147795145516,-0.22944720728064752
ARMC1,-0.7422144163701674,1.1290994495904776,-0.6573507910568616
ARMC6,0.1737959779679059,0.4530409978327189,0.3836208616865144
ARPC1A,0.03235572897757777,0.16704550250992972,0.19369410424955583
ARPC1B,0.138026155258963,0.15687646774147387,0.8798397697634586
ARPC2,0.1522309779396167,0.1022980514364742,1.4881121957063885
ARPC3,0.411476168993687,0.1856982920617532,2.2158317366583655
ARPC4,0.09812729145551558,0.2260920189647428,0.43401484008516783
ARPC5,-0.19598502782048755,0.2016293797775116,-0.9720063020416353
ARPC5L,-0.09232952299952402,0.30406229586099165,-0.30365331136529455
ARSJ,0.24780274358470677,0.38275357458160103,0.6474211086221392
ASAH1,0.22893005092372576,0.3322535561584145,0.6890221238582459
ASCC2,-1.2599215558969057,2.095732273819772,-0.6011844030060759
ASCC3,-0.12687462059738763,0.2515509468309964,-0.5043694813942716
ASNS,-0.24831651043926328,0.33843273851601996,-0.7337248504033513
ASPH,0.42595272568073383,0.39521219926109386,1.0777823318134254
ATAD1,-0.5867634269427349,0.624032627347091,-0.9402768400703723
ATAD3A,-0.5689063022795722,0.3828128718210926,-1.4861211420953742
ATAD3B,-0.5689063022795722,0.3828128718210926,-1.4861211420953742
ATAD3C,0.28178999394607374,0.6081007355084429,0.46339360815024266
ATG3,0.49051627734840153,0.28090972062422476,1.746170535709475
ATIC,-0.4186689977844473,0.18546881650354424,-2.257355202223155
ATL2,0.5669044459416206,0.43247531021242264,1.3108365554166994
ATL3,0.2999337256820951,0.2891439821365546,1.0373161615393565
ATOX1,-1.4210603889519149,0.33778246831975833,-4.207028257033999
ATP12A,-0.21956854131835968,0.3527265477916163,-0.6224894119624824
ATP13A3,-0.15034389164355488,0.2321501560790624,-0.6476148635125315
ATP1A1,-0.15716930659284856,0.1745526353661222,-0.9004121092940688
ATP1A2,0.08772286756847336,0.1630279488883754,0.5380848386219768
ATP1A3,0.19107728419965753,0.118308932583457,1.615070646207281
ATP1A4,-0.02905524275069027,0.18270220544386845,-0.15903060764976318
ATP1B1,-0.17548750707766914,0.06764054685694706,-2.5944128962884867
ATP1B3,-0.2615706525029644,0.41320804097489505,-0.6330241102903814
ATP1B4,-0.6674057743438624,1.0471181622498824,-0.6373738880718544
ATP2A1,0.007852961628625366,0.23774275226634933,0.03303133977277881
ATP2A2,0.1839483069227299,0.110652230979488,1.6624003447054678
ATP2A3,-0.0021447238156930837,0.22064590589380206,-0.009720206713127727
ATP2C1,0.6834093254191238,0.5991753823565452,1.1405831173024634
ATP4A,-0.08912130713716593,0.39169879775322913,-0.2275250974686741
ATP5F1A,0.024570605766633946,0.09063900562284519,0.2710820313814324
ATP5F1B,0.3488097163946762,0.516448537324085,0.6754007247304661
ATP5F1C,0.006974591493552396,0.22875123684296939,0.030489852600623254
ATP5F1D,0.12936370678056264,0.2638641611974435,0.4902663029094078
ATP5F1E,-0.21054383090765327,0.3545316354399402,-0.5938647213989474
ATP5ME,0.4311157726817356,0.24851681572840018,1.7347549356696037
ATP5MF,0.2465277562911794,0.3531008412371224,0.6981794646182262
ATP5MG,0.6725096913506299,0.1769286395795339,3.8010222253945485
ATP5PB,0.01939137092539056,0.22727966370563915,0.08531942809676654
ATP5PD,0.02134015642591791,0.1992334705453012,0.1071113019690416
ATP5PF,0.17118582211773514,0.384869046480473,0.44478978936649965
ATP5PO,0.24370218177693914,0.08952865334084174,2.7220579410386994
ATP6AP2,0.8548085381439208,0.6785482049160861,1.2597609601658768
ATP6V1A,-0.20785816869201312,0.30555812643336094,-0.6802573740003109
ATP6V1B1,-0.17706074700991792,0.16280402957387857,-1.087569806922806
ATP6V1B2,0.118380606106669,0.3206103409161636,0.3692351462163984
ATP6V1C1,-0.4179103690605146,0.7754243005526984,-0.5389441222858776
ATP6V1E1,0.33971976635503864,0.9639940910184776,0.3524085567745736
ATP6V1G1,-0.24997512264745936,0.25076195679539615,-0.9968622267987054
ATR,0.09848169711456833,0.4034214994696546,0.2441161347227012
ATXN10,-0.16283802942191983,0.14974998450430022,-1.0873993073250954
ATXN2,-0.5792093300449537,0.6863801928134977,-0.8438607875188724
ATXN2L,-0.23760770030625977,0.5040983809215742,-0.4713518418207852
B2M,-0.08420588967778997,0.2021022745448494,-0.416649886140215
BAAT,-0.10766722696275366,0.7812515114687673,-0.13781378388675022
BAD,-0.262984949789729,0.3551950339799416,-0.7403959082507333
BAG2,0.12649752952003368,0.32864894413868445,0.38490167632077893
BAG3,0.648470550038045,0.5040028831750911,1.2866405564048444
BANF1,0.4625000715445218,0.18801871946697385,2.45986183107561
BAZ1A,-0.6484450149220891,0.5544705094459204,-1.1694851283796446
BCAP31,0.20733383425044138,0.35764909256530364,0.5797130163627747
BCAS2,-0.022357867286604716,0.2280184348849161,-0.09805289338947101
BCAT2,-0.0896097453433633,0.26297336983767966,-0.3407559685555801
BCCIP,-0.04374408022967202,0.416571113707767,-0.10500987416126835
BCL10,-0.8416507145125074,0.8002438890204725,-1.051742757501989
BCL2L1,-0.22418068439974803,0.7233358885509477,-0.30992611862359987
BCLAF1,0.6531470392089176,0.32734832692076105,1.9952661599123445
BCOR,0.10539136177370523,0.3147870048035013,0.3348021365732471
BICD2,-0.40650442994482816,0.6295884832741433,-0.6456668772446762
BID,0.19260581870028304,0.20216422946280882,0.952719574635313
BLMH,-0.33388534368536327,0.18311063912931597,-1.82340766911729
BLVRA,0.24764925723666664,0.17900492806558085,1.3834773149146877
BLVRB,-0.8012003854449716,0.3735368900027896,-2.144902971802834
BOP1,0.24355352863625512,0.2969447877991575,0.8201980255029286
BPNT1,-0.8427082611518344,0.2719409068071481,-3.098865378681172
BPNT2,0.29649958239836494,0.31176723038211956,0.9510286954628242
BRIX1,-0.13899762178179742,0.21419506043238654,-0.6489300990471432
BRK1,0.6466348439603635,0.30244359002813354,2.1380345468727344
BROX,0.3312743135865297,0.8699838184205697,0.38078215545198135
BSG,-0.26508831777949027,0.2509582330453105,-1.0563045275013097
BTF3,-0.05303582313958799,0.17656466199820128,-0.3003762051781816
BTF3L4,-0.28814139800358873,0.2880444288964158,-1.0003366463553711
BUB3,-0.26572581263984674,0.1771171536112478,-1.5002827632555849
BUD31,-0.7801757496508444,0.503443033390665,-1.5496802972848738
BZW1,0.1943939459930597,0.31797379471361836,0.6113520963830988
BZW2,-0.03916757169238849,0.2913519744297114,-0.13443386395116969
C11orf68,0.2677057812397514,0.3889961103416412,0.6881965503578817
C12orf29,-0.3716735586957931,0.30431287908256494,-1.2213533643935988
C16orf96,-2.0687144826340216,0.24856134567640953,-8.322752184191925
C1QBP,-0.3863805508868978,0.5097944835290906,-0.7579143426820734
C1orf50,0.3351629042268698,0.48441587238652606,0.6918908387036417
C2orf69,0.7396899293619974,1.0887889012079894,0.679369461372472
C7orf50,-0.39900185778561337,0.22380988162844448,-1.7827714079578127
C8orf33,0.5076204006483458,0.7118227327610649,0.7131275488763253
CAB39,-0.27155181113361593,0.5058825769438754,-0.5367882261810787
CACYBP,-0.16787491253348819,0.1389055434548193,-1.2085544490029048
CAD,-0.07008595538362172,0.07818743096147127,-0.8963839139075724
CALB2,0.23391232354331137,0.20745904497091783,1.1275108471462492
CALR,0.13800944813118932,0.47744587894800933,0.2890577848012332
CALU,-0.46212064930357855,0.36520170215653003,-1.2653847081619238
CAMK2D,0.6927707637431197,0.7694791580140847,0.9003112774763928
CAMK2G,1.1969814139175163,0.909877561613306,1.31554119413072
CAND1,0.24379277958176715,0.20947766717464839,1.1638127484898384
CAND2,0.5314268389807921,0.5221500501395551,1.0177665191045326
CANX,0.17339039160093606,0.07147263642649625,2.425968878023044
CAP1,1.0745378502868732,0.6884253063656436,1.5608633795866789
CAPG,0.025795742784229247,0.13208012690794627,0.19530374014712815
CAPN1,0.03058417165782501,0.16269066294657328,0.18798971682762572
CAPN2,1.1650609635569182,0.9353148196119476,1.2456350943314358
CAPN5,-0.6821316625912459,0.3568084694289848,-1.9117586073079742
CAPNS1,0.018206688532398374,0.1516430231443289,0.12006281696896691
CAPNS2,-0.10830511667922949,0.7926361072004845,-0.13663914083065543
CAPRIN1,-0.2964424151745604,0.24504715447946646,-1.2097362069119661
CAPS,-0.403801605518165,0.2939841323517955,-1.373548981327185
CAPZA1,-0.00913529915545297,0.12117509229920825,-0.07538924858333002
CAPZA2,0.25744493087795206,0.2136305815791645,1.2050939943846541
CAPZB,-0.10449723716946124,0.11071088223455504,-0.9438750289070102
CARS1,0.13232263289770785,0.12374808470798142,1.069290350715007
CASK,0.02424649917179522,0.26464279037366695,0.09161972308998087
CASP10,-0.21150912724316484,0.3459338886155559,-0.6114148807150249
CAST,0.03005902791839432,0.20425932295665944,0.14716110620210157
CAT,-0.021105657364604014,0.19898118069574258,-0.10606861056310735
CAV1,0.38038951174036484,0.30293069840691755,1.2556981307632258
CBFB,0.08960451583400086,0.61938278383893,0.14466743050013875
CBR1,-0.48837842089368166,0.4027349962685834,-1.2126545381419567
CBR3,-0.7289783947154618,0.2456558423301469,-2.967478354273203
CBS,-0.6859752800702026,0.252727862048533,-2.714284347241739
CBWD1,-0.3078699665613236,0.12165431973018208,-2.5306949004700403
CBWD2,-0.2340918165342849,0.2264587445383554,-1.0337062364780385
CBWD5,-0.2340918165342849,0.2264587445383554,-1.0337062364780385
CBWD6,-0.2340918165342849,0.2264587445383554,-1.0337062364780385
CBX1,-0.13379066651296867,0.1357965487917086,-0.9852287683553972
CBX3,0.3300816419102297,0.19588519468550203,1.6850770291250599
CBX5,0.2946528509627022,0.09188137388084595,3.2068833814437228
CCAR1,-0.3578424771681057,0.22537629751019914,-1.5877555941831547
CCDC125,-0.10296774464550396,0.34574414862857633,-0.2978148583394232
CCDC47,0.3415934737606605,0.23220124686122195,1.4711095585322942
CCDC6,-0.10560121193003624,0.13749097484109646,-0.7680592275389972
CCDC85C,0.4868490465658333,0.5994689769033509,0.8121338473272243
CCDC86,0.08993226164351142,0.21980596695353338,0.40914385942271964
CCNK,0.5428285301350328,0.4078833093154744,1.330842713436911
CCT2,-0.046940504246308024,0.05191058922259703,-0.9042568182962274
