Approved symbol,log2fc,sem,stat
AGPAT1,0.1009261982770413,0.013817701978845466,7.304123249405482
AGPAT2,-0.037423813125232464,0.018244748919469277,-2.051210092855643
AGPAT3,0.0223384822477235,0.03633336728672895,0.6148200377751062
AGPAT4,-0.1843576911195406,0.00955492730078991,-19.294515312984082
AGPAT5,0.05016923030642051,0.009486939363018629,5.288241906761515
GPAT4,-0.08129505265663495,0.015651952235583168,-5.19392414652395
GPAT3,-0.009543607079020688,0.008020012310998755,-1.1899741183604489
ACCS,-0.09315155758064897,0.019920840104994533,-4.676085802088944
ACCSL,0.006286994469800966,0.006750433937308699,0.9313467146243195
SELENOF,0.02252616128093221,0.02072246359106355,1.0870406977405185
OAS2,0.23676836340984053,0.017890971426135105,13.233957942829736
OAS3,-0.016850397602663936,0.007335826621409931,-2.2970005252694103
OASL,0.4131065322064318,0.02398874398170247,17.220848766468592
DECR2,-0.012160399515595,0.01737508840850004,-0.6998755476631722
ADO,0.045013366023769485,0.010955521911709386,4.108737711131652
HACL1,-0.06867961445140525,0.01593587567534295,-4.3097483847512015
OGFOD1,-0.10658229119930906,0.005377258362953637,-19.82093550378807
OGFOD2,-0.07807037733399147,0.022112799338750187,-3.5305515207738507
DHCR24,-0.17811500128307944,0.005870986539843275,-30.3381723112985
BPNT1,0.13809179932592164,0.04338958645261332,3.1826023388523095
PAPSS1,-0.031586664905253414,0.042492402223738256,-0.7433485341435372
PAPSS2,-0.0264076438972225,0.017392649266811607,-1.5183221079271212
HMGCR,-0.2776925810991733,0.007684694979027806,-36.13579743334254
HMGCS2,0.023514331131061716,0.008421814083528524,2.7920743556962746
HAAO,0.012806430093113441,0.016721712198644045,0.7658563872515344
BDH2,0.04886146483294951,0.016615590820200046,2.9406998139089486
HIBADH,0.06563666423182823,0.04653174594407508,1.4105781526168113
HIBCH,-0.025877722283009774,0.005913924322916326,-4.375727667453264
HMGCL,-0.14196539415155218,0.038458945804425604,-3.691349078403905
HMGCLL1,0.036450460632938775,0.025372937052584237,1.4365881473396984
KDSR,0.11235758226010262,0.009510666984835152,11.81384885405596
OXCT1,0.033652910233975764,0.008349827146820086,4.030372083425942
OXCT2,-0.020748453800530697,0.005903158120091416,-3.5148056986502314
OXSM,-0.19898647243854395,0.018275996883279477,-10.88785874222788
HOGA1,-0.06651786460028308,0.012221267309505254,-5.442795981440315
HPD,0.008230705996723042,0.010593622919659425,0.7769491192147937
HPDL,-0.22405948661427644,0.024238682540558377,-9.243880571452662
NT5M,0.09327807692602752,0.019782109812206357,4.715274448050591
XRN1,-0.10333672305878272,0.009532172014735291,-10.840836999063784
