Approved symbol,log2fc,sem,stat
AGPAT1,0.1666246170640977,0.028315455948709416,5.884581811641011
AGPAT2,-0.044705840299616995,0.015286358039404799,-2.9245579741345438
AGPAT3,-0.007137336897008684,0.027080349302508588,-0.26356147837234567
AGPAT4,-0.22474583527669667,0.014686189395285872,-15.303209650070151
AGPAT5,0.15927779880999582,0.028896654113328424,5.511980666873463
GPAT4,-0.0024176589453572817,0.03638797875354723,-0.06644114425073966
GPAT3,0.23836455736913553,0.02118428697242806,11.251950923784863
ACCS,-0.053972187608851474,0.02999781493518632,-1.7992039662043555
ACCSL,-0.04442757671662001,0.011353078675785,-3.9132624713840536
SELENOF,0.10529733239947703,0.02292104235757338,4.593915527785129
OAS2,0.06940584591651788,0.03564565619604525,1.9471052948162082
OAS3,0.13329488005864087,0.020408619724268492,6.531303040554771
OASL,0.37253946972360996,0.06609200813174222,5.6366795359133475
DECR2,-0.0009064470799122759,0.02023026794048633,-0.04480647921119354
ADO,-0.021428553230736558,0.02387492989308211,-0.8975336609028367
HACL1,-0.19935871338823352,0.016835273949178695,-11.841726721527996
OGFOD1,-0.16022106011691895,0.02332251658334487,-6.869801530394725
OGFOD2,-0.11899170950323956,0.018087442564161928,-6.578691768122443
DHCR24,-0.1852707859096312,0.041995879188317306,-4.411642034658749
BPNT1,-0.15310229593249725,0.05491563002666663,-2.787954829219876
PAPSS1,0.01021142469804781,0.03954035759873611,0.25825322071377055
PAPSS2,0.07787396190669105,0.08255976717745644,0.9432434776530609
HMGCR,-0.30857409674149006,0.00781528893976197,-39.4833894331856
HMGCS2,-0.05092690371210251,0.011811409003407642,-4.311670495654657
HAAO,-0.046403540056489945,0.03093076218784583,-1.500239139749492
BDH2,-0.011830006650251246,0.03185658444278533,-0.37135200955074227
HIBADH,0.10178475430173961,0.02272573087310576,4.478833040401549
HIBCH,-0.03455136539068526,0.008288762942863832,-4.168458626317946
HMGCL,-0.15447584652527713,0.09227571028517391,-1.674068355018634
HMGCLL1,0.02670222298796343,0.03458725226127816,0.7720249873060214
KDSR,0.09723996073341734,0.010463888954463485,9.292908320853174
OXCT1,0.06005837081541321,0.017367599548851972,3.4580697606758886
OXCT2,-0.003794664630210942,0.005623028756649532,-0.6748435397424473
OXSM,-0.22770587346615923,0.018757099425999294,-12.139716717102601
HOGA1,-0.21585343977069193,0.02209640707389927,-9.768712128120704
HPD,-0.00014706256706631393,0.016863863361819095,-0.008720573922537425
HPDL,-0.3589061011876118,0.04066083208758353,-8.826826278776764
NT5M,0.023991593190667793,0.0326582510196249,0.7346257818966128
XRN1,-0.17707083493235087,0.019470489735003278,-9.09431849646904
XRN2,0.07222646771036123,0.014926819080461187,4.838704570681356
NT5DC1,0.06740806234830865,0.029298203254975903,2.3007575502726536
NT5DC2,0.3605592260978474,0.08406115805270814,4.2892488570258465
NT5C1A,-0.005394535172358772,0.013382728322471884,-0.40309681571435824
NT5C1B,0.024078101669348317,0.01413465110161923,1.703480439399738
NT5C2,0.06861130043881802,0.032430387298574836,2.115648506048929
NT5C3B,0.19749027790021145,0.06524375076452901,3.026960828983804
MTHFS,-0.09135205957902892,0.022270561608196276,-4.10191988806463
ATIC,-0.015873961169920126,0.02166224525932722,-0.7327938992420555
HTR1A,0.1475656645448642,0.030400039762784433,4.854127353001469
HTR1B,-0.02947950230674623,0.06368574991742514,-0.46289008679287463
HTR1D,0.14735301670946122,0.03395476496143405,4.339685957974538
HTR1E,-0.03946855170299246,0.011812434357629983,-3.34127162175497
HTR1F,0.00504105243841968,0.056382137647338064,0.08940867886121519
HTR2A,0.030420891274948403,0.015021341939177606,2.025178003278574
HTR2B,-0.026383246517102776,0.014382322408455927,-1.8344218525925298
HTR2C,-0.0003333805563552339,0.008524184343667172,-0.039109965589013876
HTR3B,0.04445660750746194,0.01728656898065317,2.5717426955700127
HTR3C,0.06174749850054262,0.015965753481000263,3.8674966749313797
HTR3D,0.0449229036678509,0.03298883199131798,1.361760964428014
HTR3E,0.05357701336209342,0.03365761036640971,1.5918246357609294
HTR5A,0.3937089526671067,0.027710804895493702,14.207777585382631
HTR6,0.2152776846198412,0.04746474653737293,4.535527951262422
HTR7P1,-0.03915909620329483,0.027907488791589906,-1.4031752013135508
