OMICS_ICL103_Mock_3hr_Protein_1_079,OMICS_ICL103_Mock_3hr_Protein_2_027,OMICS_ICL103_Mock_3hr_Protein_3_025,OMICS_ICL103_Mock_3hr_Protein_4_007,OMICS_ICL103_Mock_3hr_Protein_5_063,OMICS_ICL103_NS1_3hr_Protein_1_059,OMICS_ICL103_NS1_3hr_Protein_2_044,OMICS_ICL103_NS1_3hr_Protein_3_014,OMICS_ICL103_NS1_3hr_Protein_4_033,OMICS_ICL103_NS1_3hr_Protein_5_081,OMICS_ICL103_VN1203_3hr_Protein_1_085,OMICS_ICL103_VN1203_3hr_Protein_2_058,OMICS_ICL103_VN1203_3hr_Protein_3_076,OMICS_ICL103_VN1203_3hr_Protein_4_087,OMICS_ICL103_VN1203_3hr_Protein_5_008
ACOT9,20.07484713236388,19.81172829136274,19.95528693824377,19.74660091257134,19.825799190636584,19.665305623519334,19.861388491269672,19.960158943854303,19.830744364993464,19.93660522286491,20.133265454745402,19.744914217220646,19.84489818356259,20.05865611449184,19.96173547372133
APEH,20.742925753737072,21.43041620141897,19.773372493199997,20.91191903775028,20.825148866671956,21.316978256312936,21.299151180524813,20.92865985630474,22.431260870174626,22.282042703608035,20.085726715407766,20.752924566060155,20.810714375331273,21.661882466222544,21.912722278765376
ACSF2,18.072577662686015,18.68906589733548,15.761825020984745,17.76538350669005,18.254009036755342,17.81535332985842,18.09044137592801,18.64753305248945,18.54037053951953,17.842742130853413,18.73338955081732,18.147117713560938,18.462383627196818,18.544416697903667,18.000614886015946
ACSL1,18.762619314375847,19.34971416371461,19.110625904143454,19.124880879920006,19.254260483740943,18.021231649725006,18.992771014308417,18.389972654726265,19.175713779904022,18.55528928896416,20.25758898046663,18.73371888992157,19.480850910845856,19.179319918857175,18.302713660157643
ACSL3,22.444086362738517,21.843083438942156,22.30783248923127,21.895990202084434,22.34385543412012,21.68725643189432,22.07985271256433,22.165313988853324,21.572431896409615,21.88227957300239,21.51283950155628,21.904162414408187,22.377100819783266,22.06321944614055,22.543723771533372
ACSL4,18.834135453175048,18.242866483555343,18.542760847155538,18.29285043582794,18.55051950452061,17.948278187756465,18.024194822459936,18.044766658424244,18.0437400259365,18.475303643033236,18.31991179155004,18.45833686298179,18.36031666925922,18.706179449046513,18.525458910437468
ACTA2,28.76143657839053,29.18906501655004,29.038766437969826,29.22517406280567,28.88591337214437,29.165897608274488,29.42563804322963,28.917633563782537,28.72821024981822,28.89017093365897,28.33369858194813,28.716281923189356,28.880789444076044,28.78428510173494,28.782571928873413
ACTBL2,28.484400226267244,28.18068966193802,27.77006346612837,28.16696520624093,28.436947458980764,27.794006521487045,28.14614559013853,28.759950583598386,28.72247457057981,28.479823440341974,28.612267654017273,28.52113481688673,28.223434860489043,28.67401855314887,28.456840349057266
POTEKP,32.32472117913862,32.512614336313085,32.565292794037646,32.34984222890682,32.00302510332291,32.74082803375366,32.267874905305916,32.21680492301506,32.23064505683264,32.52310041831124,32.19193511027771,32.370053832940975,32.55002414312615,32.44374569305211,32.46735929261041
ACTB,24.021117275596367,23.494460079815,23.77219729456045,23.32062990326488,24.497162484802885,22.580280469935317,23.691939100846287,24.544726472263683,24.095137097182487,22.568687788785716,23.68175033373901,23.86797609618276,23.302695516556142,24.09638787067805,23.893206719425535
ACTN2,18.537733171812626,19.18395295219911,17.921848139945876,18.74052363112652,19.07491756526572,18.39762789162002,19.14809289414638,18.31915604924983,18.99891730886676,19.748179136406158,18.96481017899961,19.067752368999713,17.865340868575807,18.56621971634344,19.58402686280267
ACTN3,27.42045529505966,27.20448618673955,27.545045509126812,27.323902144004798,27.646312772851473,27.53174847066846,27.09247178166552,27.5144091801152,27.09133503677613,27.341322899614706,27.335639861499214,27.083073208705414,27.275060803721814,27.369589299574056,27.463928465433405
ACTN4,25.932186128643174,26.03347275463119,26.038669401852786,26.01311040113646,25.89458763252674,25.869460368339315,26.155450380257022,25.956589913093083,25.70993277611404,26.351281479117205,26.059772997638184,26.019362180736938,25.463595318226456,25.985969682249767,25.774610350573393
ACTR1B,22.40999945276087,22.65637574353766,21.952733808049032,22.491915232216577,22.995997882024884,22.402441518671903,22.508345135771506,22.286138935629197,22.561181717793705,22.794227374873614,22.427229868301275,22.20358300371381,22.310843039266047,22.37305840769949,22.201012227116312
ACTR1A,22.677660164069675,22.441570789570108,22.316419055092993,22.416723544558316,22.495469757919473,22.070893899538643,22.415927303098442,22.2258145726028,22.492983619796874,22.58593400278609,22.403761409189336,22.538748471059947,22.412804098214778,22.699837529065775,22.121646914588737
ADAM10,21.574417663491385,21.842274749477376,21.838851248499637,21.794172713851026,21.647138402892363,21.978996261928295,21.714078568699428,21.191900631493816,21.44190834627893,21.376097291286847,21.171619154310942,21.991015240171276,21.98185827719381,21.58419040792294,21.075689804124202
ADAM9,20.836689151892834,20.49356115651319,20.270796508114245,19.944051164113585,20.47768066361991,19.91936306139292,20.078220801336514,20.236138543115338,19.93169590883948,19.67018905545383,19.959266946986407,20.172373117789814,20.23403776577915,19.882230589160333,19.98186795444976
AGPS,20.808590538087667,21.007654242351382,20.473898303641313,20.711181637980204,20.833925526035006,20.37620353536696,20.467848942421625,20.77280845580513,20.793551907268203,20.887491992663954,20.841187632597826,20.881318949035073,20.93476742160182,21.048220162332306,20.551604513406364
ADH5,22.468032306345023,22.365931740024227,21.228294420700507,22.765404138751876,22.42258555348358,22.084123869563197,22.546794514675387,21.532069825504713,22.968074913246625,22.713880052011817,22.560038409410197,21.969262345906575,21.7886932113127,22.99276780950313,22.995042641885288
ADK,22.605617115672523,22.567749108436203,21.91717140825824,22.51677131284969,21.860103075138767,22.059569646238295,22.228432007070996,22.34675847628256,22.716454105121784,22.67630994894007,22.811623517852276,21.868904889944957,22.464743225646888,23.02877010108627,22.637306195840765
ADPGK,19.062522424130755,19.1394990190483,18.258975282918964,19.494797556835657,19.04946294141547,19.28570130488816,18.826913983845674,18.495061582647732,19.151219766267396,18.818320188025385,19.243501352715,19.759082852545568,19.530116850918915,19.656988465511745,18.762945096030464
ADRM1,20.069326959915955,20.506117244230648,20.53794477434363,20.482201731631037,20.583632323248043,20.07273546928297,20.61601104982895,20.973797691090972,20.608975603505804,20.448486318263242,20.392874193080754,20.424885552872873,20.568852075189156,20.721628683604287,19.973636180795992
SLC25A4,26.18058969033015,25.95979910338993,26.110494530701924,26.004083846694233,26.10671784318604,26.08226916516169,26.043045310445578,26.104746479644,26.52978931499085,26.139770136615773,26.322803036029065,26.628707456696176,25.88496545179245,26.524423990486365,26.23391613524994
SLC25A5,25.772693976891706,25.553748847461353,25.482842198755023,26.099232651276438,25.960630333896802,25.305622623270594,25.044564029706102,24.840578135200666,25.957083295076288,24.78941859164795,26.026515225630895,25.58972278082491,25.80624858917088,25.6705064615112,25.838705985827918
SLC25A6,26.148511628320474,25.97710263726904,26.065436903548516,26.019378455411562,26.310843618226148,26.08226916516169,25.875481837650256,26.094373270017435,26.52978931499085,26.007797682945245,26.493435735083757,26.627390166783663,25.94891168610317,26.468718981139276,26.319068735539062
SLC25A31,26.36187546145918,25.912117665945587,26.163295926423967,25.98345055720766,26.08422950101211,26.06639641806922,25.74941992015928,26.08400006039087,26.178479272400438,26.007797682945245,26.292842749412667,26.628707456696176,25.723847115245324,26.396661227748805,26.300885708807773
PGM3,19.05103083384121,19.420319942299216,18.70066344875126,19.385746301647195,19.125933930559206,19.238025867645906,19.95719764580539,19.541952634473432,19.65415325379291,19.78572695637403,19.731940021984066,19.05236353041763,19.90943951689482,19.40454110997552,19.394200511258234
AHNAK,23.47289077295557,23.878064937099072,23.920103355057236,23.474266118411137,23.482362711230955,23.780563616538213,23.95367513225367,23.755093301732657,23.223424758579796,23.30499423282822,23.64060389052188,23.1171882423519,23.86364394452805,23.2518800359953,23.237503517875957
AHSA1,22.94713765528125,22.9562449543324,23.043158433643935,23.269458983647343,22.840066347900216,23.14377993998597,22.93671154443299,22.487124858213857,22.46475715982405,22.80824096280105,22.382592106029925,23.087530504663434,22.664724878067716,22.589566310288937,22.917710734574804
AIFM1,21.025153880621918,21.179281940457177,21.34525803665439,21.08772987161741,21.33184617220403,21.01724100452809,21.099906585724646,21.29182180264289,21.30158419823986,21.623181764054003,21.655403929866807,21.419487234626153,21.385911881650962,21.425329583963595,21.294295565354815
AIMP1,22.25894931903838,22.24338394822969,22.537384615972,22.58347980087555,22.687839261630046,22.314054998002636,22.714976271092514,22.406855896514806,22.6005936270938,22.23863972332817,22.779613585844288,23.422376857382055,22.538753850799406,23.03036312843384,22.63192150631379
AIP,26.061037525153644,26.705881043549162,26.272007388883974,26.603436135919097,26.63807122926029,26.795362108574075,26.474793152830692,27.19721456770048,26.771715947795172,26.87892070442829,26.419892852730484,26.466327557867388,26.84503406968762,26.323707718162275,26.67557868753395
AKR1A1,20.783649786893662,19.91685124054062,19.669831862477302,20.385934082226594,20.21461539158539,20.411525587272386,20.940652384181853,20.057701421000065,20.586619849697186,20.81980250380598,20.06771607104345,20.24423478357971,20.38228954527647,20.330318661074337,20.899808432027204
AKR1C1,24.425689164585613,24.45355254095928,23.632283424164825,23.997902558383693,24.03612021994734,24.11568481476644,24.432336508304584,24.102045279226502,24.57460442614108,24.59272630123376,24.566123543648082,23.982359840178432,24.312150316698464,24.50058874051139,24.616744983704166
AKR1C2,22.24609304972069,22.238057493258538,21.36730676616162,21.91483463649937,22.169286884815428,21.83334229072814,22.312156864351728,22.23955571890945,22.662134425103734,22.379015669504245,22.29807485358003,21.706898901613556,22.405240274564616,22.612348230410824,21.856330716965928
AKR1C3,24.19304199243341,24.45355254095928,23.666966298159654,23.96526010265356,24.086706110576756,23.71713561045848,24.435693121899284,23.972713890914672,24.80306475823627,24.676262644150082,24.52565219289455,23.960614014184465,24.084321802189788,24.50058874051139,24.705761298447587
AKR1C4,22.686859189242227,22.862326483357613,22.29254430847872,22.439632848154467,22.971127575105932,22.490725380358732,22.782256086053977,22.92564090657752,23.006978370754336,23.057095100886166,22.93832651996666,22.331878464037764,22.728259680039834,22.966381820179958,23.077025748300883
ALDH1A2,24.78973461250122,24.81519008152192,24.881700212182412,24.676880787131864,25.147325437439736,24.86184726549299,24.885705508421758,24.672408486329637,25.226245011842146,25.291910512284357,24.63122954020495,24.45188535452384,24.895144810007103,24.65014358115936,24.451798042629306
ALDH1A3,24.774102150899644,24.713588974030635,25.116301484635507,24.710418432526946,25.360541102598894,24.692600779504012,24.691972309448737,24.7591607353507,24.78420164451206,25.25119725102356,24.51896140830341,24.75512567054859,25.26486091649213,24.827451714147173,24.67670015656229
ALDH7A1,21.962460423473843,22.26690728521539,21.728457859947994,22.396631228730353,22.175759981608216,22.233062562474274,22.1174296807785,22.305240606926805,22.45084836154532,22.489689993576043,22.473821241226194,22.23688790983473,22.132232116688343,22.261932312841047,22.289483210032913
ALDH9A1,21.302469360574253,21.731579723510603,22.194009265629496,21.93668206190662,22.42636519224516,22.277769949546872,21.485193491879162,21.959649383775265,21.99872536761447,22.476083359005024,22.13248726877324,22.2217230167891,22.311067494060985,21.656364246293943,22.031528548331355
ALB,30.406210500000363,29.548800085600636,29.65315069662611,30.018593669044314,29.83862410416132,29.799831975115218,30.155072277531964,29.732237814825524,29.433727073204807,29.46088886577229,30.062436816550573,29.8110188477021,29.94517457927666,29.708248093989166,29.615909885103527
ALDH2,21.313328021631236,21.360034009979984,20.994185879171855,21.166153161971963,21.744677666926414,21.04746201451421,21.373398612865813,21.309675249417715,21.87995775681697,21.31322611911305,21.78704543419794,20.437042357818726,21.14131478865079,21.370736583342975,21.045589840647665
ALDOA,21.250576705641823,21.796672156845997,21.23088634988485,22.183959092494675,21.87498738561728,22.279371781108228,22.144154098282307,20.92248807236573,21.954518342180073,21.91216115812097,21.113898136793537,20.12202851228561,21.918236042659455,22.182233301476824,21.88351276195781
ALDOB,24.850935623511614,24.202332622091728,23.829399184267622,24.60678539498068,24.848938552007702,24.782226346759685,24.727283234736703,24.861420545832328,24.56231738093428,24.86427196908462,24.122614363564864,24.30562410199784,24.063643320165195,24.822505988130025,24.93393829852068
ALDOC,24.58660591259669,24.202332622091728,24.34946725881908,24.352362181391236,25.164482128092942,24.33297010144749,24.679622164632296,24.952393243461064,24.56231738093428,24.596586222533567,24.060204551589987,24.150780461363663,23.99112940761656,24.71432296735923,24.93393829852068
AKR1B1,24.40907301097048,24.40099391945901,23.47144119102931,24.107486029949648,23.986019297157156,23.997022003396566,24.933818887950423,24.25062155193221,25.200470179922835,25.113292295758875,24.06101096885963,24.023010550862054,24.209953736154198,25.2792764750033,25.085813416850943
RNPEP,21.18363097673053,20.96609162201608,19.91276497527988,20.636426553714017,21.25233996627987,20.375812229610418,21.448922978531442,20.652681486217872,21.475518958893133,21.64293021363664,21.01734713954817,20.597412314344382,20.87836063892557,21.740047979574292,21.736545435336833
LAP3,22.514015614637167,22.03272398530083,21.5105899906074,22.74221275402335,22.38771885520842,21.836443353522803,21.78640602493828,22.651478459030002,21.803247073433575,22.329262789558975,21.72193721664585,21.76629327380559,22.885678199409526,22.140041040190535,21.882537261240692
ANP32A,24.516499620500646,24.24520209883896,24.339220299122545,24.7812979678062,24.911642036906017,24.233842000954297,24.38183550057096,24.740939445393785,24.26851071663115,24.421768735420457,24.639496916818345,24.427968056946582,24.65929660166026,24.454089281358684,24.192327197926016
ANP32B,22.880590437328287,23.667003741744406,23.18285806581498,23.462574051299754,23.456772196593583,23.861826349913233,24.343743066519895,23.730161635513063,23.20948363659004,23.381539193217563,23.89637200594868,23.74611223320997,24.100484968625143,23.29191809649564,22.730425345787804
ANP32C,23.20562615928392,21.865225365267364,24.85983832139411,23.760465543432417,23.425805723422734,25.1029121374839,22.362398474381493,23.553191066416478,23.02437875331706,23.087403469867947,23.742098566829455,22.217051069454442,22.962826741951744,21.374795464453843,22.638217446215283
ANP32E,22.14035075587156,22.608271557562944,22.11716686359877,22.609254370125775,22.376150973436566,22.461500605233464,22.599654131518605,22.50857100652631,21.665410699726817,22.06974490999272,21.673770785321985,22.183136005442993,21.96751000331088,22.610615350946254,21.757138214278413
ANKRD36,20.328298614124783,19.037325725662154,18.652056969216062,18.76321076036377,20.992677077728203,19.074794078106382,19.434932415040144,20.497598724144062,20.85858477096205,19.548573049608912,20.823408670738445,20.92649790890578,20.14686623770842,20.86482051202503,20.160738245043976
ANLN,20.69410620479012,19.901041377051072,18.466100263059005,20.284528877126696,20.05515939100151,19.55260990688721,19.782513980366826,19.016264463674517,19.510465579596342,20.015441054646775,19.891164639341117,19.885914090034028,19.277139699096402,19.253599689934056,19.71200833437006
PRMT1,23.563506427735632,23.880990871393408,23.46641998692464,24.01858664488705,24.1747962182944,23.624060258746873,23.924504435267565,23.628450444925672,24.032342895464453,23.045634167021102,23.641743763235514,23.924087649949104,23.727810988200897,23.175903252422625,23.003619180751258
PRMT5,20.794477818987012,20.777214660279036,20.870266275206067,20.828508611225878,21.119359111204776,20.799774821292576,20.797153402946332,21.12514431202624,21.00032300442365,20.823192666510934,21.173950341642808,20.977412564601966,20.689037431738022,20.965272920409724,20.96117558384007
ANXA10,21.769232485595758,21.95903098044356,22.141821401050912,22.320031053977978,22.28800963615039,22.666775995979833,22.404100107589123,22.07187074597568,21.391722452728363,21.526086044225018,21.629096442229198,21.548488232240306,21.828549928569867,21.52998216492685,21.11670987700297
