log2fc,sem,stat
AAAS,0.6095173258407982,0.4114797038456434,1.4812816285817192
AAMP,0.4380783255602232,0.4280015210830735,1.023543852021016
AARS1,0.27479499576678634,0.13957796664216296,1.9687562613036216
AARS2,0.7396568313980367,0.2932145993076097,2.5225784566820533
AARSD1,0.01874495766985973,0.2205074632046392,0.08500826864287901
AASDHPPT,0.320463560835087,0.42067423568990236,0.7617855662339988
ABCA1,-0.21423794702397814,0.6386628292265616,-0.3354476528459097
ABCB7,0.29228867733584707,0.24107372499181867,1.2124451859934817
ABCC1,0.2091465841086695,0.14686588517048632,1.4240651180897856
ABCC10,0.27321588100370775,0.24851308298979358,1.099402404560442
ABCD3,0.556600520354877,0.45152824198993113,1.232703668549904
ABCD4,0.4329115670338055,1.4476020176245241,0.29905427165969395
ABCE1,-0.01540379205958331,0.11920439390310038,-0.12922168013458332
ABCF1,0.09914021239691095,0.3462410663650639,0.28633291087539897
ABHD11,0.1388667761334439,0.339013106879459,0.40962067045631945
ABHD14B,-0.27777354474252647,0.2034652209418049,-1.365213884991063
ABI1,-0.5889815255126223,0.3440107153823918,-1.7121022665178567
ABRACL,1.749072662093063,0.7318712248919786,2.3898639577628145
ACAA1,0.7900004426809879,0.4104168991043389,1.9248730849168783
ACAA2,-0.16048096623234187,0.13178025260002096,-1.217792218986203
ACACA,0.14287853780243154,0.08848804361168353,1.614664896756363
ACACB,-0.3074478589329175,0.22646812561374596,-1.3575767366807592
ACAD8,-0.16057482598901984,0.5774325876585855,-0.2780841078611964
ACAD9,0.16117829079349377,0.18740042789500838,0.8600742944076647
ACADM,0.6274807074177282,0.36000234069220083,1.7429906322587476
ACADS,0.690487191039292,0.4945337018353846,1.3962388983332312
ACADVL,0.9476692970471525,0.43952174857833975,2.1561374382779634
ACAP2,-0.2976636139777824,0.3351455371045245,-0.8881622490021334
ACAT1,-0.04174691046241463,0.08748609497667462,-0.477183379524999
ACAT2,0.20398030720651406,0.1957023750769485,1.0422985777577343
ACIN1,0.966845747059832,0.3856997616222895,2.5067315131157657
ACLY,-0.026428341912545505,0.18688764294098034,-0.14141299818785585
ACO1,0.174493048659766,0.23138628390935786,0.7541201047514168
ACO2,0.5011466726765903,0.21833643654002097,2.2952956483959577
ACOT13,0.3902848288720939,0.23066185883187007,1.6920215195030288
ACOT2,0.6511057541692828,0.4450409595174857,1.4630243357267902
ACOT7,-0.11150855947221672,0.12887312336361015,-0.8652584539105176
ACOT9,0.2797688205975817,0.14488709260914007,1.930943713200942
ACOX1,-0.05957938752523617,0.34755131166860986,-0.1714261621951383
ACP1,-0.29354888229614673,0.17138629120497478,-1.7127909136272037
ACP2,2.5796481693508824,1.8242132384620577,1.4141154745295623
ACP6,0.9568025417676083,0.4184787938586477,2.2863823825940237
ACSF2,0.7328480109959763,0.5516028467389708,1.328579095137945
ACSL1,0.8774386944900314,0.5886653583557806,1.4905560214054936
ACSL3,0.4669987815628076,0.3024660150007858,1.5439710856824505
ACSL4,0.18348309145930486,0.235481766040606,0.779181736846943
ACTA1,-0.3479786325125005,0.190194629108261,-1.829592318899957
ACTA2,-0.3479786325125005,0.190194629108261,-1.829592318899957
ACTB,0.5534015940017945,0.41402681637842337,1.3366322472599976
ACTBL2,0.5187668531009741,0.2995960107829343,1.731554608304966
ACTC1,-0.3479786325125005,0.190194629108261,-1.829592318899957
ACTG1,0.5534015940017945,0.41402681637842337,1.3366322472599976
ACTG2,-0.3479786325125005,0.190194629108261,-1.829592318899957
ACTL6A,0.2307049810840205,0.20736541370990816,1.112552845513394
ACTL6B,0.3447158666211543,0.4668118801095968,0.7384470732412013
ACTN1,0.9894270427854401,0.7893767717155825,1.2534281198002328
ACTN2,-0.17747135592857788,0.4579559847497708,-0.38752928630368055
ACTN3,0.0592108087070784,0.09857338101771645,0.6006774658204787
ACTN4,0.13438274897745828,0.10272898612843628,1.3081288353167144
ACTR1A,0.287432067322392,0.13435039113256694,2.1394211427250367
ACTR1B,0.23943389739470433,0.27527550054824984,0.8697973372778837
ACTR2,0.4371116146432499,0.37801675919724315,1.1563286653520353
ACTR3,0.009101965274375345,0.09485236622846908,0.09595928532190347
ACTR3B,0.2215702199309142,0.29012382671745646,0.763709145980262
ACTR5,0.7640427392315665,0.42606231519424115,1.7932652384035435
ACY1,0.601100651671743,0.3259542432012993,1.8441258679995822
ADA,0.32912376672344124,0.5843242687359406,0.5632553435362687
ADAM10,-0.2059783083614981,0.19406012253911786,-1.061414914442187
ADAM9,-0.010788228553916923,0.265755896012681,-0.04059450313532138
ADAR,0.2859575130986869,0.2834167689955502,1.0089646922168412
ADH5,0.24530788872799292,0.28244615549375945,0.868512047187036
ADK,0.3004751085777393,0.26142782587232133,1.1493616166340619
ADPGK,0.4673834225120608,0.6453468472971209,0.7242360049786919
ADRM1,-0.13038627136407044,0.3570024282727363,-0.3652251666603799
ADSL,0.17772273613948997,0.3368316942122029,0.5276306808216368
ADSS2,0.14886449420171388,0.21886627346022414,0.6801618716680343
AFDN,-0.42039824862646213,0.3525651207342881,-1.1923988616653225
AFG3L2,-0.4578529776054552,0.18766230692173086,-2.4397705917385633
AGK,0.7444570313074834,0.2610531692518882,2.851744851215204
AGPAT2,0.037908540060961116,0.2320944484944673,0.1633323860474189
AGPS,-0.1590024916319699,0.16973404941917336,-0.9367742782080163
AGR2,0.22390177321847915,0.3252122720086749,0.6884788567034968
AGRN,-0.2231259692285974,0.4643411145861355,-0.48052167301073107
AHCY,-0.08082040475895269,0.15987385683859395,-0.5055260838583988
AHCYL1,0.13074017907602098,0.3140965739342219,0.4162419775498748
AHCYL2,0.2992906081679969,0.343188366117642,0.8720884438879921
AHNAK,-0.18632708465218784,0.21341488123087757,-0.8730744715529679
AHSA1,-0.19907956435084984,0.25892235940890923,-0.7688774534780473
AIFM1,0.22235028057019335,0.1250293244105576,1.7783850438163116
AIMP1,-0.05959813539765335,0.1186131076028456,-0.5024582577939604
AIMP2,0.212540633833612,0.2746428382204266,0.7738801244947382
AIP,-0.3019928727835577,0.10200325564272705,-2.960619941791928
AK2,0.22346232510939146,0.16262829035566714,1.3740679719419089
AK3,0.3839445360185003,0.1658143442464826,2.3155085753483893
AK4,-0.030395750998316373,0.2763679711723528,-0.10998290022312504
AKAP12,0.1299676926154092,0.404758065783678,0.3210996978250956
AKR1A1,0.2642400072256166,0.18869838269345662,1.4003300052384575
AKR1B1,0.03845444294193712,0.11764078217915383,0.3268802045482431
AKR1B10,0.8131555427668573,2.06097408478294,0.3945491351738652
AKR1C1,-0.040156512669319966,0.10770093788592766,-0.3728520239243605
AKR1C2,-0.06324903971194473,0.14105216134909979,-0.4484088659613325
AKR1C3,0.16214598283460901,0.1309847552144083,1.2378996515219887
AKR1C4,-0.05281468881335627,0.13255518543523892,-0.3984354790794615
AKR7A2,0.1572269476642063,0.4455983387446326,0.3528445552718079
ALB,0.14862416701403802,0.6352870913261539,0.233948035531128
ALCAM,0.3159597599045938,0.16186291761965446,1.9520206638498643
ALDH18A1,0.5636326535601199,0.27211369551327214,2.071313068226767
ALDH1A2,-0.09574023544713839,0.1623120494407915,-0.589852914660305
ALDH1A3,0.21174407274562057,0.35679427294216653,0.5934626444520946
ALDH1B1,0.036554293445000496,0.14887024179666244,0.24554466362007357
ALDH2,0.26618912553838214,0.2998309140095201,0.8877974655072766
ALDH3A1,0.4103917907278998,0.49970777391328497,0.8212635707346744
ALDH3A2,-0.7510885936645693,0.4765135905986929,-1.5762165203323992
ALDH3B1,-0.7510885936645693,0.4765135905986929,-1.5762165203323992
ALDH3B2,-0.7510885936645693,0.4765135905986929,-1.5762165203323992
ALDH4A1,-0.7510885936645693,0.4765135905986929,-1.5762165203323992
ALDH5A1,0.5381203857740111,0.42905679816276115,1.2541938225387985
ALDH7A1,-0.060927348261500924,0.16092844768827777,-0.3785989931346299
ALDH9A1,-0.09350447682670904,0.08468691279757302,-1.1041195591839865
ALDOA,-0.3498526600380316,0.22588917702030728,-1.5487800905422755
ALDOB,0.12033681709118582,0.2544257736499809,0.4729741620309891
ALDOC,0.11323099175356077,0.31513007610088994,0.3593150903099122
ALYREF,0.34442308481209594,0.3850256467580531,0.894545824965599
ANAPC7,0.6147135516476894,0.34000011458938206,1.8079804249186167
ANKHD1,1.4049386778847825,0.4133787064459431,3.3986721037565206
ANKLE2,0.9702683958671692,0.8241404488581211,1.177309519526088
ANKRD36,1.3070499526921324,0.5037538523855277,2.5946202624607113
ANLN,0.8592410173416596,0.43055088286337406,1.995678214912222
ANP32A,0.02328113633954132,0.13502576080552828,0.17241996046274552
ANP32B,0.08127740201037525,0.29211811132933735,0.2782347237578233
ANP32C,-0.9359091594321498,0.819642829659222,-1.1418499931503912
ANP32E,-0.11327167504506619,0.2665915921710231,-0.4248883999777475
ANXA1,-0.023182290006449335,0.08538281891524835,-0.27151000987048995
ANXA10,-0.04886158667956764,0.422273837455308,-0.11571066532091034
ANXA11,0.04994550913345108,0.5412583761059775,0.09227664889507749
ANXA2,-0.2967229937978182,0.23664656097010653,-1.2538656491834699
ANXA2P2,-0.055209164158007695,0.06737369685398138,-0.81944685739395
ANXA3,-0.2799973477617286,0.21889095667353156,-1.2791636165185898
ANXA4,-0.0626444342645307,0.09408131790812099,-0.6658541319086189
ANXA5,-0.200454575369843,0.2442828138541636,-0.8205840280254593
ANXA6,-0.2926633349164014,0.32722505739192836,-0.8943793523913077
ANXA7,0.0387640558321003,0.1351863975577495,0.28674523866604923
AP1B1,0.13091273737533626,0.17160258616746474,0.7628832426078953
AP1G1,0.47854511417808965,0.2668868212924199,1.793063860780754
AP1M2,0.04849294277813598,0.20410069778030204,0.23759322386214832
AP2A1,0.1268276907186099,0.14490733610567674,0.8752330567040313
AP2A2,0.3314507097395172,0.22416844113186774,1.4785788225405927
AP2B1,-0.11916650781408578,0.5637624203003734,-0.21137717507065068
AP2M1,0.07009956764127168,0.11263482842652418,0.6223613834241349
AP3B1,0.12346234812258317,0.3317433362995189,0.372162255012452
AP3D1,0.347877026111604,0.3074640440855594,1.1314397010103683
AP3S1,0.46711871696552976,0.2873253121119671,1.6257485758285695
APEH,-0.03218199084506068,0.4342255193470825,-0.07411354103151448
APEX1,0.04116137024900013,0.1438223993010153,0.2861958251916713
API5,0.21177976878952265,0.15266700169854516,1.3872006814393394
APLP2,0.7945460000314242,0.5861866266990029,1.355448868742975
APMAP,-0.11592395334585603,0.195155008134465,-0.5940096257534038
APOBEC3C,0.4140091357071505,0.21513946831112152,1.9243755641732638
APOL2,0.14024330591333367,0.5470330613441153,0.2563708042960726
APPL1,0.7336332091051396,0.8742252382563797,0.839180999359333
APRT,0.13608055085969184,0.15455629306061391,0.8804594634417361
AQR,0.8457793143085901,0.36551557342761737,2.313935098243027
ARCN1,0.39430999055482374,0.1977077289709526,1.994408577788864
ARF1,0.5603475516210779,0.3330607956867347,1.6824182217715025
ARF3,0.4792134864783826,0.3003067514973876,1.595746629367909
ARF4,0.24000962977843088,0.2993598548369339,0.8017428719998811
ARF5,0.4762622607684115,0.29079249672937535,1.637807942519379
ARF6,1.0949824608819938,0.763101501442026,1.4349106361510433
ARFGAP1,0.4643877032140047,0.46288174520901176,1.0032534400429054
ARFIP1,-0.028613287434506418,0.25153769866086423,-0.11375347547042756
ARHGAP1,0.26375815986592954,0.19415695649883025,1.3584790605610808
ARHGAP17,1.538989310684311,0.5734665181099836,2.683660269751184
ARHGAP18,0.5518184982956882,0.3249804227699757,1.6980053554988164
ARHGDIA,0.052515122661038305,0.1443801268257121,0.3637281931773874
ARHGDIB,-0.027461352941799078,0.3350086405155039,-0.08197207361440635
ARHGEF1,-0.11453593749678248,0.05913133881994972,-1.9369752111572411
ARHGEF6,0.04491044554543677,0.6368661945610998,0.07051786690670099
ARIH2,1.622807878901618,0.9374544215131347,1.7310792307985086
ARL1,0.8023166660309684,0.4907442899278228,1.6348976085875002
ARL6IP1,0.8820215858780784,0.6001582606045982,1.469648330741181
ARL6IP4,-0.046268370236226986,0.6760106896755415,-0.0684432523669618
ARL6IP5,-0.20634195957379475,0.17925855151977876,-1.1510857240806596
ARL8A,0.9449253227961911,1.3717496650752667,0.6888467676384261
ARL8B,0.11963155451088525,0.31881123347534335,0.37524259483202144
ARMC1,1.6183203924568907,0.6401222948724669,2.5281425212338724
ARMC6,0.4889868746097683,0.3428342639221305,1.4263068953948959
ARMC8,0.687803736734864,0.48858861980392354,1.4077358924382803
ARPC1A,-0.2984678398784517,0.167144133497677,-1.7856913888192185
ARPC1B,-0.4126290128743406,0.16421827341127726,-2.5126863430169544
ARPC2,0.07527595562854472,0.1164917448507559,0.6461913307675575
