Approved symbol,log2fc,sem,stat
AGPAT1,0.0675525604125391,0.027801621154680285,2.4298065223137866
AGPAT2,0.021115787423878096,0.009593026811248226,2.201160055043206
AGPAT3,0.10334635646130286,0.025639814471593244,4.030698294474865
AGPAT4,-0.0606887042544102,0.01470171035879768,-4.128002985590948
AGPAT5,0.06396037158500434,0.016166158484676073,3.9564360107957914
GPAT4,0.019404031979792347,0.03261116392965606,0.5950119419732406
GPAT3,-0.10640126919387383,0.0240498081761179,-4.424204484904504
ACCS,0.058806214625938935,0.013383790071168387,4.393838689432255
ACCSL,-0.007009206282086122,0.008176285036556027,-0.8572605102131449
SELENOF,0.004418075324360782,0.019510689121283644,0.22644383788275482
OAS2,0.22838376826771034,0.03168645323661839,7.207615398361439
OAS3,0.03547134578480815,0.030579008953319275,1.1599900388844298
OASL,0.32443093655011923,0.022042529794416885,14.718407531983638
DECR2,0.0164772647720004,0.00859936801334759,1.9161018282302906
ADO,-0.002363092660353061,0.017868176193172713,-0.1322514751816685
HACL1,-0.03253440445988298,0.016592363077338253,-1.9608059628539753
OGFOD1,-0.05433030918606585,0.009285125563620858,-5.851327352958168
OGFOD2,0.011705138226778544,0.009627192507823066,1.2158412971660157
DHCR24,-0.06802627233148328,0.03325730899983303,-2.045453296652018
BPNT1,-0.04021256904413617,0.02418929000045832,-1.6624121271593442
PAPSS1,-0.013247382632382898,0.03627164236813551,-0.3652269863583754
PAPSS2,-0.028090846415791848,0.037961313980004366,-0.7399861456478651
HMGCR,-0.13673663209377285,0.008240220650155726,-16.593807119860166
HMGCS2,0.08740576190087568,0.011981199514563178,7.295243000889331
HAAO,-0.0068262888532757415,0.028261443999396615,-0.24154069598925956
BDH2,0.04887183897373859,0.015556273579085976,3.1416160641094937
HIBADH,0.02158690124173024,0.028679043628426982,0.7527064542812392
HIBCH,-0.016070089688227096,0.0027277507200469315,-5.891333680209095
HMGCL,0.029866673031491153,0.05117883491076568,0.583574696133002
HMGCLL1,0.05522011740210919,0.027004822125358197,2.0448243334384393
KDSR,0.02983670069377231,0.006113093711469694,4.880785753012618
OXCT1,-0.06072526506389897,0.019436826901202405,-3.1242375811939946
OXCT2,0.015892565735913244,0.008818109665691649,1.802264469191846
OXSM,-0.055828527796506044,0.012444579513737898,-4.486172291709452
HOGA1,-0.021419739276897776,0.014041781991611053,-1.525428844408389
HPD,0.006518016972325569,0.01625794045386732,0.4009128333826017
HPDL,-0.054953238977784036,0.010194537781176185,-5.390459102447297
NT5M,0.060836954474858373,0.0319839756190385,1.9021073302296136
XRN1,-0.04874479455129377,0.008760054848713297,-5.564439423396252
XRN2,0.025574571192854112,0.027534340758217514,0.9288245328779656
NT5DC1,0.034514159565874,0.0252483138045168,1.3669886960807494
NT5DC2,0.02054462079867525,0.061882462093014956,0.3319942372007568
NT5C1A,0.020908109368754868,0.010572998419068223,1.977500472434333
NT5C1B,0.0066568661458883405,0.007598318143365894,0.8760973178913892
NT5C2,-0.0006798742591143103,0.029614929674443336,-0.022957145824358257
NT5C3B,0.04719053717128041,0.04239342143408826,1.1131570789739285
MTHFS,-0.0029269385557109118,0.005942217174272617,-0.492566742323617
ATIC,-0.018495155325241264,0.011368020235175073,-1.6269460242526064
HTR1A,0.038380818187339294,0.016292513697708927,2.355733369291962
HTR1B,0.0029176368679273423,0.05341792455812412,0.05461906077523954
HTR1D,-0.0056302312616671735,0.02346085253139872,-0.23998408643215247
HTR1E,-0.009129390561934514,0.011975212042627862,-0.7623573202242141
HTR1F,-0.015795723626128577,0.02526267174442082,-0.625259425682757
HTR2A,-0.0013038892164298765,0.012226490228576019,-0.10664460462924988
HTR2B,-0.005125344695732004,0.006699118468064067,-0.7650774829801066
