"","Activity"
"Androgen",-0.6676
"EGFR",-0.8696
"Estrogen",0.894
"Hypoxia",0.4512
"JAK.STAT",-0.9272
"MAPK",-0.979
"NFkB",-0.7966
"p53",-0.3138
"PI3K",-0.704
"TGFb",0.5096
"TNFa",0.2916
"Trail",-0.7252
"VEGF",-0.284
"WNT",-0.8688
