"","Activity"
"Androgen",-0.043
"EGFR",-0.7776
"Estrogen",0.8174
"Hypoxia",-0.00980000000000003
"JAK.STAT",-0.0165999999999999
"MAPK",-0.5744
"NFkB",0.1208
"p53",-0.8886
"PI3K",0.9362
"TGFb",-0.7992
"TNFa",-0.999
"Trail",0.572
"VEGF",0.2044
"WNT",0.5166
