"","Activity"
"Androgen",-0.9564
"EGFR",-0.2206
"Estrogen",-0.5216
"Hypoxia",0.0454000000000001
"JAK.STAT",0.5842
"MAPK",0.5634
"NFkB",0.4908
"p53",0.8878
"PI3K",-0.33
"TGFb",-0.9496
"TNFa",0.8476
"Trail",-0.2612
"VEGF",0.9456
"WNT",-0.4548
