"","Activity"
"Androgen",0.8048
"EGFR",-0.1042
"Estrogen",0.501
"Hypoxia",1
"JAK.STAT",0.588
"MAPK",0.8918
"NFkB",-0.3636
"p53",0.9192
"PI3K",0.5288
"TGFb",-0.7592
"TNFa",-0.9634
"Trail",0.0258
"VEGF",-0.6628
"WNT",-0.8846
