"","Activity"
"Androgen",0.1544
"EGFR",0.118
"Estrogen",0.22
"Hypoxia",0.9956
"JAK.STAT",-0.6342
"MAPK",-0.0906
"NFkB",-0.8492
"p53",-0.606
"PI3K",0.132
"TGFb",0.4404
"TNFa",-0.0498
"Trail",0.1966
"VEGF",0.0680000000000001
"WNT",0.0549999999999999
