"","Activity"
"Androgen",-0.6892
"EGFR",0.1954
"Estrogen",0.8614
"Hypoxia",0.6976
"JAK.STAT",-0.6948
"MAPK",-0.5748
"NFkB",0.5028
"p53",-0.609
"PI3K",-0.8092
"TGFb",-0.4148
"TNFa",-0.098
"Trail",0.3756
"VEGF",0.6132
"WNT",-0.6398
