"","stat"
"AHR",-0.517179796737988
"AR",-1.47678088664686
"ARID1A",-1.23208709680999
"ARID2",2.19077295199967
"ARNT",0.907586617771103
"ATF3",-0.0763913069621599
"ATF7",-0.0769903968459694
"BACH1",0.542991118881039
"BACH2",0.67477890391011
"BCL11A",1.12425735628044
"BCL3",-0.267905225074629
"BCL6",1.13017341945421
"BHLHE40",-0.248071793939376
"CEBPA",1.05197448360291
"CEBPB",0.277442476234916
"CEBPG",-0.0100695287394126
"CREB3",0.1712674147739
"CREB3L1",-0.932630967298739
"CREM",-0.147310859892224
"CTCF",-0.263632218235354
"CTCFL",1.55239803642614
"CUX1",-0.0535935143993544
"E2F1",0.673826216941785
"E2F4",0.189001931483163
"E2F6",1.09386533085046
"E2F7",1.09782201895687
"EBF1",-0.419581674687903
"EGR1",0.376297159011192
"ELF1",1.10948111730221
"ELF3",-1.90561783722897
"ESR1",-0.369489636008677
"ESRRA",-0.308936636750326
"ETS1",-1.52720621039269
"FOS",-1.61304409622358
"FOXJ2",1.43528826947266
"FOXK2",0.345387529091493
"FOXO1",1.52357990813787
"FOXO3",-0.317742034291099
"FOXP1",-1.07635798727267
"FOXP2",-0.656210991309656
"GABPA",-0.866843149009753
"GATA2",-0.217771471770106
"GATA3",0.233298758814584
"GATA6",-0.391203848383056
"GFI1B",-0.409583449836474
"GRHL2",-1.34412113546
"HBP1",1.72406640949675
"HIF1A",0.907460376576913
"HMBOX1",-0.186415004544639
"HNF1A",0.125123066816127
"HNF1B",1.23590321790928
"HNF4A",1.16175225518699
"HNF4G",0.719879270819914
"HSF1",-0.393455865244907
"IKZF1",-0.72127984280448
"IRF2",0.0256776468926003
"IRF3",-1.37882082768405
"IRF4",-0.71125669825864
"JUN",0.623604824873432
"JUNB",-2.19723577225129
"KLF1",-0.698043243667262
"KLF13",1.06533201419857
"KLF5",-0.512554414854799
"KLF6",-0.00445848379600574
"KLF9",0.555264831590891
"KMT2A",-1.04756063768242
"LYL1",0.455686820818484
"MAF",-0.951026058966904
"MAFB",0.76706108525506
"MAFF",0.452684229235514
"MAFG",0.0473099761146336
"MAFK",-0.589813351097194
"MAX",-0.257821637622776
"MAZ",-0.479096731166032
"MBD1",1.02457616457272
"MEF2A",-0.1673092453182
"MEF2B",-0.260501053460773
"MEF2C",1.84797617548112
"MEIS1",1.99287295104241
"MEIS2",-0.0353446159299524
"MNT",1.22170452056045
"MTA2",-0.387776146230011
"MXI1",1.05341217045018
"MYBL2",0.527496624257743
"MYC",0.0161241311778457
"MYCN",-0.0145965604506498
"MYOD1",1.93654146573119
"NANOG",0.245608432191422
"NEUROD1",-0.668884229587833
"NFATC1",0.583565298470309
"NFE2",-0.0207577587956123
"NFKB1",0.13820539667044
"NFYB",-0.524348648620981
"NONO",0.214052315423102
"NR2C2",0.227845629881022
"NR2F1",-1.54111997324465
"NR2F6",-0.717181835472961
"NR4A1",-1.61817047025146
"NR5A2",-1.55375626423402
"NRF1",-0.582792935490944
"ONECUT1",-0.250362565495269
"PAX5",0.177299842945413
"PBX2",-1.4714684353775
"PBX3",0.920927451485476
"PKNOX1",-1.06586432850903
"POU2F2",0.79926544547492
"POU5F1",0.00280427780654342
"PRDM1",-0.602250146700291
"PRDM14",-0.156228236315502
"RBPJ",-0.502473657931751
"RELA",0.138091825948265
"RFX1",-2.29965504988621
"RUNX2",-0.380321882389345
"SNAI2",-0.807246325840602
"SOX11",0.405411336454616
"SOX2",1.00907452973926
"SP1",2.03105241743903
"SP2",-0.612238204941933
"SP3",-1.33410770846216
"SP4",-0.157040323057924
"SPI1",0.311263867723895
"SREBF1",0.0307603057964891
"SREBF2",1.23741451337114
"SSRP1",-0.484266515458729
"STAT1",-0.123748179382725
"STAT2",0.0373160746320852
"STAT3",-0.910525673038681
"TAF1",-1.09664602819478
"TBP",-0.0270443230346802
"TCF12",0.649939204545883
"TCF25",-1.66215037501375
"TCF4",2.38969301748826
"TCF7",-0.0615581231626603
"TEAD1",1.43491541977446
"TEAD2",0.502770658991503
"TEAD4",-1.88385210181152
"TFAP2A",-1.48920958533751
"TFAP4",1.5527379514762
"TFDP1",0.979011306828997
"TGIF2",0.153797666999713
"THAP1",-1.2298819733323
"THAP11",0.578332762637082
"TP53",-0.864197440819135
"TP73",1.29917816179838
"USF1",-0.980882857315586
"USF2",-1.22442265742687
"WT1",-0.693011213527919
"YY1",-2.99796977543248
"ZBED1",-0.842375632020379
"ZBTB33",0.168410062811828
"ZBTB7A",1.12765165946927
"ZEB1",0.999235495830549
"ZEB2",0.492666254793886
"ZFX",-0.468058525788187
"ZKSCAN1",2.63285406335247
"ZNF143",0.774916510808081
"ZNF263",0.792405705575291
"ZNF384",-0.662216324488613
"ZNF639",0.593989813192253
"ZNF740",0.763794646644316
