"","Activity"
"Androgen",0.8752
"EGFR",0.253
"Estrogen",-0.396
"Hypoxia",0.8256
"JAK.STAT",-0.4732
"MAPK",0.1486
"NFkB",0.8468
"p53",0.4132
"PI3K",-0.6652
"TGFb",-0.2804
"TNFa",0.721
"Trail",0.0953999999999999
"VEGF",0.8932
"WNT",-0.3584
