"","Activity"
"Androgen",0.5906
"EGFR",0.4312
"Estrogen",0.5542
"Hypoxia",-0.931
"JAK.STAT",-0.153
"MAPK",0.933
"NFkB",-0.8406
"p53",0.8956
"PI3K",-0.0874
"TGFb",-0.3434
"TNFa",-0.712
"Trail",-0.8288
"VEGF",0.27
"WNT",0.6432
