"","Activity"
"Androgen",0.6418
"EGFR",-0.102
"Estrogen",-0.8982
"Hypoxia",0.313
"JAK.STAT",0.9344
"MAPK",0.7744
"NFkB",0.4236
"p53",0.2194
"PI3K",0.247
"TGFb",-0.559
"TNFa",-0.8348
"Trail",0.6058
"VEGF",-0.1802
"WNT",0.3502
