"","stat"
"AHR",0.263089121176973
"AR",1.16674110713778
"ARID1A",0.697353480383322
"ARID2",-0.107020181958235
"ARNT",-0.274227155756612
"ATF3",0.755145722458944
"ATF7",-0.579291742326279
"BACH1",1.12359688029002
"BACH2",1.17277847478492
"BCL11A",1.30935996857108
"BCL3",-1.07554848200235
"BCL6",-0.387623863568242
"BHLHE40",0.153743408454419
"CEBPA",-0.614615456617952
"CEBPB",1.00772141347559
"CEBPG",-0.553104723243103
"CREB1",-0.384673059169288
"CREB3",0.537235305505963
"CREB3L1",-0.739245221777285
"CREM",1.12403585509805
"CTCF",0.418364599754708
"CTCFL",0.600691209952178
"CUX1",-0.651033956346459
"E2F1",-1.63514767295717
"E2F4",1.43020562694247
"E2F6",-0.870823022522411
"E2F7",-0.706292687065599
"EBF1",-1.95330838783796
"EGR1",-1.67957403752149
"ELF1",0.0875744856535417
"ELF3",0.943969383157399
"ELF5",0.618119250617974
"ESR1",0.0840372094851376
"ESRRA",0.187860181583241
"ETS1",-0.883844658963409
"FOS",-1.47188703972074
"FOXJ2",0.531812582574294
"FOXK2",-0.0999839027147686
"FOXO1",-1.00940981954984
"FOXO3",0.90506465900577
"FOXP1",0.931079794286289
"FOXP2",-0.359482556956678
"GABPA",0.364878122737391
"GATA2",0.519702099247669
"GATA3",-0.367644514981412
"GATA6",-0.75970572490459
"GFI1B",-1.16157158315471
"GRHL2",-2.2018707786443
"HBP1",1.67261765068737
"HIF1A",-1.07900709547025
"HMBOX1",0.0579285190839661
"HNF1A",-0.723385663048018
"HNF1B",-0.983749694448462
"HNF4A",-0.00145043977918408
"HNF4G",-1.26658509079768
"HOXB13",-1.50298001273798
"HSF1",0.178357795857719
"IRF1",1.0708727689656
"IRF2",-0.0523263911110545
"IRF3",-1.1072565458649
"IRF4",0.195311787606959
"JUN",-0.48748938977262
"JUNB",-0.0943639797899242
"KDM5B",-1.88555674134631
"KLF1",-0.333573547836581
"KLF13",0.228102896050205
"KLF5",-3.13399789187423
"KLF6",-2.45766144737479
"KLF9",0.928916063002582
"KMT2A",0.142713851814871
"LYL1",-1.30907975044403
"MAF",-0.378737873957221
"MAFB",-0.227118506810631
"MAFF",-1.47708792688342
"MAFG",0.0859106479578187
"MAFK",0.206368557939726
"MAX",-0.15400497758712
"MAZ",-0.183122298747162
"MBD1",-0.217719575830066
"MEF2A",-1.12489637808121
"MEF2B",1.50647258520357
"MEF2C",-1.40734753864651
"MEIS1",-2.21731431022259
"MEIS2",-0.528318639584554
"MIER1",-0.648974756523625
"MNT",-1.26509430010025
"MTA1",1.32248713089248
"MTA2",0.465224510088076
"MXI1",-1.06606580499424
"MYBL2",-3.52798765049773
"MYC",-0.763398111627181
"MYCN",-2.2747485510232
"MYOD1",-0.92605079531883
"NANOG",-1.44179908230684
"NCOR1",-0.628850376725563
"NEUROD1",-0.619171847422636
"NFATC1",-0.982662204793316
"NFE2",0.523963510843206
"NFE2L1",-0.197407354022189
"NFKB1",0.251914292690668
"NFYB",-0.562464528792814
"NONO",0.171705427693032
"NR2C2",0.395440852096497
"NR2F1",-0.329496045988833
"NR4A1",-0.480026247496747
"NR5A2",1.14158547000166
"NRF1",1.04133544231292
"ONECUT1",0.507076434736948
"OTX2",0.120928238478406
"PAX5",1.26484103896435
"PBX2",-1.09752273724141
"PBX3",-0.552261392359274
"PDX1",0.305704164578451
"PKNOX1",-0.388291966608182
"POU2F2",-1.08856188699805
"POU5F1",-1.79983833334471
"PPARA",-0.584675437847395
"PRDM1",-0.0516378955727241
"PRDM14",-1.50222080989844
"RARA",-1.47411928971896
"RBPJ",-0.536437619097862
"RELA",-1.08371457155862
"RFX1",-0.0698940573620502
"RUNX2",0.72422892650566
"SMAD1",0.779567196584319
"SNAI2",-1.12214343799309
"SOX11",0.363971562969502
"SOX2",-0.0420800979713617
"SP1",-2.40517791860704
"SP2",-1.14810022472784
"SP3",-1.23351980783748
"SP4",0.00214752984569943
"SPI1",-0.696885679652409
"SREBF1",-0.102061598300752
"SSRP1",-0.369025300040586
"STAT1",-0.527853530953008
"STAT2",1.0321657563899
"STAT3",1.20045650160488
"TAF1",1.60142851310331
"TBP",-0.876009161556081
"TCF12",-0.468310077704114
"TCF25",-0.692705869329417
"TCF4",-1.11738512909233
"TCF7",-0.0985315525380447
"TEAD1",-1.6719241137301
"TEAD2",-0.181164640119247
"TEAD4",-0.818986310124769
"TFAP2A",-1.68948240407131
"TFAP4",-2.37111506225466
"TFDP1",-0.852081167886838
"THAP1",-0.390748187103452
"THAP11",0.783606426813353
"TP53",1.50704692597825
"TP73",-1.68429598944771
"USF1",-2.50432356895704
"USF2",-3.40937669469794
"WT1",-0.863870121502239
"YY1",-0.221584431267625
"ZBED1",-1.78628333225222
"ZBTB33",-0.714988856756937
"ZBTB7A",0.530706966663986
"ZEB1",1.29964312948342
"ZEB2",1.16445168497288
"ZFX",0.0546308892359099
"ZKSCAN1",0.347228588229798
"ZNF143",-1.84045599216542
"ZNF263",-0.243925014405751
"ZNF384",-0.537742635909947
"ZNF639",0.153830715304444
"ZNF740",1.12410526984107
