"","stat"
"AHR",-2.12360975151469
"AR",0.80465830327012
"ARID1A",-0.693215044453911
"ARID2",0.912660198846511
"ARNT",-0.883835525598191
"ATF3",1.59187062883636
"ATF7",1.62960559430606
"BACH1",-1.68156910223219
"BACH2",-0.979421202529963
"BCL11A",0.815577568421791
"BCL3",-1.63944478620576
"BCL6",0.871942870898206
"BHLHE40",-0.975853239531568
"CEBPA",-0.0312044870514056
"CEBPB",0.79337072073714
"CEBPG",-0.721553173981859
"CREB1",-1.73069185925192
"CREB3",1.98138424068659
"CREB3L1",-0.270074947119934
"CREM",-0.641005835703578
"CTCF",0.697323521524181
"CTCFL",0.307209046745182
"CUX1",-0.969256614911755
"E2F1",-0.415930045907899
"E2F4",1.05453823191245
"E2F6",0.153266946534599
"E2F7",-0.74852884085329
"EBF1",-1.13799750318339
"EGR1",-2.10186336109002
"ELF1",0.840727117907209
"ELF3",-1.89422115049328
"ELF5",-0.210761740237641
"ESR1",-1.39883102289316
"ESRRA",-1.12554120221699
"ETS1",-0.315101397935946
"FOS",-2.39958121277626
"FOXJ2",-1.12578297659857
"FOXK2",-0.652199134908316
"FOXO1",-0.0671104592337703
"FOXO3",1.95162761367596
"FOXP1",-0.40526008842895
"GABPA",1.41973210999288
"GATA2",-0.689032149745961
"GATA3",-0.556886086419062
"GATA6",-0.22525463989891
"GFI1B",-0.240885745007957
"GRHL2",-3.78507166968978
"HBP1",0.493015362140243
"HIF1A",-1.60272415946621
"HMBOX1",-1.58527489277138
"HNF1A",-1.70052613446366
"HNF1B",-2.53297540166772
"HNF4A",-2.1437001595543
"HNF4G",-1.71396715669216
"HSF1",-1.62652946749793
"IKZF1",-0.451078332404866
"IRF1",0.0903678416777472
"IRF2",0.100862503534576
"IRF3",-0.0554437010529965
"IRF4",-1.660392351158
"JUN",-1.02418793718035
"JUNB",-0.167686813030015
"KLF1",-0.0825822609532459
"KLF13",-0.353599413944656
"KLF5",-2.41815982743593
"KLF6",-0.362351766173218
"KLF9",0.0341108591863683
"KMT2A",-1.83066287878063
"LYL1",-1.43755231554753
"MAF",0.544094671266679
"MAFF",-0.0208572215632466
"MAFG",0.394889417096142
"MAFK",-0.169899949483997
"MAX",-0.680569614845714
"MAZ",0.231220462410568
"MBD1",0.788308260902324
"MEF2A",-1.09777593824351
"MEF2B",1.22471086499038
"MEF2C",-1.22476842278895
"MEIS2",1.30888161834616
"MIER1",-0.894002819075136
"MNT",0.0752827410672802
"MTA2",3.08259436811481
"MXI1",0.459180337941729
"MYBL2",0.560956348784519
"MYC",1.3479401998362
"MYCN",-0.879821709315154
"MYOD1",0.654457013090924
"NANOG",-2.63291277160346
"NEUROD1",0.909633906463674
"NFATC1",-0.480580779732901
"NFE2",0.556762203713657
"NFE2L1",0.631211398828494
"NFKB1",-0.80248603302762
"NFYB",-1.58445991299195
"NONO",0.00618513563151586
"NR2C2",0.631889213573404
"NR2F1",-1.2231929121578
"NR4A1",-1.55118068998338
"NR5A2",-1.1733525418282
"NRF1",0.654900368759143
"ONECUT1",-0.593350093710067
"OTX2",0.120044947652378
"PAX5",-0.637656330800588
"PBX2",-0.0427935708345873
"PBX3",-1.69415411296174
"PKNOX1",0.142159582041628
"POU2F2",1.24471446910547
"POU5F1",-1.79791927897994
"PPARA",-2.41063142880243
"PRDM1",0.390032957272383
"PRDM14",-1.55990862832842
"RBPJ",-1.8878409900758
"RELA",-2.31691185788237
"RFX1",-0.109839941718489
"RUNX2",-1.743969545333
"SNAI2",0.00175210491693681
"SOX11",1.77096698121456
"SOX13",-1.41507542198145
"SOX2",-2.54786004650356
"SP1",-2.7060791246832
"SP2",-0.0191087007632066
"SP3",-1.3975500996571
"SP4",-0.741002163449086
"SPI1",-0.0753175185881814
"SREBF1",-3.32160074764717
"SREBF2",-3.24016988329029
"SSRP1",-1.244225943831
"STAT1",-1.41289100810614
"STAT2",0.386160417973965
"STAT3",0.0379788700775974
"TAF1",1.07587441263484
"TBP",-0.0311595856317885
"TCF12",-2.37870610098746
"TCF25",-1.77340931834585
"TCF4",-1.43489693107164
"TCF7",0.689398102238796
"TEAD1",-0.385256210092098
"TEAD2",1.3510094465402
"TEAD4",-0.31428935224497
"TFAP2A",-2.73338485366631
"TFDP1",-0.597457150752243
"TGIF2",-1.8219540368354
"THAP1",-0.151192350628331
"THAP11",0.206284125589151
"TP53",-0.361754469982001
"TP73",-0.82007163164396
"USF1",-1.49581632407727
"USF2",-1.95663774838629
"WT1",-0.249945021051852
"YY1",-1.2423038677397
"ZBED1",-0.0756457314678835
"ZBTB7A",-0.583763040667505
"ZEB1",1.19609905199396
"ZEB2",0.951905335280266
"ZFX",0.52030933463291
"ZKSCAN1",1.51699274744246
"ZNF143",-0.908299246563567
"ZNF263",-0.509698395190944
"ZNF384",-0.274482828997572
"ZNF639",-0.337590529606303
"ZNF740",-1.61182917807568
