"","Activity"
"Androgen",0.8184
"EGFR",-0.8746
"Estrogen",0.9588
"Hypoxia",-0.8434
"JAK.STAT",-0.6342
"MAPK",-0.4138
"NFkB",-0.9978
"p53",-0.8888
"PI3K",0.142
"TGFb",-0.4294
"TNFa",-0.9922
"Trail",0.8616
"VEGF",-0.7538
"WNT",0.5484
