"","Activity"
"Androgen",-0.0102
"EGFR",-0.2706
"Estrogen",0.9462
"Hypoxia",0.251
"JAK.STAT",-0.8468
"MAPK",-0.4252
"NFkB",-0.3008
"p53",-0.5686
"PI3K",0.999
"TGFb",0.1498
"TNFa",-0.2858
"Trail",-0.1224
"VEGF",0.9838
"WNT",-0.455
