"","stat"
"AHR",-2.32367174996779
"AR",-0.16970714246441
"ARID1A",-0.226597895087478
"ARID2",-1.75567446829714
"ARNT",-2.08014770909202
"ATF3",0.8909008746789
"ATF7",-0.416250587666471
"BACH2",-0.88617808817124
"BCL11A",1.0500800229754
"BCL3",-0.583261260292171
"BCL6",-1.00004912010899
"BHLHE40",-0.436320809008034
"CEBPA",0.694181821246349
"CEBPB",-0.259855026022471
"CEBPG",0.493995085640041
"CREB1",-0.13563563205699
"CREB3",0.373021502177833
"CREB3L1",-0.896155749748536
"CREM",1.34053849694207
"CTCF",0.341087605733612
"CTCFL",0.618107219562377
"CUX1",-1.1214677328376
"E2F1",-0.00393974015104372
"E2F4",0.119318090924207
"E2F6",0.0880493994898051
"E2F7",0.0935293010943817
"EBF1",-2.09281789796967
"EGR1",-1.88115653698526
"ELF1",0.174631478836861
"ELF3",-0.714919868935022
"ESR1",1.47419384127176
"ESRRA",0.677632826172061
"ETS1",-2.29649425858034
"FOS",-0.710254998808656
"FOXJ2",-0.688130937067914
"FOXK2",-1.5168207114742
"FOXO1",1.50977647322749
"FOXO3",0.757554928189872
"FOXP1",3.1385222120278
"FOXP2",1.58011844642898
"GABPA",-0.950360521604305
"GATA2",1.30179257904595
"GATA3",-0.134811855332487
"GATA6",-0.488985220791812
"GFI1B",-0.633330535158607
"GRHL2",-2.85897699572346
"HBP1",1.19353406385918
"HIF1A",0.239300788851617
"HMBOX1",0.980162989586712
"HNF1A",1.81177984630053
"HNF1B",1.33913981789934
"HNF4A",1.33677866702902
"HNF4G",-0.121070205529525
"HOXB13",-1.05854584301168
"HSF1",1.30638834445119
"IKZF1",-1.20023961820451
"IRF1",0.956469268045631
"IRF2",-0.498655650111065
"IRF3",-0.184177710147052
"IRF4",-1.56566934163779
"JUN",2.58355955379131
"JUNB",-0.510225765088919
"KDM5B",-1.6844104850669
"KLF1",1.28483374159904
"KLF13",1.33383822259114
"KLF5",-1.93771094718648
"KLF6",-0.0957515026432838
"KLF9",0.525538257482128
"KMT2A",-1.01514872095912
"LYL1",0.885599912386076
"MAF",0.529991712664042
"MAFB",-1.01032847071603
"MAFF",-0.683009741780535
"MAFG",-0.0706506159964447
"MAFK",-1.18645629830405
"MAX",0.250865040557388
"MAZ",1.02388262266216
"MBD1",-0.139728973570419
"MEF2A",-0.503850859695461
"MEF2B",-1.13627804085571
"MEF2C",-0.31574681844637
"MEIS1",0.210698926296232
"MEIS2",-0.534603447500203
"MIER1",-0.565804797280589
"MITF",-1.62741321447721
"MNT",0.553643255734981
"MTA1",-0.276184112461524
"MTA2",1.40092015325087
"MXI1",0.872865342796399
"MYBL2",-0.542979433336084
"MYC",1.3845942419799
"MYCN",-2.08329153011974
"MYOD1",-0.755628801594495
"NANOG",1.48923564229669
"NEUROD1",0.0237589658381741
"NFATC1",-1.82903454296119
"NFE2",-0.867516309109891
"NFKB1",1.03325663353568
"NFYB",-0.4807619363354
"NONO",-1.01584656689533
"NR1H2",-2.41092717516376
"NR2C2",0.924846876480737
"NR2F1",-0.526203985723672
"NR2F6",0.0501717978578101
"NR4A1",0.285546231991207
"NR5A2",-1.0320933594508
"NRF1",0.561232805744361
"ONECUT1",-0.923407264792203
"PAX5",-1.14140445553858
"PBX2",-0.859417063609656
"PBX3",-1.73965225176587
"PDX1",0.0742613931537909
"PKNOX1",0.101399724841642
"POU2F2",0.399416333326066
"POU5F1",-0.58022388733747
"PPARA",1.5859489396306
"PRDM1",0.497945967802974
"PRDM14",-1.21358038190648
"PROX1",-1.13181239195755
"RARA",-0.243203120455414
"RBPJ",-0.786969946869041
"RELA",0.236349202156266
"RFX1",-0.726818877787475
"RUNX2",-0.139423685877269
"SIX2",-0.8279396259722
"SNAI2",0.643670206332604
"SOX11",1.19096532562638
"SOX2",-1.21967586985214
"SP1",0.567320369627609
"SP2",-0.0531958665419417
"SP3",-1.20255431282948
"SP4",-1.20943175956475
"SPI1",-0.240328241804308
"SREBF1",-2.75852464171962
"SREBF2",-0.504540887606615
"SSRP1",-0.393335508426704
"STAT1",-2.02129384587848
"STAT2",-0.705282709709048
"STAT3",-2.2611425836191
"TAF1",0.528500314138844
"TBP",0.417582871155354
"TCF12",-1.84744580777629
"TCF25",-0.545295574191403
"TCF4",-0.174070882502315
"TCF7",-0.000674535945774719
"TEAD1",-1.63100090299084
"TEAD2",-1.89527437380426
"TEAD4",-0.494654462495217
"TFAP2A",-1.2098094716368
"TFAP4",-1.73958282066706
"TFDP1",0.14170900486393
"TGIF2",-1.30885291472451
"THAP1",0.027993275507269
"THAP11",0.578698757794721
"TP53",2.26853086563957
"TP73",-1.00302944370297
"USF1",-0.442555229338413
"USF2",-1.2702288844961
"WT1",0.117838472803407
"YY1",-1.68449286751414
"ZBED1",-0.790855639750559
"ZBTB33",0.551433624727542
"ZBTB7A",2.31635399294549
"ZEB1",1.17056154583005
"ZEB2",2.25871708110361
"ZFX",-1.00897633681598
"ZKSCAN1",2.81948773988942
"ZNF143",-0.906349651119601
"ZNF263",0.148292675181966
"ZNF384",-0.67468487224404
"ZNF639",-0.993688826409528
"ZNF740",0.347014022524161
