"","Activity"
"Androgen",-0.2642
"EGFR",-0.4588
"Estrogen",0.3714
"Hypoxia",-0.2976
"JAK.STAT",-0.992
"MAPK",0.111
"NFkB",-0.1054
"p53",0.1206
"PI3K",0.995
"TGFb",-0.4492
"TNFa",-0.0264
"Trail",0.372
"VEGF",0.8316
"WNT",-0.5696
